rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,geneo_burn,geneo_threshold,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
0,1,1786530746921,0.005266659662,0.680000,0,927,0,0,1,300,0,0,1.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100944.032,3589.243,0.000,1,3806,1674,3,500,0,-1.00,-1.00,-1.00,-1.00,-1,-1
1,1,1786530855760,0.008202019939,0.520000,0,1223,0,0,0,0,0,16,1.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.827,0.000,0.000,1,1241,1674,5,1223,4702,-1.00,-1.00,-1.00,-1.00,-1,-1
2,1,1786530931937,0.01335145828,0.380000,0,1343,0,0,0,0,0,16,1.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.829,0.000,0.000,1,1361,1674,5,1343,4702,-1.00,-1.00,-1.00,-1.00,-1,-1
3,1,1786531030052,0.03729544262,0.260000,0,1763,0,0,0,0,0,16,1.000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.803,0.000,0.000,1,1781,1674,5,1763,4702,-1.00,-1.00,-1.00,-1.00,-1,-1
