schedule,cg_tol,rung,iter,compliance,change_design,max_dphys,mean_dphys,class_frac,class_count,solid,cg_iters,mg_used,hier_built,mg_levels,cycles,active_frac,beta,plateau,infeasible,vf,mnd,mfv,mnd_proj,mfv_proj,draft,traj_tol
jump32,1e-08,0,34,10.725267,0.04995,0.252772,0.105882,0.015873,32,2016,93,1,1,3,93,1.0000,32,0,0,0.63637,0.565759,136,0.0268389,136,0,1.00e-08
jump32,1e-08,0,35,10.885336,0.04995,0.04995,0.028609,0.00496032,10,2016,89,1,1,3,89,1.0000,32,0,0,0.65112,0.545836,142,0.0138512,142,0,1.00e-08
jump32,1e-08,0,36,10.885172,0.04995,0.04995,0.0202536,0.000992063,2,2016,107,1,1,3,107,1.0000,32,0,0,0.64047,0.532252,144,0.00700252,144,0,1.00e-08
jump32,1e-08,0,37,10.864136,0.04995,0.0486667,0.0157937,0,0,2016,104,1,1,3,104,1.0000,32,0,0,0.64542,0.522791,144,0.00624216,144,0,1.00e-08
jump32,1e-08,0,38,10.867819,0.04995,0.0465241,0.0123891,0,0,2016,159,1,1,3,159,1.0000,32,0,0,0.63992,0.510895,144,0.00550293,144,0,1.00e-08
jump32,1e-08,0,39,10.865607,0.04995,0.0452292,0.010344,0.000992063,2,2016,145,1,1,3,145,1.0000,32,0,0,0.64657,0.497833,144,0.00407118,144,0,1.00e-08
jump32,1e-08,0,40,10.862505,0.04995,0.0494694,0.012878,0.000992063,2,2016,117,1,1,3,117,1.0000,32,0,0,0.65743,0.483543,144,0.00260995,144,0,1.00e-08
jump32,1e-08,0,41,10.858331,0.04995,0.04995,0.0153527,0,0,2016,112,1,1,3,112,1.0000,32,0,0,0.67063,0.465602,144,0.00340596,144,0,1.00e-08
jump32,1e-08,0,42,10.857156,0.04995,0.04995,0.0111977,0.000992063,2,2016,116,1,1,3,116,1.0000,32,0,0,0.66311,0.461341,144,0.00122636,144,0,1.00e-08
jump32,1e-08,0,43,10.853707,0.04995,0.0474557,0.00964888,0,0,2016,111,1,1,3,111,1.0000,32,0,0,0.65989,0.45527,144,0.000437761,144,0,1.00e-08
jump32,1e-08,0,44,10.853597,0.04995,0.04995,0.0102706,0,0,2016,112,1,1,3,112,1.0000,32,0,0,0.65034,0.456533,144,0.00136014,144,0,1.00e-08
jump32,1e-08,0,45,10.857205,0.04995,0.0490356,0.00995805,0,0,2016,157,1,1,3,157,1.0000,32,0,0,0.66030,0.451731,144,0.00114573,144,0,1.00e-08
jump32,1e-08,0,46,10.856142,0.04995,0.0470849,0.00619906,0,0,2016,117,1,1,3,117,1.0000,32,0,0,0.65684,0.447228,144,0.000772457,144,0,1.00e-08
jump32,1e-08,0,47,10.854958,0.04995,0.0399208,0.0045936,0,0,2016,112,1,1,3,112,1.0000,32,0,0,0.65928,0.444155,144,0.000753101,144,0,1.00e-08
jump32,1e-08,0,48,10.854863,0.04995,0.0355092,0.00324853,0,0,2016,116,1,1,3,116,1.0000,32,0,0,0.65819,0.440366,144,0.000700691,144,0,1.00e-08
jump32,1e-08,0,49,10.854744,0.04995,0.0259012,0.00285417,0,0,2016,111,1,1,3,111,1.0000,32,0,0,0.65972,0.436844,144,0.000699125,144,0,1.00e-08
jump32,1e-08,0,50,10.854739,0.04995,0.0224933,0.00211498,0,0,2016,111,1,1,3,111,1.0000,32,0,0,0.65963,0.433758,144,0.00068414,144,0,1.00e-08
jump32,1e-08,0,51,10.854707,0.04995,0.0194697,0.00219052,0,0,2016,111,1,1,3,111,1.0000,32,0,0,0.66075,0.43062,144,0.000681176,144,0,1.00e-08
jump32,1e-08,0,52,10.854699,0.04995,0.020927,0.00197764,0,0,2016,112,1,1,3,112,1.0000,32,0,0,0.66065,0.427464,144,0.000672547,144,0,1.00e-08
jump32,1e-08,0,53,10.854682,0.04995,0.0207929,0.00197936,0,0,2016,116,1,1,3,116,1.0000,32,0,0,0.66143,0.424694,144,0.00067018,144,0,1.00e-08
jump32,1e-08,0,54,10.854677,0.04995,0.0215792,0.00182432,0,0,2016,156,1,1,3,156,1.0000,32,0,0,0.66123,0.421493,144,0.000663787,144,0,1.00e-08
jump32,1e-08,0,55,10.854664,0.04995,0.0306325,0.00207923,0,0,2016,159,1,1,3,159,1.0000,32,0,0,0.66219,0.418127,144,0.000662837,144,0,1.00e-08
jump32,1e-08,0,56,10.854661,0.04995,0.0305463,0.00227349,0,0,2016,161,1,1,3,161,1.0000,32,0,0,0.66169,0.414792,144,0.000657462,144,0,1.00e-08
jump32,1e-08,0,57,10.854653,0.04995,0.0264025,0.00237066,0,0,2016,155,1,1,3,155,1.0000,32,0,0,0.66283,0.411554,144,0.000657199,144,0,1.00e-08
jump32,1e-08,0,58,10.854652,0.04995,0.0273457,0.00244653,0,0,2016,158,1,1,3,158,1.0000,32,0,0,0.66256,0.407922,144,0.000651933,144,0,1.00e-08
jump32,1e-08,0,59,10.854642,0.04995,0.032718,0.00247631,0,0,2016,161,1,1,3,161,1.0000,32,0,0,0.66312,0.404607,144,0.00064898,144,0,1.00e-08
jump32,1e-08,0,60,10.854645,0.04995,0.0335297,0.00259035,0,0,2016,167,1,1,3,167,1.0000,32,0,0,0.66352,0.400985,144,0.00062831,144,0,1.00e-08
jump32,1e-08,0,61,10.85469,0.04995,0.0361163,0.00357364,0.000496032,1,2016,171,1,1,3,171,1.0000,32,0,0,0.66507,0.397697,144,0.000532509,144,0,1.00e-08
jump32,1e-08,0,62,10.854833,0.04995,0.0402253,0.00465532,0.000496032,1,2016,172,1,1,3,172,1.0000,32,0,0,0.66910,0.392094,144,0.00052405,144,0,1.00e-08
jump32,1e-08,0,63,10.854522,0.04995,0.0481631,0.00583662,0,0,2016,172,1,1,3,172,1.0000,32,0,0,0.66415,0.392806,144,0.000508312,144,0,1.00e-08
jump32,1e-08,0,64,10.854456,0.04995,0.0468042,0.0044823,0,0,2016,171,1,1,3,171,1.0000,32,1,0,0.66755,0.388671,144,0.000517075,144,0,1.00e-08
jump32,1e-08,1,1,67.695978,0.1998,-1,-1,-1,-1,2016,53,1,1,3,53,1.0000,0,0,0,0.48981,0.90367,116,0.90367,116,0,1.00e-08
jump32,1e-08,1,2,48.59281,0.1998,0.170711,0.062602,0.0565476,114,2016,61,1,1,3,61,1.0000,0,0,0,0.50107,0.840568,174,0.840568,174,0,1.00e-08
jump32,1e-08,1,3,34.756517,0.1998,0.174347,0.0566964,0.0178571,36,2016,70,1,1,3,70,1.0000,0,0,0,0.50531,0.744033,178,0.744033,178,0,1.00e-08
jump32,1e-08,1,4,26.856522,0.13619,0.102631,0.0325563,0.0188492,38,2016,87,1,1,3,87,1.0000,0,0,0,0.51539,0.690236,190,0.690236,190,0,1.00e-08
jump32,1e-08,1,5,23.259784,0.150641,0.104618,0.0193725,0.0724206,146,2016,99,1,1,3,99,1.0000,0,0,0,0.51782,0.674172,340,0.674172,340,0,1.00e-08
jump32,1e-08,1,6,22.284386,0.126802,0.0735189,0.0167688,0.0228175,46,2016,102,1,1,3,102,1.0000,0,0,0,0.51844,0.659672,392,0.659672,392,0,1.00e-08
jump32,1e-08,1,7,21.736095,0.116301,0.0568187,0.0141956,0.015873,32,2016,106,1,1,3,106,1.0000,0,0,0,0.51882,0.64618,404,0.64618,404,0,1.00e-08
jump32,1e-08,1,8,21.353766,0.145833,0.0882759,0.0138196,0.00892857,18,2016,112,1,1,3,112,1.0000,0,0,0,0.51893,0.632364,414,0.632364,414,0,1.00e-08
