iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,iteration_wall_s
1,0.00452507119956,75415,75415,0.680002524706,0.514799724591,0.0483362901927,2.72151509651e-10,3.21882058996e-11,1172,1,0,103881.079,13.2997093201,57176,0,0,0.412398490959,0.999816403934,0,0.1,0,0,78635.5391012,1,1,0,104.091317958
2,0.00391480901374,75415,75415,0.680002524706,-0.0296868914711,0.0483362901927,2.36832538963e-10,2.34385918566e-11,2240,1,0,23324.5444579,12.7090830803,56795,0,0,0.40047852537,0.999655141543,0,0.1,0,0,79497.391815,1,1,0,23.5430971254
3,0.00344224977404,75415,75415,0.680002524706,-0.0464026231565,0.0483362901927,2.58131699221e-10,1.67335825567e-11,2201,1,0,22533.2194161,11.6777501106,59144,0,0,0.395098578201,0.999867301625,0,0.1,0,0,77419.5870637,1,1,0,22.6852946659
4,0.00340841880337,75415,75415,0.680002524706,0.0293272570936,0.0483362901927,2.56989829306e-10,1.68778490393e-11,2197,1,0,15854.5231657,12.819709301,57830,0,0,0.396855871493,0.999934446145,0,0.1,0,0,74461.7554779,1,1,0,16.067877667
5,0.00320487868825,75414,75414,0.679993507899,-0.0205060795294,0.0483362901927,2.37445898433e-10,1.46577236659e-11,2207,1,0,15779.3686252,11.5509157181,54651,0,0,0.360406290115,0.999916532049,0,0.1,0,0,71015.146715,1,1,0,32.2980805412
6,0.00305479127959,75414,75414,0.679993507899,-0.0262874783557,0.0483362901927,2.11030971193e-10,1.47192569335e-11,2382,1,0,16943.6002922,11.7266669273,42474,0,0,0.355589218501,0.999916532049,0,0.1,0,0,61769.8309496,1,1,0,17.10013925
7,0.00300281714095,75415,75415,0.680002524706,0.0113584087383,0.0483362901927,2.19798694318e-10,1.42015101259e-11,2502,1,0,18152.4595003,12.3118748665,41182,0,0,0.356284865896,0.999916532049,0,0.1,0,0,59606.3255586,1,1,0,18.3567917082
8,0.00292402502579,75415,75415,0.680002524706,-0.0041024410811,0.0483362901927,2.07113286557e-10,1.30637249149e-11,2627,1,0,18883.3781657,11.579375267,41113,0,0,0.355777649649,0.999916532049,0,0.1,0,0,57113.3472542,1,1,0,19.0393495411
9,0.00281798513689,75414,75414,0.679993507899,-0.0236645355086,0.0483362901927,1.66500850237e-10,1.12738872738e-11,2698,1,0,19139.1914158,11.810292244,40125,0,0,0.353952261483,0.999916532049,0,0.1,0,0,54076.0784248,1,1,0,19.3017263748
10,0.00275223130028,75414,75414,0.679993507899,-0.009698328956,0.0483362901927,1.27924930434e-10,1.03030840891e-11,2798,1,0,19906.3188343,11.6101660728,36774,0,0,0.34997414445,0.999948651838,0,0.1,0,0,50862.4948126,1,1,0,36.406525834
