vf,status,printed,solid,ng,nc6,nc26,largest_pct,small_comps,raw_k,k,setup_mv,mem_mb,iters_base,iters_mf,iters_defl,cut_pct,lmin_base,lmax_base,kappa_base,lmin_defl,lmax_defl,kappa_defl
0.68,accepted,1402,2016,7749,1,1,100.00,0,6,6,6,0.35,470,469,414,11.91,1.038435e-05,3.677025e+00,354092.81,1.245626e-04,3.677025e+00,29519.50
0.52,accepted,1094,2016,7749,1,1,100.00,0,6,6,6,0.35,989,988,740,25.18,9.858525e-06,3.682450e+00,373529.52,1.150766e-04,3.682450e+00,31999.99
0.38,accepted,826,2016,7749,1,1,100.00,0,6,6,6,0.35,1325,1324,1097,17.21,6.847531e-06,4.082633e+00,596219.75,8.195264e-05,4.082633e+00,49816.98
0.26,accepted,596,2016,7749,1,1,100.00,0,6,6,6,0.35,1715,1714,1402,18.25,2.599627e-06,4.007406e+00,1541531.08,4.698476e-05,4.007406e+00,85291.62
