iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,iteration_wall_s
1,0.00386637579549,88423,88423,0.79729315444,0.88020986573,0.0483362901927,2.96447692693e-10,2.45748345602e-11,1107,1,0,108611.735708,12.8515424728,20533,0,0,0.085895841647,0.248667817939,0,0.1,0,0,32340.731997,1,1,0,0,0,84,76,0,8,0,0,0,0,0,0,0,108.926458625
2,0.0037177249673,88424,88424,0.797302171247,-0.0253638784415,0.0483362901927,2.92778370653e-10,2.25741377356e-11,1941,1,0,18710.1058331,12.3876667023,20056,0,0,0.085635817354,0.301687063355,0,0.1,0,0,31794.14391,1,1,0,0,0,83,75,0,8,1,0,0,1,-2,0,0,18.8545272499
3,0.00366208617167,88424,88424,0.797302171247,0.016612436831,0.0483362901927,3.67923812622e-10,2.14440043538e-11,1954,1,0,18600.4676251,11.5789170265,20815,0,0,0.0869761004129,0.360391268993,0,0.1,0,0,32065.6850842,1,1,0,0,0,82,75,0,7,1,0,0,0,-1,0,0,18.7448565001
4,0.00361311075652,88424,88424,0.797302171247,0.0189150453549,0.0483362901927,4.21264245757e-10,2.04389553631e-11,1999,1,0,14605.4382501,12.8216662407,21185,0,0,0.0894630962571,0.419811191275,0,0.1,0,0,32314.7410995,1,1,0,0,0,82,75,0,7,2,0,0,1,-1,0,0,14.8096068329
5,0.00351590496727,88423,88423,0.79729315444,-0.00973038748245,0.0483362901927,4.20511352722e-10,1.89651619747e-11,1999,1,0,13059.3292089,11.58558321,20971,0,0,0.134019879684,0.418393602491,0,0.1,0,0,32009.554957,1,1,0,0,0,83,76,0,7,3,0,0,1,0,0,0,23.7535760831
6,0.00344017538502,88424,88424,0.797302171247,0.00020647443072,0.0483362901927,3.6288281413e-10,1.81284254707e-11,2038,1,0,12766.795083,11.7395420074,19507,0,0,0.13365610733,0.418392135251,0,0.1,0,0,30999.4588064,1,1,0,0,0,81,75,0,6,4,0,0,1,-3,0,0,12.9128291667
7,0.00334704612017,88423,88423,0.79729315444,-0.0167971678331,0.0483362901927,2.83743606953e-10,1.68809254409e-11,2029,1,0,12723.2217503,11.6827917099,19378,0,0,0.132995143129,0.418511515504,0,0.1,0,0,30634.3394524,1,1,0,0,0,78,75,1,4,5,0,0,1,-4,0,0,12.8672899161
8,0.00328485321878,88423,88423,0.79729315444,0.000998265584992,0.0483362901927,2.27496028631e-10,1.58734136189e-11,2022,1,0,12763.1317501,11.8392920494,19474,0,0,0.135349585814,0.958444684978,0,0.1,0,0,30590.4859096,1,1,0,0,0,78,75,1,4,5,0,0,0,0,0,0,12.9166569174
9,0.00323676717816,88423,88423,0.79729315444,0.00926282100236,0.0483362901927,1.8483350487e-10,1.50404211091e-11,2020,1,0,12733.9692917,11.9344162941,19454,0,0,0.138707561403,0.968500273337,0,0.1,0,0,30712.9811328,1,1,0,0,0,79,75,1,5,6,0,0,2,-1,0,0,12.8836975419
10,0.00318643385061,88424,88424,0.797302171247,0.00584738601553,0.0483362901927,1.42955211992e-10,1.41698167073e-11,2019,1,0,12825.1923342,11.5865411758,19408,0,0,0.145479995122,0.9574733855,0,0.1,0,0,30757.5138115,1,1,0,0,0,82,74,1,9,7,0,0,3,0,0,0,23.699072625
11,0.00312587991837,88424,88424,0.797302171247,-0.00400035597975,0.0483362901927,1.40459340384e-10,1.32201324646e-11,2003,1,0,12533.9278331,11.5950827599,19356,0,0,0.146151985599,0.96111462153,0,0.1,0,0,30237.7230258,1,1,0,0,0,80,73,1,8,7,0,0,0,-2,0,0,12.68156975
12,0.00307700471849,88423,88423,0.79729315444,-0.000834949558579,0.0483362901927,1.34405877766e-10,1.23925961232e-11,1979,1,0,12447.325417,11.6365828514,19301,0,0,0.147424056257,0.966348874518,0,0.1,0,0,30148.0001084,1,1,0,0,0,78,73,1,6,7,0,0,0,-2,0,0,12.597209333
13,0.00304457581627,88424,88424,0.797302171247,0.0129104630599,0.0483362901927,1.2949644528e-10,1.1808435434e-11,1966,1,0,13909.482542,12.8049583435,19042,0,0,0.152497212015,0.973031205333,0,0.1,0,0,30375.5956448,1,1,0,0,0,77,73,1,5,7,0,0,0,-1,0,0,14.103566125
14,0.00300715704191,88423,88423,0.79729315444,0.00657014298951,0.0483362901927,1.22442191806e-10,1.12245325369e-11,1968,1,0,12647.118042,11.7552919388,19269,0,0,0.155190467967,0.979484868848,0,0.1,0,0,30437.4629956,1,1,0,0,0,78,70,1,9,7,0,0,0,1,0,0,12.7994356663
15,0.00295352770576,88423,88423,0.79729315444,-0.0123199840872,0.0483362901927,1.7704354719e-10,1.06470405155e-11,1979,1,0,14260.6584592,12.897415638,19243,0,0,0.153398927654,0.989137886749,0,0.1,0,0,30113.1845683,1,1,0,0,0,77,66,1,12,7,0,0,0,-1,0,0,30.9669789998
16,0.00291225237563,88423,88423,0.79729315444,0.0047055446013,0.0483362901927,1.9994666903e-10,1.02079756111e-11,2004,1,0,33846.545167,13.6573748589,19203,0,0,0.155008759781,0.995634314499,0,0.1,0,0,29594.6442824,1,1,0,0,0,74,61,1,14,7,0,0,0,-3,0,0,34.2125319578
17,0.0028837711044,88424,88424,0.797302171247,0.00977781103455,0.0483362901927,2.18918984622e-10,9.86284587592e-12,2022,1,0,28730.6205416,13.609000206,19175,0,0,0.15631471768,0.996991739127,0,0.1,0,0,29636.8372917,1,1,0,0,0,78,54,1,25,8,0,0,2,2,0,0,28.9924127501
