field,printed_voxels,achieved_vf,fractional_samples,max_von_mises_mpa,margin_worst_case,margin_effective,accepted,min_feature_violations,load_path_connected
evidence/2026-08-10-levelset-alpha-and-stopping-rule/s2_alpha_min/snap/it0001,75790,0.683383827454,28019,0.0215436096873,2552.96121673,528.623278447,1,852,1
evidence/2026-08-10-levelset-alpha-and-stopping-rule/s2_alpha_min/snap/it0005,76117,0.686332323451,26333,0.0254762230928,2158.87574071,447.022839334,1,885,1
evidence/2026-08-10-levelset-alpha-and-stopping-rule/s2_alpha_min/snap/it0010,75660,0.682211642502,25605,0.0176444894673,3117.12050961,645.439676993,1,877,1
evidence/2026-08-10-levelset-alpha-and-stopping-rule/s2_alpha_min/snap/it0015,75403,0.679894323018,25162,0.0163224157305,3369.59926203,697.718632493,1,868,1
evidence/2026-08-10-levelset-alpha-and-stopping-rule/s2_alpha_min/snap/it0020,75370,0.679596768376,24095,0.01611048332,3413.92613167,706.897077901,1,795,1
evidence/2026-08-10-levelset-alpha-and-stopping-rule/s2_alpha_min/snap/it0025,75361,0.67951561711,23989,0.0161094656894,3414.14178847,706.9417324,1,736,1
evidence/2026-08-10-levelset-alpha-and-stopping-rule/s2_alpha_min/snap/it0030,75279,0.678776238909,24078,0.0161463167666,3406.3496211,705.328264464,1,706,1
evidence/2026-08-10-levelset-alpha-and-stopping-rule/s2_alpha_min/snap/it0035,75239,0.678415566616,24302,0.0161558901073,3404.33115321,704.910314867,1,705,1
evidence/2026-08-10-levelset-alpha-and-stopping-rule/s2_alpha_min/snap/it0040,75217,0.678217196855,24502,0.0161586760672,3403.7442035,704.78877942,1,739,1
evidence/2026-08-10-levelset-alpha-and-stopping-rule/s2_alpha_min/snap/it0045,75180,0.677883574984,24885,0.0161607068929,3403.31647399,704.700212553,1,770,1
evidence/2026-08-10-levelset-alpha-and-stopping-rule/s2_alpha_min/snap/it0050,75108,0.677234364856,25306,0.01616157206,3403.13428642,704.662488287,1,875,1
evidence/2026-08-10-levelset-alpha-and-stopping-rule/s2_alpha_min/snap/it0055,75094,0.677108129553,25639,0.0161605341101,3403.35286108,704.707746966,1,1033,1
evidence/2026-08-10-levelset-alpha-and-stopping-rule/s2_alpha_min/snap/it0060,75033,0.676558104306,25881,0.0161585792169,3403.76460465,704.79300374,1,1247,1
evidence/2026-08-10-levelset-alpha-and-stopping-rule/s2_alpha_min/snap/it0065,74948,0.675791675683,26257,0.0161435304978,3406.93753498,705.449999553,1,1385,1
evidence/2026-08-10-levelset-alpha-and-stopping-rule/s2_alpha_min/snap/it0070,74954,0.675845776527,26461,0.0161470384499,3406.19737611,705.296740191,1,1494,1
evidence/2026-08-10-levelset-alpha-and-stopping-rule/s2_alpha_min/snap/it0075,74923,0.6755662555,26708,0.0161447140487,3406.6877762,705.398283804,1,1573,1
