iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,iteration_wall_s
16,0.002397025226,88423,88423,0.79729315444,0.0282414884648,0.0483362901927,9.15847354012e-12,1.52079524401e-12,2766,1,0,33997.0021667,14.4736251831,17535,0,0,0.315261859173,0.999901180108,0,0.1,0,0,24174.9339895,1,1,0,0,0,114,64,14,64,9,0,0,1,-204,1,964,34.2656796663
17,0.00239474816022,88424,88424,0.797302171247,-0.00223380750658,0.0483362901927,1.06883742763e-11,1.47910513788e-12,2796,1,0,38184.2402081,14.5564169884,16751,0,0,0.314671577186,0.999901180108,0,0.1,0,0,23094.4511578,1,1,0,0,0,108,91,18,35,10,0,0,1,-7,1,964,38.4439952918
18,0.00239093106615,88424,88424,0.797302171247,-0.0215003454562,0.0483362901927,1.05571115295e-11,1.3714339527e-12,2801,1,0,34647.2107091,16.6324162483,15983,0,0,0.301777113051,0.999901180108,0,0.1,0,0,22066.630589,1,1,0,0,0,113,91,15,37,10,0,0,0,5,1,964,34.9342227504
19,0.00238967550695,88423,88423,0.79729315444,0.00208067792094,0.0483362901927,9.6912138768e-12,1.375742432e-12,2823,1,0,33843.2058344,13.0811657906,15422,0,0,0.305646588097,0.999901180108,0,0.1,0,0,21001.2425374,1,1,0,0,0,109,87,16,38,10,0,0,0,-4,1,964,34.1380657498
20,0.00238910542375,88423,88423,0.79729315444,0.00693725991991,0.0483362901927,1.07692013147e-11,1.39810321529e-12,2843,1,0,32807.7938328,14.2152090073,15688,0,0,0.212859413982,0.986394144469,0,0.1,0,0,21633.7926786,1,1,0,0,0,62,-11,12,85,11,0,0,1,-48,2,1928,52.8294308339
21,0.0023898065836,88423,88423,0.79729315444,0.00307914234946,0.0483362901927,8.61431457409e-12,1.57462964544e-12,2808,1,0,32476.9469581,13.5282092094,13534,0,0,0.212836431284,0.995899353246,0,0.1,0,0,18178.8230964,1,1,0,0,0,48,2,10,56,12,0,0,1,-15,2,1928,32.6906759581
22,0.00238886469286,88424,88424,0.797302171247,0.00842108116153,0.0483362901927,7.9048260816e-12,1.53991049921e-12,2840,1,0,32252.1462502,13.674041748,13178,0,0,0.21381134989,0.984533018158,0,0.1,0,0,17914.162029,1,1,0,0,0,46,-6,8,60,13,0,0,5,-7,2,1928,32.5057630003
23,0.00238772120447,88424,88424,0.797302171247,0.00148744598943,0.0483362901927,7.04500496703e-12,1.4958301808e-12,2854,1,0,33546.6059999,13.4909996986,12954,0,0,0.214860790331,0.991537652404,0,0.1,0,0,17655.3600219,1,1,0,0,0,49,-2,7,58,14,0,0,6,-3,2,1928,33.8360344581
24,0.00238684217536,88424,88424,0.797302171247,0.00048551856142,0.0483362901927,6.2177302031e-12,1.46880524733e-12,2871,1,0,39442.061584,13.4486250877,12817,0,0,0.216336791961,0.980321173163,0,0.1,0,0,17431.4549229,1,1,0,0,0,49,-23,8,80,15,0,0,4,-4,2,1928,39.7195829158
25,0.00238622447193,88423,88423,0.79729315444,0.0006869390827,0.0483362901927,5.31829188401e-12,1.45540124501e-12,2873,1,0,32569.3060422,13.2023329735,12675,0,0,0.208668811745,0.978853791955,0,0.1,0,0,17235.7454743,1,1,0,0,0,47,-32,7,86,16,0,0,2,-4,2,1928,49.8717165831
26,0.00238630925674,88423,88423,0.79729315444,0.0127861962844,0.0483362901927,8.56319073626e-12,1.50797909839e-12,2642,1,0,33983.578917,13.2537503242,11940,0,0,0.210074710099,0.969747787398,0,0.1,0,0,16563.4121476,1,1,0,0,0,50,-4,7,61,16,0,0,0,3,2,1928,34.1891840422
27,0.00238583302209,88423,88423,0.79729315444,-0.00201361738169,0.0483362901927,5.24191182586e-12,1.47917044462e-12,2612,1,0,29466.0056672,13.7770409584,11920,0,0,0.211380675032,0.971281173974,0,0.1,0,0,16660.4427984,1,1,0,0,0,47,-27,6,80,17,0,0,3,-6,2,1928,29.727496834
28,0.00238558700102,88424,88424,0.797302171247,0.00095036633248,0.0483362901927,3.23108368503e-12,1.47068753972e-12,2602,1,0,28069.7207499,13.1027078629,12023,0,0,0.212542186138,0.98267372171,0,0.1,0,0,16781.6579824,1,1,0,0,0,50,-12,6,68,18,0,0,3,0,2,1928,28.4243151662
29,0.00238527664387,88423,88423,0.79729315444,-0.00136717848823,0.0483362901927,2.06030990994e-12,1.4554993636e-12,2592,1,0,25906.522542,12.9422922134,12028,0,0,0.214205004143,0.980552969636,0,0.1,0,0,16882.1180518,1,1,0,0,0,48,-29,7,84,19,0,0,1,-3,2,1928,26.1595077082
30,0.00238515982453,88423,88423,0.79729315444,0.00136350490874,0.0483362901927,6.41024076595e-12,1.50859693367e-12,2603,1,0,26877.098083,12.9573750496,12424,0,0,0.257368366666,0.999592749918,0,0.1,0,0,16847.5300894,1,1,0,0,0,43,-38,5,86,20,0,0,1,-6,3,2892,43.1877935422
31,0.00239017264119,88423,88423,0.79729315444,-0.00533691620267,0.0483362901927,8.56233029289e-12,1.95427372936e-12,2571,1,0,34709.0745001,42.1419577599,11591,0,0,0.257466504279,0.999592749918,0,0.1,0,0,15958.9129096,1,1,0,0,0,43,-16,4,63,21,0,0,2,-2,3,2892,35.0773573341
32,0.00238834974948,88424,88424,0.797302171247,0.00671776290107,0.0483362901927,6.59100761336e-12,1.7963249757e-12,2547,1,0,33229.5987086,18.2782912254,11738,0,0,0.258596773421,0.999592749918,0,0.1,0,0,16338.9449203,1,1,0,0,0,37,-17,4,58,22,0,0,2,-8,3,2892,33.5191334998
33,0.00238697351573,88423,88423,0.79729315444,0.00551073446327,0.0483362901927,4.77806417913e-12,1.67452413387e-12,2541,1,0,26046.817667,13.8723330498,11845,0,0,0.259861138685,0.999592749918,0,0.1,0,0,16639.6515941,1,1,0,0,0,39,-14,5,58,23,0,0,4,-2,3,2892,26.3462662497
34,0.00238601435727,88423,88423,0.79729315444,0.00495712149926,0.0483362901927,4.03863400004e-12,1.58774152429e-12,2548,1,0,26317.2994576,13.8655834198,11923,0,0,0.262073073851,0.999592749918,0,0.1,0,0,16831.8811719,1,1,0,0,0,37,-13,3,53,24,0,0,1,-3,3,2892,26.5675951247
35,0.00238525966195,88424,88424,0.797302171247,0.00271552589057,0.0483362901927,3.24861241246e-12,1.52142093834e-12,2553,1,0,26547.4857922,14.2337498665,12013,0,0,0.252574891432,0.998913223243,0,0.1,0,0,16935.8084384,1,1,0,0,0,42,-13,2,57,25,0,0,8,-3,3,2892,43.094322667
36,0.00238502755504,88424,88424,0.797302171247,0.00648921992046,0.0483362901927,2.93611881066e-12,1.50925218058e-12,2457,1,0,25666.032208,13.734333992,11826,0,0,0.254183634944,0.998913223243,0,0.1,0,0,16756.6468435,1,1,0,0,0,44,0,2,46,26,0,0,3,-1,3,2892,25.956029417
37,0.0023846044127,88423,88423,0.79729315444,0.000812408303373,0.0483362901927,2.02074218759e-12,1.47241389125e-12,2451,1,0,28057.334209,14.0675830841,11955,0,0,0.255912625119,0.998913223243,0,0.1,0,0,16818.9514555,1,1,0,0,0,44,-2,1,47,27,0,0,4,-4,3,2892,28.3138785828
38,0.00238445174136,88423,88423,0.79729315444,0.00298551542061,0.0483362901927,1.53873866056e-12,1.45629762091e-12,2452,1,0,29545.8105421,13.6405830383,12071,0,0,0.258020798283,0.998913223243,0,0.1,0,0,16863.5000907,1,1,0,0,0,48,5,1,44,28,0,0,4,0,3,2892,29.8061414999
39,0.00238423276486,88423,88423,0.79729315444,0.000386771084615,0.0483362901927,1.36175862065e-12,1.44045918138e-12,2456,1,0,37610.5298753,13.5242500305,12196,0,0,0.259683676671,0.998913223243,0,0.1,0,0,16874.2540085,1,1,0,0,0,45,-4,2,51,28,0,0,0,-3,3,2892,37.87263725
40,0.00238404106915,88424,88424,0.797302171247,-0.000109235074455,0.0483362901927,2.48892713535e-12,1.45074013638e-12,2450,1,0,30007.3710837,13.3244161606,12636,0,0,0.257437241127,0.996972470188,0,0.1,0,0,16993.914507,1,1,0,0,0,39,-22,2,63,29,0,0,1,-7,4,3856,47.551556333
41,0.00238854978251,88423,88423,0.79729315444,-0.00157101423809,0.0483362901927,6.66784154435e-12,1.77823371235e-12,2549,1,0,29299.8926663,14.5000839233,11913,0,0,0.257729532251,0.996972470188,0,0.1,0,0,16385.6568191,1,1,0,0,0,38,-12,1,51,29,0,0,0,-1,4,3856,29.5607090001
