iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,sealed_pockets_manuf,sealed_voxels_manuf,sealed_mm3_manuf,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
14,0.00243565482306,88424,88424,0.797302171247,-0.024860850616,0.0483362901927,5.81596694388e-11,3.12110389881e-12,2282,1,0,26125.7294579,14.8167920113,24103,0,0,0.319492174634,0.999788916998,0,0.1,0,0,32037.8807447,0,1.00774160532,0,0,0,368,299,159,228,6,0,0,0,-8,0,0,242,2474,12268.3528482,0,0,0,0,80.9739222503
15,0.00242713778305,88423,88423,0.79729315444,0.01114992991,0.0483362901927,4.71869530194e-11,2.84053264117e-12,2403,1,0,35860.2467089,14.2667908669,21735,0,0,0.308786767554,0.999868421895,0,0.1,0,0,29640.6161772,0,1.00662051849,0,0,0,187,136,53,104,6,0,0,0,-181,0,0,118,2294,11375.7483564,0,0,0,0,100.824395667
16,0.00240720421066,88424,88424,0.797302171247,0.0214563403624,0.0483362901927,1.22200191392e-11,1.70040401807e-12,2591,1,0,23544.7042089,13.2307500839,17366,0,0,0.320857372495,0.999868421895,0,0.1,0,0,24196.3609346,0,1.00299427683,0,0,0,107,82,12,37,7,0,0,2,-82,0,0,70,2196,10889.7747998,0,0,0,0,76.9893905828
17,0.0024023354185,88424,88424,0.797302171247,-0.0175575593327,0.0483362901927,1.04418766026e-11,1.58496142163e-12,2718,1,0,34317.0497079,16.0578751564,16011,0,0,0.315873475977,0.999868421895,0,0.1,0,0,22854.2373916,0,1.00261601403,0,0,0,103,83,13,33,7,0,0,0,-4,0,0,67,2021,10021.9648772,0,0,0,0,93.3520871657
18,0.00239811288325,88423,88423,0.79729315444,-0.0180830994001,0.0483362901927,8.43363735498e-12,1.4880303828e-12,2742,1,0,25702.9796672,12.697291851,15159,0,0,0.289389377764,0.999868421895,0,0.1,0,0,21529.2769274,0,1.00229882297,0,0,0,101,90,11,22,7,0,0,0,-2,0,0,68,1887,9357.47042224,0,0,0,0,80.6606984166
19,0.00239658188202,88424,88424,0.797302171247,0.00585706704107,0.0483362901927,7.12915092589e-12,1.50875841709e-12,2774,1,0,25450.9794579,12.4446249008,14148,0,0,0.300278891702,0.999868421895,0,0.1,0,0,20049.5077995,0,1.00215371802,0,0,0,99,91,12,20,8,0,0,1,-3,0,0,67,1798,8916.12709019,0,0,0,0,72.4341564579
20,0.00239564315665,88423,88423,0.79729315444,0.00903272851412,0.0483362901927,5.92206223591e-12,1.5497999419e-12,2817,1,0,24691.6832924,12.6477079391,13255,0,0,0.276221407897,0.999600780158,0,0.1,0,0,18724.8847365,0,1.002048458,0,0,0,93,88,9,14,8,0,0,0,-6,0,0,62,1792,8886.37360713,0,0,0,0,85.3673055419
21,0.00239449470812,88423,88423,0.79729315444,0.00936154027107,0.0483362901927,6.07582687328e-12,1.7375105306e-12,2830,1,0,22122.866333,13.6905417442,11268,0,0,0.301656999932,0.999600780158,0,0.1,0,0,15389.6591089,0,1.00192005011,0,0,0,82,64,6,24,9,0,0,1,-12,0,0,55,1725,8554.12637963,0,0,0,0,62.9287717501
22,0.00239376558424,88423,88423,0.79729315444,0.000674487363583,0.0483362901927,7.22854755339e-12,1.73399462504e-12,2838,1,0,19456.6376672,16.779042244,10947,0,0,0.305565597951,0.999600780158,0,0.1,0,0,15066.6621566,0,1.00185305478,0,0,0,77,57,7,27,10,0,0,1,-6,0,0,52,1801,8931.00383172,0,0,0,0,64.345702
23,0.00239312370206,88423,88423,0.79729315444,0.000538596930151,0.0483362901927,9.71999635584e-12,1.73021531084e-12,2833,1,0,22494.5158753,12.5187087059,10567,0,0,0.307779205686,0.999600780158,0,0.1,0,0,14791.4427677,0,1.00178706853,0,0,0,71,57,9,23,10,0,0,0,-6,0,0,48,1842,9134.31929929,0,0,0,0,70.1440396672
24,0.00239243783277,88424,88424,0.797302171247,-0.00104082963129,0.0483362901927,1.12477243492e-11,1.71789426691e-12,2843,1,0,25876.7764997,13.4414591789,9842,0,0,0.305290072588,0.999600780158,0,0.1,0,0,14571.7217273,0,1.00171813923,0,0,0,70,57,10,23,10,0,0,0,-1,0,0,47,1873,9288.04562843,0,0,0,0,88.3274930408
25,0.00239192245377,88423,88423,0.79729315444,-8.66949644118e-06,0.0483362901927,1.1394126179e-11,1.71031473421e-12,2857,1,0,26465.5591249,13.7257499695,9555,0,0,0.253879247789,0.999770420449,0,0.1,0,0,14384.6068063,0,1.00166062035,0,0,0,66,50,8,24,11,0,0,1,-5,0,0,44,1901,9426.89521605,0,0,0,0,87.170605625
26,0.00239178639558,88423,88423,0.79729315444,0.00756164376052,0.0483362901927,1.02811085872e-11,1.73775923226e-12,2421,1,0,20219.8035002,13.0636248589,9738,0,0,0.27640465042,0.999793734321,0,0.1,0,0,13866.608829,0,1.00171159894,0,0,0,59,50,5,14,11,0,0,0,-7,0,0,38,1875,9297.96345612,0,0,0,0,69.6628650832
27,0.00239128195214,88424,88424,0.797302171247,-0.0011166652529,0.0483362901927,9.2746914852e-12,1.71280653238e-12,2412,1,0,20541.3734589,13.0575408936,9464,0,0,0.274061957014,0.999793734321,0,0.1,0,0,13771.3823041,0,1.00164187399,0,0,0,58,46,4,16,12,0,0,1,-2,0,0,37,1916,9501.2789237,0,0,0,0,60.3506759591
28,0.00239072153759,88424,88424,0.797302171247,-0.00281447988143,0.0483362901927,7.7955190952e-12,1.68952791574e-12,2406,1,0,18213.7782922,13.0842499733,9148,0,0,0.267794754193,0.999793734321,0,0.1,0,0,13644.4959625,0,1.00157069009,0,0,0,57,41,4,20,12,0,0,0,-1,0,0,36,1948,9659.96416668,0,0,0,0,115.634830875
29,0.00239033558385,88424,88424,0.797302171247,-0.000625860350801,0.0483362901927,6.45079770683e-12,1.67678704056e-12,2402,1,0,39076.8709159,14.7799172401,8853,0,0,0.265735876776,0.999793734321,0,0.1,0,0,13552.4968373,0,1.00151534134,0,0,0,55,41,4,18,12,0,0,0,-2,0,0,35,1957,9704.59439127,0,0,0,0,107.275363666
30,0.00238990695089,88424,88424,0.797302171247,-0.00198447722864,0.0483362901927,5.18581856871e-12,1.65853904308e-12,2404,1,0,37087.3487501,14.1849589348,8595,0,0,0.205774648876,0.996529384126,0,0.1,0,0,13432.9249221,0,1.00145452288,0,0,0,49,39,2,12,12,0,0,0,-6,0,0,29,1979,9813.69049582,0,0,0,0,132.233845791
