iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,sealed_pockets_manuf,sealed_voxels_manuf,sealed_mm3_manuf,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
68,0.00238722577294,88424,88424,0.797302171247,0.00222157697325,0.0483362901927,1.49748643016e-12,1.5902868232e-12,2421,1,0,20854.3109169,12.7144160271,7932,0,0,0.193028958933,0.993245872519,0,0.1,0,0,12688.9996992,0,1.00126478999,0,0,0,29,20,0,9,22,0,0,0,0,0,0,17,2216,10988.9530767,0,0,0,0,68.4370259168
69,0.00238703043595,88424,88424,0.797302171247,-0.00126774196469,0.0483362901927,1.39598540022e-12,1.57033609094e-12,2421,1,0,18878.6745,13.0504169464,7558,0,0,0.196858104409,0.993245872519,0,0.1,0,0,12714.6784937,0,1.0012057041,0,0,0,27,19,0,8,22,0,0,0,-2,0,0,16,2230,11058.3778705,0,0,0,0,57.349336083
70,0.00238692948054,88424,88424,0.797302171247,0.000679017808245,0.0483362901927,1.59375202821e-12,1.57324506137e-12,2422,1,0,26104.267375,12.8088331223,7392,0,0,0.185192145911,0.994475367564,0,0.1,0,0,12630.2655864,0,1.00115782009,0,0,0,27,20,0,7,22,0,0,0,0,0,0,16,2207,10944.3228521,0,0,0,0,80.8931521247
71,0.00238729571561,88424,88424,0.797302171247,-0.000841152049546,0.0483362901927,1.71758521984e-12,1.60152867246e-12,2429,1,0,27079.9420424,15.1214580536,8681,0,0,0.187194801279,0.994475367564,0,0.1,0,0,12728.5183233,0,1.0013862276,0,0,0,28,19,0,9,22,0,0,0,1,0,0,17,2223,11023.6654736,0,0,0,0,70.6375568747
72,0.00238738439494,88423,88423,0.79729315444,0.00530597390877,0.0483362901927,1.77831856151e-12,1.60648526376e-12,2420,1,0,20118.5045419,13.4622907639,8329,0,0,0.190087481506,0.994475367564,0,0.1,0,0,12688.6061432,0,1.00133244124,0,0,0,29,20,0,9,23,0,0,1,0,0,0,16,2201,10914.569369,0,0,0,0,81.629415541
73,0.00238718502047,88423,88423,0.79729315444,-0.000613203318034,0.0483362901927,1.61276712728e-12,1.58487033e-12,2426,1,0,50577.0457921,53.0556249619,7963,0,0,0.193619819962,0.994475367564,0,0.1,0,0,12718.1647144,0,1.00126340533,0,0,0,28,18,0,10,23,0,0,0,-1,0,0,16,2242,11117.8848366,0,0,0,0,179.939084
74,0.00238706468539,88424,88424,0.797302171247,0.000306668749895,0.0483362901927,1.7204012566e-12,1.57965148478e-12,2423,1,0,63709.701375,12.8837919235,7630,0,0,0.197409934358,0.994475367564,0,0.1,0,0,12677.620955,0,1.0012111898,0,0,0,28,20,0,8,24,0,0,1,-1,0,0,15,2213,10974.0763351,0,0,0,0,178.468289917
75,0.00238688892993,88423,88423,0.79729315444,-0.000951222758722,0.0483362901927,1.48866720694e-12,1.56108123456e-12,2427,1,0,42426.0586252,12.0170407295,7375,0,0,0.185904651106,0.990728714811,0,0.1,0,0,12670.7964815,0,1.00115488243,0,0,0,28,19,0,9,24,0,0,0,0,0,0,17,2235,11083.1724397,0,0,0,0,145.843882833
76,0.00238744514072,88424,88424,0.797302171247,0.0022691909834,0.0483362901927,1.8576786271e-12,1.61925819171e-12,2430,1,0,27158.2297912,12.6883749962,8715,0,0,0.187808617882,0.990728714811,0,0.1,0,0,12743.4731578,0,1.0014035205,0,0,0,29,21,0,8,25,0,0,1,0,0,0,17,2216,10988.9530767,0,0,0,0,87.6209584591
77,0.00238729241756,88423,88423,0.79729315444,0.000990216957226,0.0483362901927,1.54576359678e-12,1.59719361643e-12,2430,1,0,27703.4588752,13.273665905,8340,0,0,0.190751407154,0.990728714811,0,0.1,0,0,12738.4523969,0,1.00132903345,0,0,0,28,19,0,9,25,0,0,0,-1,0,0,17,2232,11068.2956982,0,0,0,0,93.0989952078
78,0.00238718035102,88424,88424,0.797302171247,0.00100048907546,0.0483362901927,1.54818275704e-12,1.58889711933e-12,2426,1,0,23783.7203751,12.2334160805,7994,0,0,0.194316750047,0.990728714811,0,0.1,0,0,12726.5794465,0,1.00126666511,0,0,0,29,19,0,10,26,0,0,1,0,0,0,17,2241,11112.9259228,0,0,0,0,71.1359370002
79,0.00238697934238,88424,88424,0.797302171247,-0.0010764793891,0.0483362901927,1.34603661453e-12,1.56990955108e-12,2424,1,0,23318.5224161,13.2360420227,7617,0,0,0.198228174873,0.990728714811,0,0.1,0,0,12746.0067319,0,1.00120575802,0,0,0,27,19,0,8,26,0,0,0,-2,0,0,17,2243,11122.8437504,0,0,0,0,73.6803536252
80,0.00238685067768,88423,88423,0.79729315444,-0.000240575645123,0.0483362901927,1.44656473616e-12,1.56713218568e-12,2427,1,0,21183.732625,14.4530830383,7420,0,0,0.186589366499,0.992592542164,0,0.1,0,0,12658.8586188,0,1.00115572254,0,0,0,26,20,0,6,27,0,0,1,-2,0,0,14,2232,11068.2956982,0,0,0,0,83.4421620001
81,0.00238724984944,88423,88423,0.79729315444,-9.1654887869e-05,0.0483362901927,1.70170354629e-12,1.60327816856e-12,2431,1,0,22791.463542,12.2435412407,8747,0,0,0.188641091038,0.992592542164,0,0.1,0,0,12799.6431369,0,1.00139366521,0,0,0,25,18,0,7,27,0,0,0,-1,0,0,16,2239,11103.0080951,0,0,0,0,76.8470720001
82,0.00238721541589,88423,88423,0.79729315444,0.00301596079634,0.0483362901927,1.48779486481e-12,1.59669193526e-12,2430,1,0,21128.2276249,12.7357501984,8379,0,0,0.191516409827,0.992592542164,0,0.1,0,0,12734.4365951,0,1.00132971462,0,0,0,25,18,0,7,28,0,0,1,-1,0,0,14,2231,11063.3367843,0,0,0,0,65.6253722501
83,0.00238710009145,88423,88423,0.79729315444,0.000993955313529,0.0483362901927,1.31633570345e-12,1.58368124351e-12,2427,1,0,21776.0395412,14.1821250916,7979,0,0,0.195052955932,0.992592542164,0,0.1,0,0,12780.6474332,0,1.00126765208,0,0,0,28,19,0,9,28,0,0,0,3,0,0,16,2248,11147.6383197,0,0,0,0,69.8675706671
84,0.00238685590536,88423,88423,0.79729315444,-0.00212726409203,0.0483362901927,1.27677324669e-12,1.56657676504e-12,2425,1,0,25290.1819167,13.9975423813,7643,0,0,0.19899069808,0.992592542164,0,0.1,0,0,12733.7577754,0,1.00120485217,0,0,0,26,18,0,8,28,0,0,0,-2,0,0,15,2249,11152.5972335,0,0,0,0,77.667594125
85,0.00238683233379,88424,88424,0.797302171247,0.00237594642669,0.0483362901927,1.40034416267e-12,1.56837823375e-12,2431,1,0,23337.499166,13.868584156,7417,0,0,0.187048742123,0.994622406847,0,0.1,0,0,12715.7573909,0,1.00116065237,0,0,0,26,19,0,7,28,0,0,0,0,0,0,16,2242,11117.8848366,0,0,0,0,88.6283449172
86,0.0023873113089,88424,88424,0.797302171247,0.00114194270898,0.0483362901927,1.74630987984e-12,1.61214218115e-12,2432,1,0,25134.8936253,13.7082080841,8790,0,0,0.188988542465,0.994622406847,0,0.1,0,0,12826.4749883,0,1.00140582097,0,0,0,25,19,0,6,29,0,0,1,-2,0,0,15,2228,11048.4600428,0,0,0,0,70.6141962502
87,0.0023872246017,88424,88424,0.797302171247,0.00208851104858,0.0483362901927,1.52134587132e-12,1.59625898705e-12,2427,1,0,20747.4274158,12.6828341484,8410,0,0,0.191940941204,0.994622406847,0,0.1,0,0,12829.1817115,0,1.0013371946,0,0,0,25,19,0,6,29,0,0,0,0,0,0,15,2247,11142.6794058,0,0,0,0,70.132926417
88,0.0023869970875,88423,88423,0.79729315444,-0.00124272853565,0.0483362901927,1.3206623022e-12,1.58046950816e-12,2431,1,0,25156.9337091,13.873790741,8034,0,0,0.195555063839,0.994622406847,0,0.1,0,0,12811.4860198,0,1.00126768843,0,0,0,23,18,0,5,29,0,0,0,-2,0,0,13,2246,11137.720492,0,0,0,0,76.5785741247
89,0.00238691182316,88423,88423,0.79729315444,0.00123625556106,0.0483362901927,1.41232241832e-12,1.57270634505e-12,2432,1,0,23143.1636248,20.1358752251,7667,0,0,0.199516376857,0.994622406847,0,0.1,0,0,12834.1558029,0,1.00121473674,0,0,0,27,18,0,9,30,0,0,1,3,0,0,16,2250,11157.5561473,0,0,0,0,74.9758074158
90,0.00238672146678,88423,88423,0.79729315444,-0.00121835689355,0.0483362901927,1.51815284113e-12,1.56209744743e-12,2427,1,0,21674.25525,14.6801667213,7417,0,0,0.188395247536,0.962486806023,0,0.1,0,0,12760.1626658,0,1.00115959926,0,0,0,24,19,0,5,31,0,0,1,-4,0,0,13,2084,10334.3764494,0,0,0,0,78.8414384578
91,0.00238721803231,88424,88424,0.797302171247,0.00106142998297,0.0483362901927,1.72060132178e-12,1.60898865625e-12,2433,1,0,25734.522584,13.6757078171,8793,0,0,0.190400337742,0.962486806023,0,0.1,0,0,12893.5990328,0,1.00141061233,0,0,0,25,19,0,6,31,0,0,0,1,0,0,14,2236,11088.1313535,0,0,0,0,69.0225047921
92,0.00238712773632,88424,88424,0.797302171247,0.00205433962351,0.0483362901927,1.51217312698e-12,1.59788214894e-12,2434,1,0,21284.1992497,13.587375164,8420,0,0,0.193275869612,0.962486806023,0,0.1,0,0,12843.3739823,0,1.00134380014,0,0,0,23,17,0,6,31,0,0,0,-2,0,0,12,2243,11122.8437504,0,0,0,0,72.6030972088
93,0.00238702027298,88424,88424,0.797302171247,0.00113260317555,0.0483362901927,1.43144621697e-12,1.5861599288e-12,2432,1,0,30417.4277501,13.3786659241,8012,0,0,0.196869036964,0.962486806023,0,0.1,0,0,12888.5748479,0,1.00128147764,0,0,0,24,17,0,7,31,0,0,0,1,0,0,13,2247,11142.6794058,0,0,0,0,79.4084169171
94,0.00238681703272,88424,88424,0.797302171247,-0.001292716291,0.0483362901927,1.43711841307e-12,1.57102710597e-12,2426,1,0,23882.4683752,13.2032089233,7717,0,0,0.200877020762,0.962486806023,0,0.1,0,0,12852.0312453,0,1.00121909174,0,0,0,24,17,0,7,31,0,0,0,0,0,0,13,2239,11103.0080951,0,0,0,0,74.7169417911
95,0.00238674800465,88424,88424,0.797302171247,0.00142225917188,0.0483362901927,1.56666104674e-12,1.57102026671e-12,2435,1,0,29066.7840829,13.6411252022,7452,0,0,0.189738436529,0.969702816045,0,0.1,0,0,12840.8728866,0,1.00117382326,0,0,0,27,19,0,8,32,0,0,1,2,0,0,14,2242,11117.8848366,0,0,0,0,93.510784375
96,0.00238725765334,88423,88423,0.79729315444,0.00150887462693,0.0483362901927,1.77025989372e-12,1.61514931816e-12,2434,1,0,21895.784708,14.0909171104,8830,0,0,0.191643909413,0.969702816045,0,0.1,0,0,12924.7734387,0,1.00141780151,0,0,0,23,18,0,5,32,0,0,0,-4,0,0,13,2235,11083.1724397,0,0,0,0,67.8653148748
97,0.00238715920692,88424,88424,0.797302171247,0.00195356694372,0.0483362901927,1.51396206026e-12,1.59987520726e-12,2432,1,0,28740.363625,15.1749582291,8421,0,0,0.194656809222,0.969702816045,0,0.1,0,0,12926.4941108,0,1.00134928578,0,0,0,24,18,0,6,33,0,0,1,0,0,0,13,2251,11162.5150612,0,0,0,0,81.1184122921
98,0.00238691014443,88424,88424,0.797302171247,-0.00158874697466,0.0483362901927,1.38094177476e-12,1.58172611667e-12,2433,1,0,25465.66925,13.5430002213,8076,0,0,0.198328196574,0.969702816045,0,0.1,0,0,12916.1287478,0,1.0012772137,0,0,0,23,17,0,6,33,0,0,0,-1,0,0,13,2252,11167.473975,0,0,0,0,76.1152717923
99,0.00238688292109,88424,88424,0.797302171247,0.00232644284734,0.0483362901927,1.44213326002e-12,1.58120055907e-12,2436,1,0,25577.6446671,13.0262079239,7705,0,0,0.202364830483,0.969702816045,0,0.1,0,0,12933.1377518,0,1.00122810521,0,0,0,25,15,0,10,34,0,0,1,1,0,0,14,2251,11162.5150612,0,0,0,0,78.4296712913
100,0.00238666221862,88423,88423,0.79729315444,-0.00202138404685,0.0483362901927,1.53482117872e-12,1.56015902024e-12,2428,1,0,23001.7018328,13.6792092323,7475,0,0,0.191388765253,0.95999334808,0,0.1,0,0,12874.3504034,0,1.0011667577,0,0,0,22,17,0,5,34,0,0,0,-3,0,0,13,2244,11127.8026643,0,0,0,0,82.81398525
101,0.00238729416113,88424,88424,0.797302171247,0.00356561283214,0.0483362901927,1.74323134027e-12,1.62054801775e-12,2438,1,0,22204.4247918,12.8913750648,8851,0,0,0.193125268654,0.95999334808,0,0.1,0,0,12966.6955589,0,1.00142700004,0,0,0,24,17,0,7,35,0,0,2,0,0,0,14,2305,11430.2964087,0,0,0,0,66.2292372501
102,0.00238707517275,88424,88424,0.797302171247,-0.000289498670125,0.0483362901927,1.56985500197e-12,1.59747933174e-12,2430,1,0,21203.4538336,12.024541378,8496,0,0,0.196082691621,0.95999334808,0,0.1,0,0,12907.6765445,0,1.00134937195,0,0,0,23,16,0,7,35,0,0,0,-1,0,0,14,2250,11157.5561473,0,0,0,0,69.1243265001
103,0.00238701731785,88423,88423,0.79729315444,0.00197376173538,0.0483362901927,1.57033335159e-12,1.59024378453e-12,2437,1,0,21497.6368341,14.4940829277,8076,0,0,0.199571376637,0.95999334808,0,0.1,0,0,12951.3801796,0,1.00129080716,0,0,0,25,16,0,9,36,0,0,2,0,0,0,14,2253,11172.4328889,0,0,0,0,64.0893005831
104,0.00238676752583,88424,88424,0.797302171247,-0.00207388471564,0.0483362901927,1.55140227284e-12,1.56962192345e-12,2432,1,0,21213.9914579,13.0247502327,7761,0,0,0.203776239322,0.95999334808,0,0.1,0,0,12920.3646693,0,1.00122412812,0,0,0,24,18,0,6,36,0,0,0,-1,0,0,14,2252,11167.473975,0,0,0,0,63.6204193751
105,0.00238678328547,88423,88423,0.79729315444,0.00298604168205,0.0483362901927,1.54063390389e-12,1.57710465038e-12,2438,1,0,22024.6829576,15.3949999809,7485,0,0,0.192530960619,0.960003268922,0,0.1,0,0,12903.3562149,0,1.00118463831,0,0,0,25,15,0,10,37,0,0,1,0,0,0,14,2252,11167.473975,0,0,0,0,82.5245649996
106,0.00238717883545,88423,88423,0.79729315444,1.14914848314e-05,0.0483362901927,1.79300382298e-12,1.61050285185e-12,2435,1,0,22485.5917501,12.8093752861,8866,0,0,0.194544531797,0.960003268922,0,0.1,0,0,12998.8505624,0,1.00142062174,0,0,0,23,17,0,6,37,0,0,0,-2,0,0,14,2247,11142.6794058,0,0,0,0,63.1650078329
107,0.00238709867597,88424,88424,0.797302171247,0.00211873179083,0.0483362901927,1.65325213161e-12,1.59738945811e-12,2435,1,0,21023.579,12.7277498245,8449,0,0,0.197452769653,0.960003268922,0,0.1,0,0,12989.8335115,0,1.00135384104,0,0,0,23,14,0,9,38,0,0,2,-2,0,0,13,2248,11147.6383197,0,0,0,0,64.1362896659
108,0.00238692656546,88424,88424,0.797302171247,-0.00020556312579,0.0483362901927,1.65786683093e-12,1.58666001786e-12,2435,1,0,21237.4414158,12.7981672287,8108,0,0,0.20112824726,0.960003268922,0,0.1,0,0,12972.5848719,0,1.00128634203,0,0,0,25,18,0,7,39,0,0,1,1,0,0,14,2250,11157.5561473,0,0,0,0,66.5049629584
109,0.00238680094372,88424,88424,0.797302171247,0.000176902355021,0.0483362901927,1.65316627071e-12,1.57341027946e-12,2436,1,0,20962.33075,13.0667090416,7737,0,0,0.205281891554,0.960003268922,0,0.1,0,0,13000.670884,0,1.00123031272,0,0,0,24,15,0,9,39,0,0,0,-1,0,0,13,2251,11162.5150612,0,0,0,0,63.7720299996
110,0.00238663255838,88424,88424,0.797302171247,-0.000859374767897,0.0483362901927,1.62781170726e-12,1.56849770744e-12,2438,1,0,20785.944375,12.5633330345,7497,0,0,0.19317973902,0.953151872807,0,0.1,0,0,12906.7232717,0,1.00117578978,0,0,0,23,19,0,4,39,0,0,0,-1,0,0,14,2248,11147.6383197,0,0,0,0,77.9963455838
111,0.00238719965335,88424,88424,0.797302171247,0.0024467170533,0.0483362901927,1.6368310153e-12,1.61371165773e-12,2436,1,0,25311.8519158,15.500834465,8897,0,0,0.194988522029,0.953151872807,0,0.1,0,0,13031.4706948,0,1.00142845416,0,0,0,26,19,0,7,40,0,0,2,1,0,0,15,2319,11499.7212025,0,0,0,0,88.8825347922
112,0.00238703937796,88424,88424,0.797302171247,0.000721154365134,0.0483362901927,1.51580533615e-12,1.59709688783e-12,2434,1,0,28182.9849162,12.9745836258,8508,0,0,0.197858629812,0.953151872807,0,0.1,0,0,12969.3012345,0,1.00135518628,0,0,0,25,19,0,6,41,0,0,1,-2,0,0,15,2252,11167.473975,0,0,0,0,85.6451992909
113,0.00238694911775,88424,88424,0.797302171247,0.00133894992762,0.0483362901927,1.422627537e-12,1.58816648478e-12,2437,1,0,31640.4057078,15.6455001831,8115,0,0,0.201521457469,0.953151872807,0,0.1,0,0,13010.8713898,0,1.00129470733,0,0,0,25,18,0,7,42,0,0,1,-1,0,0,14,2254,11177.3918027,0,0,0,0,96.1825054171
114,0.00238672161005,88424,88424,0.797302171247,-0.00176939251333,0.0483362901927,1.40907370736e-12,1.57192931061e-12,2436,1,0,32036.2841659,13.1364998817,7788,0,0,0.205991879858,0.953151872807,0,0.1,0,0,12968.8636467,0,1.00122979612,0,0,0,24,19,0,5,43,0,0,1,-2,0,0,15,2257,11192.2685442,0,0,0,0,102.150484667
115,0.00238669908903,88424,88424,0.797302171247,0.00229815892047,0.0483362901927,1.40239569601e-12,1.57185685384e-12,2441,1,0,31691.6406674,17.4419159889,7528,0,0,0.194444888489,0.956973125494,0,0.1,0,0,12946.0755531,0,1.00118454229,0,0,0,26,18,0,8,44,0,0,2,0,0,0,15,2259,11202.1863719,0,0,0,0,114.962928666
116,0.00238721208977,88423,88423,0.79729315444,0.0017486946735,0.0483362901927,1.99080707077e-12,1.61943524868e-12,2439,1,0,32403.0812502,13.4880828857,8936,0,0,0.19608319081,0.956973125494,0,0.1,0,0,13066.5505986,0,1.00143518395,0,0,0,24,19,0,5,44,0,0,0,-2,0,0,15,2245,11132.7615781,0,0,0,0,95.911846125
117,0.00238702160973,88424,88424,0.797302171247,0.000118951368758,0.0483362901927,1.59988915977e-12,1.5954993734e-12,2436,1,0,31315.9798751,12.931084156,8498,0,0,0.199386800832,0.956973125494,0,0.1,0,0,13043.0168456,0,1.00135830413,0,0,0,26,18,0,8,45,0,0,2,0,0,0,14,2263,11222.0220273,0,0,0,0,101.123313041
118,0.00238684711821,88423,88423,0.79729315444,-0.000265198901217,0.0483362901927,1.32942200735e-12,1.58488665081e-12,2436,1,0,28392.1703749,13.6975831985,8166,0,0,0.20331900412,0.956973125494,0,0.1,0,0,13026.013248,0,1.00129173866,0,0,0,24,18,0,6,45,0,0,0,-2,0,0,14,2261,11212.1041996,0,0,0,0,67.5042053331
119,0.00238677231109,88423,88423,0.79729315444,0.00137308656491,0.0483362901927,1.30174638441e-12,1.57521753853e-12,2436,1,0,19249.4580827,12.70454216,7780,0,0,0.207345021967,0.956973125494,0,0.1,0,0,13060.1087439,0,1.00123764143,0,0,0,25,14,0,11,46,0,0,1,0,0,0,14,2263,11222.0220273,0,0,0,0,57.896152541
120,0.0023864500834,88423,88423,0.79729315444,-0.00398420456066,0.0483362901927,1.26368376528e-12,1.5575004796e-12,2440,1,0,24043.7163339,12.7783751488,7520,0,0,0.195363733141,0.974907941999,0,0.1,0,0,12961.6780364,0,1.00117460537,0,0,0,25,18,0,7,47,0,0,1,-1,0,0,16,2250,11157.5561473,0,0,0,0,76.4042837499
