rung,vf,off_iters,on_iters,off_compliance,on_compliance,compliance_rel_delta,off_margin,on_margin,margin_rel_delta,off_accepted,on_accepted,off_printed,on_printed,mean_abs_drho,max_abs_drho,on_f_bar,on_latched
0,0.6800,38,39,4.63900267994,4.63896055541,9.080513e-06,1.759473594,1.759376166,5.537371e-05,1,1,0.515152,0.515152,3.940575e-06,1.188483e-03,0.416965,0
1,0.5200,59,58,8.71832621264,8.72664102474,9.537166e-04,0.8423431519,0.8417412629,7.145414e-04,0,0,0.371212,0.371212,2.952213e-04,1.265566e-01,0.394385,0
