iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,iteration_wall_s
17,0.00243062098583,88424,88424,0.797302171247,0.000533852857662,0.0483362901927,2.33800237462e-11,3.37672363516e-12,2486,1,0,23521.6341252,12.0762500763,6954,0,0,0.132529229773,0.93671902632,0,0.1,0,0,10464.4859054,1,1,0,0,0,12,7,0,5,16,0,0,1,-1,23.680240917
18,0.00242761340371,88423,88423,0.79729315444,-0.00135865832291,0.0483362901927,2.23050265546e-11,3.25784854998e-12,2490,1,0,33742.622375,13.5792078972,6973,0,0,0.137218151375,0.983075447379,0,0.1,0,0,10488.4007009,1,1,0,0,0,12,6,0,6,17,0,0,1,-1,33.9760813331
19,0.00242506955199,88424,88424,0.797302171247,0.00157520859199,0.0483362901927,2.02970800713e-11,3.14742406413e-12,2489,1,0,23829.6378751,12.6327075958,7057,0,0,0.142536313039,0.954170834302,0,0.1,0,0,10603.7697396,1,1,0,0,0,12,6,0,6,18,0,0,2,-2,23.9981822907
20,0.00242218852056,88424,88424,0.797302171247,-0.00361634203121,0.0483362901927,1.97157538755e-11,3.03849271018e-12,2492,1,0,27656.516417,13.3134169579,7105,0,0,0.122565677271,0.942207715149,0,0.1,0,0,10614.743312,1,1,0,0,0,12,6,0,6,18,0,0,0,0,44.7599245831
21,0.00241995197172,88424,88424,0.797302171247,0.0027601459609,0.0483362901927,2.05194220184e-11,2.97343857188e-12,2494,1,0,41335.1140828,13.5030422211,7163,0,0,0.126333049156,0.933401831937,0,0.1,0,0,10646.6630851,1,1,0,0,0,10,7,0,3,19,0,0,1,-3,41.570877125
22,0.00241778477834,88423,88423,0.79729315444,0.000255557965807,0.0483362901927,2.01627220386e-11,2.88938352894e-12,2494,1,0,21966.8388338,12.5689163208,7157,0,0,0.130891143377,0.949018484664,0,0.1,0,0,10653.8633712,1,1,0,0,0,11,9,0,2,20,0,0,1,0,22.1304416251
23,0.00241586810197,88424,88424,0.797302171247,0.00167789096122,0.0483362901927,1.97125825677e-11,2.81719869168e-12,2494,1,0,23223.3537498,12.1335830688,7144,0,0,0.135092309316,0.943490226973,0,0.1,0,0,10759.4593255,1,1,0,0,0,10,6,0,4,21,0,0,1,-2,23.407558166
24,0.002413852875,88423,88423,0.79729315444,-0.000824930135107,0.0483362901927,1.93235651283e-11,2.74418909891e-12,2495,1,0,30775.6776667,13.8571252823,7170,0,0,0.140021645487,0.952245359388,0,0.1,0,0,10799.078362,1,1,0,0,0,12,8,0,4,22,0,0,1,1,31.2181350831
25,0.00241193455324,88424,88424,0.797302171247,-0.00120163386795,0.0483362901927,1.91646148064e-11,2.66356731159e-12,2494,1,0,26231.012958,12.8852920532,7201,0,0,0.121578489634,0.929517485879,0,0.1,0,0,10884.973857,1,1,0,0,0,10,7,0,3,23,0,0,1,-3,48.863793334
26,0.00241024060754,88424,88424,0.797302171247,0.000780003391471,0.0483362901927,1.79959415554e-11,2.62395608035e-12,2496,1,0,34873.986958,13.974375248,7232,0,0,0.124938380605,0.935951329078,0,0.1,0,0,10840.3821574,1,1,0,0,0,11,7,0,4,23,0,0,0,1,35.1800967921
27,0.00240858716628,88423,88423,0.79729315444,-0.000682166186003,0.0483362901927,1.60724656343e-11,2.55088500459e-12,2492,1,0,36670.448875,13.6744999886,7249,0,0,0.128079949591,0.921285160383,0,0.1,0,0,10923.5081143,1,1,0,0,0,9,6,0,3,23,0,0,0,-2,36.9699688754
28,0.00240692462444,88424,88424,0.797302171247,-0.00238973893286,0.0483362901927,1.56279587311e-11,2.49139136635e-12,2492,1,0,32959.1301661,13.2511668205,7298,0,0,0.132839609475,0.936778555912,0,0.1,0,0,10945.3869799,1,1,0,0,0,10,7,0,3,23,0,0,0,1,33.2203446669
29,0.00240545245496,88423,88423,0.79729315444,-0.00112415398678,0.0483362901927,1.5654450229e-11,2.4318825172e-12,2490,1,0,44990.7777081,16.3259997368,7378,0,0,0.1384528979,0.945343660863,0,0.1,0,0,11030.7350685,1,1,0,0,0,11,6,0,5,24,0,0,1,0,45.268693916
30,0.0024042539282,88424,88424,0.797302171247,0.0012260364213,0.0483362901927,1.53415875547e-11,2.39562038857e-12,2490,1,0,57736.1438751,23.303290844,7412,0,0,0.120476360916,0.916124969266,0,0.1,0,0,11062.6183857,1,1,0,0,0,11,7,0,4,24,0,0,0,0,90.4534399169
31,0.00240325082304,88423,88423,0.79729315444,0.0032008779164,0.0483362901927,1.57335346028e-11,2.3987440308e-12,2489,1,0,42717.4477906,14.5515842438,7423,0,0,0.124077827311,0.925081259528,0,0.1,0,0,11073.5272448,1,1,0,0,0,9,6,0,3,24,0,0,0,-2,42.9649577499
32,0.00240194784772,88423,88423,0.79729315444,-0.00202846636421,0.0483362901927,1.51606755751e-11,2.33637359169e-12,2488,1,0,31893.717833,14.5662918091,7450,0,0,0.128145090014,0.931495840695,0,0.1,0,0,11085.7303207,1,1,0,0,0,11,8,0,3,24,0,0,0,2,32.187155792
33,0.00240095263175,88424,88424,0.797302171247,0.00109146720109,0.0483362901927,1.47503958098e-11,2.28873083316e-12,2488,1,0,32346.3026247,13.0354161263,7500,0,0,0.133861859605,0.944320168905,0,0.1,0,0,11198.6098918,1,1,0,0,0,11,7,0,4,25,0,0,1,-1,32.608899375
34,0.00239995942748,88423,88423,0.79729315444,-0.000513952411149,0.0483362901927,1.37325098717e-11,2.2419975798e-12,2484,1,0,38859.3384171,13.3553328514,7570,0,0,0.140454463981,0.980801177576,0,0.1,0,0,11229.7642754,1,1,0,0,0,10,7,0,3,26,0,0,1,-2,39.1204932919
35,0.00239914749996,88423,88423,0.79729315444,0.00145379289472,0.0483362901927,1.30446854622e-11,2.21315216795e-12,2488,1,0,35061.567791,16.1705002785,7634,0,0,0.11875396798,0.918060568316,0,0.1,0,0,11332.7546754,1,1,0,0,0,10,4,0,6,27,0,0,1,-1,53.1190571659
36,0.00239808331983,88424,88424,0.797302171247,-0.00252441257658,0.0483362901927,1.40856975652e-11,2.19208384128e-12,2482,1,0,36652.243083,13.306666851,7623,0,0,0.122410337909,0.912253807551,0,0.1,0,0,11278.8476211,1,1,0,0,0,11,9,0,2,28,0,0,1,0,36.989251167
37,0.00239734980011,88424,88424,0.797302171247,0.00133946892736,0.0483362901927,1.34903819655e-11,2.16251084922e-12,2483,1,0,38956.7997499,17.0728330612,7663,0,0,0.127411933564,0.913305910987,0,0.1,0,0,11383.6407171,1,1,0,0,0,12,6,0,6,29,0,0,1,0,39.3947105831
38,0.00239638678545,88423,88423,0.79729315444,-0.00303766556864,0.0483362901927,1.29969315204e-11,2.1233557593e-12,2482,1,0,33969.594584,15.83700037,7707,0,0,0.133707243967,0.921011327748,0,0.1,0,0,11418.5956435,1,1,0,0,0,13,9,0,4,30,0,0,3,-2,34.2170215421
39,0.00239576980049,88424,88424,0.797302171247,0.00130459663627,0.0483362901927,1.27021332174e-11,2.1120577452e-12,2479,1,0,34522.5478749,14.1028342247,7747,0,0,0.141001319346,0.927095124838,0,0.1,0,0,11520.1523392,1,1,0,0,0,15,8,0,7,31,0,0,1,1,34.7966253338
40,0.00239526793106,88424,88424,0.797302171247,0.00219454231667,0.0483362901927,1.22112239109e-11,2.090803833e-12,2482,1,0,36051.6645412,13.5779166222,7918,0,0,0.117893970727,0.930752879992,0,0.1,0,0,11552.5437794,1,1,0,0,0,17,8,0,9,32,0,0,2,0,53.819013041
41,0.00239450245338,88423,88423,0.79729315444,-0.0051863079473,0.0483362901927,1.15203198722e-11,2.08378390319e-12,2479,1,0,43461.053834,14.8574581146,7738,0,0,0.122511485829,0.939321593146,0,0.1,0,0,11523.7749029,1,1,0,0,0,16,9,0,7,32,0,0,0,-1,43.722273625
42,0.00239389337112,88424,88424,0.797302171247,0.000323693584181,0.0483362901927,1.04588104722e-11,2.04414932741e-12,2479,1,0,34650.4672923,13.6536660194,7827,0,0,0.127865155789,0.923057319727,0,0.1,0,0,11572.725966,1,1,0,0,0,14,7,0,7,33,0,0,1,-3,34.910573666
43,0.00239344877402,88423,88423,0.79729315444,0.00161769836213,0.0483362901927,9.972378389e-12,2.02649126955e-12,2476,1,0,26156.7883329,13.5832920074,7949,0,0,0.134649499598,0.927475912577,0,0.1,0,0,11720.1553853,1,1,0,0,0,12,4,0,8,33,0,0,0,-2,26.4101861659
44,0.00239303472839,88424,88424,0.797302171247,0.0012267588435,0.0483362901927,1.03487789909e-11,2.0127110681e-12,2478,1,0,38537.7657499,16.9718751907,8040,0,0,0.142977219982,0.92176290884,0,0.1,0,0,11746.3849614,1,1,0,0,0,14,6,0,8,34,0,0,1,1,38.8255464998
45,0.00239255349428,88423,88423,0.79729315444,0.000114439851441,0.0483362901927,1.01373078086e-11,1.99054654306e-12,2475,1,0,42297.4658341,13.2427077293,8145,0,0,0.119432921753,0.877827311139,0,0.1,0,0,11842.7877333,1,1,0,0,0,16,6,0,10,35,0,0,1,1,59.9978602091
46,0.00239234717309,88423,88423,0.79729315444,-0.00124717724522,0.0483362901927,9.62604520766e-12,2.01899732505e-12,2475,1,0,27221.1637092,13.3070001602,7956,0,0,0.123476457919,0.887068606293,0,0.1,0,0,11746.21489,1,1,0,0,0,15,8,0,7,36,0,0,1,-2,27.4619334582
47,0.00239176527015,88424,88424,0.797302171247,-0.000844741149392,0.0483362901927,9.56249032541e-12,1.98387506089e-12,2476,1,0,30416.262042,13.8051252365,8048,0,0,0.129807671503,0.89746927002,0,0.1,0,0,11867.9973817,1,1,0,0,0,15,7,0,8,37,0,0,1,-1,30.6607494587
