iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,iteration_wall_s
17,0.00287283544117,88423,88423,0.79729315444,0.00739157198472,0.0483362901927,2.31109164837e-10,9.75763985645e-12,2053,1,0,23548.370584,14.2373747826,19057,0,0,0.154908153448,0.992510732718,0,0.1,0,0,29486.520977,1,1,0,0,0,74,50,1,25,8,0,0,1,-1,1,964,23.8701906251
18,0.00283416829122,88424,88424,0.797302171247,-0.00489057970623,0.0483362901927,2.67218374286e-10,9.27036288765e-12,2078,1,0,21454.019917,17.0678749084,18736,0,0,0.155667113606,0.99195173948,0,0.1,0,0,29293.4622372,1,1,0,0,0,76,47,1,30,8,0,0,0,2,1,964,21.812737375
19,0.0027975333543,88423,88423,0.79729315444,-0.00521625639417,0.0483362901927,2.52879267747e-10,8.70483218938e-12,2114,1,0,22416.9614997,14.2426252365,19003,0,0,0.156116427,0.981783787833,0,0.1,0,0,29069.5426324,1,1,0,0,0,76,51,1,26,9,0,0,2,-2,1,964,22.6910711247
20,0.00276729208434,88424,88424,0.797302171247,0.000643618704956,0.0483362901927,2.34511525396e-10,8.46536470435e-12,2121,1,0,22956.3067498,18.9916672707,18715,0,0,0.15470114768,0.929527027353,0,0.1,0,0,28700.7746709,1,1,0,0,0,75,38,1,38,9,0,0,0,-1,2,1928,43.2142284582
21,0.00272632672317,88424,88424,0.797302171247,0.00613502943831,0.0483362901927,1.85150931767e-10,7.66551736786e-12,2273,1,0,24015.3515,13.1912078857,18015,0,0,0.155501832442,0.904307566676,0,0.1,0,0,27968.474908,1,1,0,0,0,72,21,1,52,10,0,0,1,-4,2,1928,24.3237752076
22,0.00270198760096,88423,88423,0.79729315444,0.000622541792836,0.0483362901927,1.49539387627e-10,7.33059378368e-12,2294,1,0,34662.174417,15.1508750916,18028,0,0,0.156753266926,0.944309113693,0,0.1,0,0,27704.0421561,1,1,0,0,0,71,-6,1,78,11,0,0,2,-3,2,1928,35.0041696252
23,0.00267963368731,88423,88423,0.79729315444,0.00254851994047,0.0483362901927,1.21053462149e-10,7.16063927647e-12,2294,1,0,25671.0413327,13.6802082062,17614,0,0,0.158260407868,0.986377606059,0,0.1,0,0,27461.0396406,1,1,0,0,0,60,12,0,48,11,0,0,0,-11,2,1928,25.9871286252
24,0.00265610931178,88424,88424,0.797302171247,-0.000573863855984,0.0483362901927,1.07199334947e-10,6.99966754636e-12,2308,1,0,25277.5172496,13.6756253242,17207,0,0,0.159341403317,0.95726518934,0,0.1,0,0,27118.9666912,1,1,0,0,0,60,8,0,52,12,0,0,1,-1,2,1928,25.5464525423
25,0.00263093871483,88423,88423,0.79729315444,-0.00534192307063,0.0483362901927,1.02095991785e-10,6.74298785129e-12,2346,1,0,25500.0699162,12.865916729,17097,0,0,0.152370765033,0.905344492074,0,0.1,0,0,26634.5246903,1,1,0,0,0,62,18,0,44,12,0,0,0,2,2,1928,42.9395767921
26,0.00260450653318,88423,88423,0.79729315444,-0.000151956213372,0.0483362901927,1.37451885804e-10,6.50400488333e-12,2408,1,0,25893.985167,13.7184171677,16525,0,0,0.152681038114,0.865867158148,0,0.1,0,0,25481.3445601,1,1,0,0,0,58,43,0,15,12,0,0,0,-4,2,1928,26.201773583
27,0.00258460690766,88423,88423,0.79729315444,-0.00215873377998,0.0483362901927,1.50535114213e-10,6.20476953594e-12,2424,1,0,27312.9842496,13.4891672134,16186,0,0,0.153391211226,0.900285144041,0,0.1,0,0,25034.6416482,1,1,0,0,0,55,41,0,14,12,0,0,0,-3,2,1928,27.62755825
28,0.00256788018712,88423,88423,0.79729315444,0.00239385952149,0.0483362901927,1.48867693496e-10,5.94242732548e-12,2450,1,0,26523.594583,14.681084156,15876,0,0,0.155019522836,0.936186299343,0,0.1,0,0,24611.2533914,1,1,0,0,0,52,41,0,11,12,0,0,0,-3,2,1928,26.8365890412
29,0.00255007498135,88424,88424,0.797302171247,-0.00287288161164,0.0483362901927,1.50276426962e-10,5.65815954058e-12,2474,1,0,25507.6089578,13.1668343544,15936,0,0,0.156568529479,0.933695862116,0,0.1,0,0,24117.7140577,1,1,0,0,0,51,39,0,12,12,0,0,0,-1,2,1928,25.7770645842
30,0.00253590110115,88423,88423,0.79729315444,0.00392126511732,0.0483362901927,1.59821442741e-10,5.80301620037e-12,2500,1,0,26702.7402501,12.4195418358,15514,0,0,0.147552238626,0.970495790644,0,0.1,0,0,23094.2350661,1,1,0,0,0,51,40,0,11,12,0,0,0,0,3,2892,44.0409927079
31,0.00250952961494,88424,88424,0.797302171247,-0.00066320539173,0.0483362901927,1.24932565854e-10,5.23693796407e-12,2703,1,0,28678.7257919,12.7902498245,14152,0,0,0.1479766928,0.956253175126,0,0.1,0,0,21889.553363,1,1,0,0,0,49,40,0,9,13,0,0,1,-3,3,2892,28.936222041
32,0.00249623396054,88424,88424,0.797302171247,-0.0028442684303,0.0483362901927,1.18143030925e-10,5.06671867024e-12,2730,1,0,32227.2332082,13.5538749695,13952,0,0,0.148795850959,0.919721238207,0,0.1,0,0,21350.4213684,1,1,0,0,0,49,39,0,10,14,0,0,1,-1,3,2892,32.5227162922
33,0.00248388218518,88424,88424,0.797302171247,-0.00189020424111,0.0483362901927,1.35156609445e-10,4.88688814653e-12,2760,1,0,35998.4187503,15.0770421028,13695,0,0,0.15017234215,0.912308545768,0,0.1,0,0,20834.4293397,1,1,0,0,0,50,40,0,10,15,0,0,2,-1,3,2892,36.3515333333
34,0.00247284055049,88423,88423,0.79729315444,0.000341511170904,0.0483362901927,1.38096301405e-10,4.69738994221e-12,2792,1,0,30850.2897501,13.7374997139,13513,0,0,0.15211909455,0.940726342587,0,0.1,0,0,20352.3612129,1,1,0,0,0,51,39,1,13,15,0,0,0,1,3,2892,31.1123903748
35,0.00246231872919,88423,88423,0.79729315444,-0.000301079229349,0.0483362901927,1.29720138532e-10,4.48565145135e-12,2834,1,0,35509.2063751,54.7539591789,13349,0,0,0.15405596736,0.979668589921,0,0.1,0,0,19880.9145983,1,1,0,0,0,51,39,2,14,16,0,0,1,-1,3,2892,53.458593667
36,0.00245185207337,88423,88423,0.79729315444,0.00556934989705,0.0483362901927,1.414270855e-10,4.31534467459e-12,2828,1,0,31083.4438748,13.4152917862,12435,0,0,0.155179898583,0.979822258873,0,0.1,0,0,18947.9157543,1,1,0,0,0,50,35,2,17,17,0,0,1,-2,3,2892,31.35761075
37,0.00244354469671,88423,88423,0.79729315444,-0.000925879108629,0.0483362901927,1.27902359516e-10,4.07742843701e-12,2820,1,0,30118.4284577,14.1978340149,12244,0,0,0.156231047674,0.980202710805,0,0.1,0,0,18590.8822947,1,1,0,0,0,48,32,2,18,17,0,0,0,-2,3,2892,30.3829667922
38,0.00243584788255,88424,88424,0.797302171247,-0.00109317398698,0.0483362901927,1.10321562077e-10,3.84099300612e-12,2818,1,0,31553.2434998,13.9116659164,12011,0,0,0.157899082214,0.980289407467,0,0.1,0,0,18267.1275487,1,1,0,0,0,47,36,2,13,18,0,0,2,-3,3,2892,31.8821543753
39,0.00242968544072,88423,88423,0.79729315444,0.00378045813114,0.0483362901927,1.02863617307e-10,3.66358840666e-12,2857,1,0,30911.0011249,13.247584343,11931,0,0,0.160309976263,0.9807188055,0,0.1,0,0,17931.4665072,1,1,0,0,0,44,32,2,14,19,0,0,1,-4,3,2892,31.186416375
40,0.00242368698458,88423,88423,0.79729315444,0.00252468463963,0.0483362901927,1.142963988e-10,3.73160805319e-12,2867,1,0,31194.181458,13.2273340225,11703,0,0,0.146718648886,0.887657605735,0,0.1,0,0,16868.3656674,1,1,0,0,0,44,32,2,14,19,0,0,0,0,4,3856,48.7867839159
41,0.00241005073848,88423,88423,0.79729315444,-0.00268636183675,0.0483362901927,9.54583391273e-11,3.0592180915e-12,3014,1,0,33163.293417,14.4891252518,10346,0,0,0.146843444392,0.891392180368,0,0.1,0,0,15598.686103,1,1,0,0,0,44,36,2,10,20,0,0,2,-2,4,3856,33.4813465411
42,0.00240566065596,88424,88424,0.797302171247,-0.0028457896466,0.0483362901927,9.79112081928e-11,2.87396338675e-12,3030,1,0,33961.0519996,16.1870832443,10190,0,0,0.147739209519,0.954735330635,0,0.1,0,0,15284.0859682,1,1,0,0,0,43,32,2,13,20,0,0,0,-1,4,3856,34.2549715838
43,0.00240228232922,88423,88423,0.79729315444,0.00169671540086,0.0483362901927,9.26888097673e-11,2.70502225985e-12,3045,1,0,41939.8651671,13.1284170151,10090,0,0,0.149461477411,0.954735330635,0,0.1,0,0,15054.5449473,1,1,0,0,0,41,29,2,14,20,0,0,0,-2,4,3856,42.1908099581
44,0.00239917990211,88424,88424,0.797302171247,0.000975715803449,0.0483362901927,8.20875426533e-11,2.5296214757e-12,3041,1,0,34534.5883751,13.2347917557,10122,0,0,0.151697700425,0.954735330635,0,0.1,0,0,14829.2073791,1,1,0,0,0,42,30,2,14,20,0,0,0,1,4,3856,34.8326381659
45,0.00239657648184,88424,88424,0.797302171247,0.00192779980835,0.0483362901927,6.8989458868e-11,2.35815224496e-12,3025,1,0,31954.2300839,15.0299162865,10163,0,0,0.153097502681,0.962447446608,0,0.1,0,0,14616.5226939,1,1,0,0,0,42,29,2,15,21,0,0,1,-1,4,3856,49.1075295
46,0.00239375774413,88424,88424,0.797302171247,0.00349770776889,0.0483362901927,5.78430823841e-11,2.17759250018e-12,2892,1,0,37441.4909167,13.4760832787,9136,0,0,0.153804772016,0.991579853977,0,0.1,0,0,13875.2117806,1,1,0,0,0,38,30,2,10,21,0,0,0,-4,4,3856,37.692883125
47,0.00239202598343,88424,88424,0.797302171247,-0.00082126284405,0.0483362901927,4.51972636943e-11,2.01339035491e-12,2892,1,0,32179.1922083,12.9525418282,9193,0,0,0.154894108545,0.988683092812,0,0.1,0,0,13828.4406616,1,1,0,0,0,38,27,2,13,22,0,0,2,-2,4,3856,32.4367462914
