config,lambda_cut,core_cells,block_m,weighting,Nt,cg_total,cg_mean,basis_mb,build_s,refresh_s,apply_s,wall_s,coarse_matvecs,builds,design_iters,steady_s_per_iter,ok
plain_jacobi,,,,,0,8428,842.8,0,0,0,0,9.07,0,0,10,0.9072,1
cut=0.002,0.002,8,20,0,288,2216,221.6,10.10,5.67,5.44,3.57,17.84,2880,1,10,1.2173,1
cut=0.005,0.005,8,20,0,288,2216,221.6,10.10,5.81,6.10,3.58,19.05,2880,1,10,1.3234,1
cut=0.010,0.01,8,20,0,288,2220,222.0,10.10,5.46,8.90,4.38,24.91,2880,1,10,1.9446,1
cut=0.020,0.02,8,20,0,288,2215,221.5,10.10,6.61,7.17,3.61,21.53,2880,1,10,1.4924,1
cut=0.050,0.05,8,20,0,290,2223,222.3,10.12,7.57,5.87,3.51,20.24,2900,1,10,1.2666,1
cut=0.100,0.1,8,20,0,290,2206,220.6,10.12,11.60,5.27,3.60,23.61,2900,1,10,1.2004,1
