posture,trigger_iters,cg_total,cg_mean,design_iters,solve_s,wall_s,builds,refreshes,armed_solves,basis_dim,basis_mb,coarse_matvecs,build_s,refresh_s,apply_s,peak_rss_mb
plain Jacobi (GenEO off),-1,14016,876.0,16,18.24,18.47,0,0,0,0,0.00,0,0.00,0.00,0.00,30
shipped (trigger 500),500,4051,253.2,16,31.69,31.92,1,15,16,290,10.12,4640,6.19,11.95,6.11,242
standing (trigger 0),0,3658,228.6,16,27.42,27.65,1,15,16,290,10.12,4640,5.70,10.04,6.30,251
