iter,penalty,cg_iters,used_mg,geneo_dim,geneo_action,solve_s,compliance
1,3.0,52,1,0,0,0.4890,1.636714518
2,3.0,47,1,0,0,0.4655,0.9998180176
3,3.0,41,1,0,0,0.4939,0.6890077768
4,3.0,38,1,0,0,0.4267,0.5134350909
5,3.0,38,1,0,0,0.4317,0.4301693612
6,3.0,37,1,0,0,0.4320,0.3885636421
7,3.0,37,1,0,0,0.4724,0.3652796536
8,3.0,37,1,0,0,0.4283,0.3530893668
9,3.0,37,1,0,0,0.4509,0.3457299274
10,3.0,35,1,0,0,0.4122,0.3407520877
