iter,penalty,cg_iters,used_mg,geneo_dim,geneo_action,solve_s,compliance
1,3.0,666,0,0,0,6.4269,6.510289596
2,3.0,709,0,0,0,9.6141,3.586587454
3,3.0,747,0,0,0,5.9857,2.423845884
4,3.0,825,0,0,0,7.0786,1.700595614
5,3.0,883,0,0,0,10.7811,1.24764986
6,3.0,933,0,0,0,11.4892,0.9748099869
7,3.0,956,0,0,0,11.1870,0.845720757
8,3.0,994,0,0,0,9.0241,0.7765797325
