iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,iteration_wall_s
17,0.00309723949457,88424,88424,0.797302171247,-0.0140099647964,0.0483362901927,2.61651249841e-10,1.20151131469e-11,2154,1,0,29804.8348751,13.9064588547,14144,0,0,0.123238286611,0.972526942228,0,0.1,0,0,22319.9014468,1,1,0,0,0,59,49,0,10,4,0,0,1,4,0,0,30.098501625
18,0.00306591910424,88424,88424,0.797302171247,0.00129800531927,0.0483362901927,2.53580961516e-10,1.15621592495e-11,2153,1,0,28467.38375,22.1011667252,14214,0,0,0.125089156389,0.9774404282,0,0.1,0,0,22418.1628843,1,1,0,0,0,56,50,0,6,4,0,0,0,-3,0,0,28.8345160419
19,0.00303983271977,88423,88423,0.79729315444,0.00766253273709,0.0483362901927,2.3524509002e-10,1.12436169799e-11,2160,1,0,28696.219667,13.7991247177,14376,0,0,0.127677004321,0.977692073814,0,0.1,0,0,22546.9915447,1,1,0,0,0,57,50,0,7,4,0,0,0,1,0,0,28.968392625
20,0.00301430401748,88423,88423,0.79729315444,0.0080563374976,0.0483362901927,2.0767648019e-10,1.10330945419e-11,2163,1,0,32780.3865829,14.1742920876,14408,0,0,0.132096070218,0.965705305312,0,0.1,0,0,22691.9218909,1,1,0,0,0,58,50,0,8,4,0,0,0,1,0,0,52.3312417911
21,0.00297971500047,88424,88424,0.797302171247,-0.00421827810285,0.0483362901927,1.53304187169e-10,1.08489054309e-11,2165,1,0,28586.740375,14.085916996,14184,0,0,0.132592124907,0.968602544717,0,0.1,0,0,22461.639841,1,1,0,0,0,57,52,0,5,4,0,0,0,-1,0,0,28.8567782082
22,0.00294679576618,88423,88423,0.79729315444,-0.00494934401214,0.0483362901927,1.89442942054e-10,1.06893262334e-11,2153,1,0,27190.2537498,19.2985420227,14252,0,0,0.133437529765,0.971590859764,0,0.1,0,0,22426.6352755,1,1,0,0,0,57,52,0,5,4,0,0,0,0,0,0,27.5892233751
23,0.0029163846286,88423,88423,0.79729315444,-0.00179220530292,0.0483362901927,2.0767414813e-10,1.03921601903e-11,2108,1,0,34316.0704999,14.0614171028,14212,0,0,0.136033149255,0.969716362866,0,0.1,0,0,22366.9989614,1,1,0,0,0,57,52,0,5,4,0,0,0,0,0,0,34.6324279592
24,0.00289302836597,88423,88423,0.79729315444,0.00787848418665,0.0483362901927,2.18334983576e-10,1.00656815761e-11,2110,1,0,32588.2455831,13.875207901,14464,0,0,0.140728554124,0.973548996189,0,0.1,0,0,22425.3596325,1,1,0,0,0,56,47,0,9,4,0,0,0,-1,0,0,32.8667047089
25,0.00286246208283,88424,88424,0.797302171247,-0.00461094911754,0.0483362901927,2.25177810307e-10,9.69311964323e-12,2119,1,0,32539.5957079,14.1300840378,14633,0,0,0.140314477191,0.964118310966,0,0.1,0,0,22263.9444506,1,1,0,0,0,56,15,0,41,4,0,0,0,0,0,0,52.794357792
26,0.00283872149975,88423,88423,0.79729315444,0.00902305005962,0.0483362901927,2.30753209167e-10,9.3458896538e-12,2131,1,0,31451.414125,33.4779577255,14342,0,0,0.143181113788,0.973626864884,0,0.1,0,0,22183.1071079,1,1,0,0,0,51,12,0,39,4,0,0,0,-5,0,0,31.8762189592
27,0.00281766516761,88424,88424,0.797302171247,0.0062862015465,0.0483362901927,2.14380747868e-10,9.05730910981e-12,2159,1,0,31103.246666,13.5673341751,14347,0,0,0.145196198183,0.963931864366,0,0.1,0,0,22098.0878393,1,1,0,0,0,50,-18,0,68,4,0,0,0,-1,0,0,31.3704796252
28,0.00279012596633,88423,88423,0.79729315444,-0.00691610348837,0.0483362901927,1.79926691926e-10,8.73676363824e-12,2173,1,0,32849.2252498,16.7275834084,14133,0,0,0.147832904218,0.969029682108,0,0.1,0,0,21958.3921412,1,1,0,0,0,47,-22,0,69,4,0,0,0,-3,0,0,33.2288257922
29,0.00276199327802,88424,88424,0.797302171247,-0.00954007762492,0.0483362901927,1.64125039164e-10,8.49452366797e-12,2176,1,0,32777.6300001,15.5881667137,14137,0,0,0.149747475187,0.976453379149,0,0.1,0,0,21747.4186121,1,1,0,0,0,33,-15,0,48,4,0,0,0,-14,0,0,33.1160079171
