iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,iteration_wall_s
22,0.00374144439934,75414,75414,0.679993507899,-0.0165873014526,0.0483362901927,6.19276242877e-10,2.12669928385e-11,2347,1,0,17419.8433747,11.9163751602,55611,0,0,0.331303456163,0.999644578602,0,0.1,0,0,73622.6813008,1,1,0,110429.317359,17.5926273339
23,0.0036252683564,75415,75415,0.680002524706,-0.0167932902469,0.0483362901927,4.87795796701e-10,1.97107114333e-11,2296,1,0,16861.1648331,12.5845828056,56042,0,0,0.339846783607,0.999644578602,0,0.1,0,0,73097.0499144,1,1,0,105702.125417,17.0332139158
24,0.00351495821967,75415,75415,0.680002524706,-0.0176083999014,0.0483362901927,3.68920019914e-10,1.83506887573e-11,2266,1,0,17080.4671669,12.9163327217,56325,0,0,0.346804491619,0.999644578602,0,0.1,0,0,72215.4894293,1,1,0,101277.129187,17.2704945407
25,0.00341181967581,75415,75415,0.680002524706,-0.016948948481,0.0483362901927,2.66149597436e-10,1.71123824401e-11,2239,1,0,16610.3407912,11.8402919769,56362,0,0,0.346295800797,0.999342509575,0,0.1,0,0,70982.5172565,1,1,0,97124.3590049,33.0527130417
26,0.0033573868519,75415,75415,0.680002524706,-0.00558684891072,0.0483362901927,3.78280462442e-10,1.6849292598e-11,2316,1,0,17218.9796662,13.3910837173,50356,0,0,0.347394579933,0.999342509575,0,0.1,0,0,67237.9806728,1,1,0,115767.294432,17.397413875
27,0.00330992441544,75415,75415,0.680002524706,-0.0120898010889,0.0483362901927,3.14571117367e-10,1.64466678565e-11,2295,1,0,17561.493042,12.2540416718,50692,0,0,0.348353891715,0.999342509575,0,0.1,0,0,66357.8343529,1,1,0,110659.848713,17.7650505831
28,0.00326558333854,75414,75414,0.679993507899,-0.0129360812115,0.0483362901927,3.47405459041e-10,1.61382814649e-11,2287,1,0,16898.3629589,11.88920784,50977,0,0,0.347033996158,0.999342509575,0,0.1,0,0,65174.3850788,1,1,0,105947.616344,17.0736538749
29,0.00321858220485,75414,75414,0.679993507899,-0.0144033919672,0.0483362901927,3.41189045268e-10,1.58283397208e-11,2295,1,0,16931.7487502,11.7208747864,51063,0,0,0.326947462323,0.999342509575,0,0.1,0,0,63705.583987,1,1,0,101555.952317,17.1016419171
30,0.00317386300043,75414,75414,0.679993507899,-0.0149565410122,0.0483362901927,3.14882602361e-10,1.55952091647e-11,2327,1,0,17598.8499169,12.154250145,50997,0,0,0.308926468534,0.999566127196,0,0.1,0,0,62049.9169106,1,1,0,97441.62463,34.20094825
31,0.003143984341,75414,75414,0.679993507899,-0.0127672663101,0.0483362901927,3.63213530088e-10,1.64076824911e-11,2723,1,0,20124.1315002,11.7886657715,43283,0,0,0.3106180006,0.999566127196,0,0.1,0,0,56330.216658,1,1,0,116060.518736,20.3629771252
32,0.0031196313377,75414,75414,0.679993507899,-0.0102315218295,0.0483362901927,3.26408496178e-10,1.64117181759e-11,2777,1,0,20359.059833,12.2823748589,43433,0,0,0.285375275199,0.999566127196,0,0.1,0,0,55271.5050639,1,1,0,110762.692283,20.5259434157
33,0.00308884518872,75415,75415,0.680002524706,-0.0119045000294,0.0483362901927,2.7969314809e-10,1.62414395476e-11,2850,1,0,20883.8399162,12.0586247444,43377,0,0,0.261876798701,0.9959825761,0,0.1,0,0,54126.0028077,1,1,0,105841.761189,21.0545067089
34,0.00305609365978,75414,75414,0.679993507899,-0.0137472541269,0.0483362901927,2.2994546311e-10,1.60213814038e-11,2907,1,0,21364.4953332,11.9045419693,43294,0,0,0.254453582363,0.994959357264,0,0.1,0,0,52919.3375969,1,1,0,101287.206236,21.592401125
35,0.00303368772736,75414,75414,0.679993507899,-0.0110130027273,0.0483362901927,2.27515071497e-10,1.60712118349e-11,2943,1,0,21553.9579167,12.2070002556,43160,0,0,0.21674131691,0.991802982244,0,0.1,0,0,51695.6820949,1,1,0,97039.2062495,38.187265208
36,0.00304049890904,75414,75414,0.679993507899,-0.0153226443098,0.0483362901927,3.93100057431e-10,1.87142759173e-11,3114,1,0,22824.2255001,11.8276247978,34822,0,0,0.218530845023,0.991511539019,0,0.1,0,0,45679.9250158,1,1,0,118694.487158,23.0163967917
37,0.00302489457454,75415,75415,0.680002524706,-0.00893978142744,0.0483362901927,4.38406905121e-10,1.8634950819e-11,3079,1,0,22498.6290002,12.9526247978,35285,0,0,0.22100558089,0.987517847791,0,0.1,0,0,45101.1263473,1,1,0,112406.257397,22.6753694583
38,0.00301421598161,75414,75414,0.679993507899,-0.00753310569532,0.0483362901927,5.0148823538e-10,1.86751513341e-11,3118,1,0,23059.0739169,11.7962498665,35635,0,0,0.22400578504,0.994275850641,0,0.1,0,0,44521.0211693,1,1,0,106538.087917,23.2529492504
39,0.00300315704864,75415,75415,0.680002524706,-0.00814294717239,0.0483362901927,5.57009889237e-10,1.86191157358e-11,3152,1,0,23378.3284998,12.4892921448,35965,0,0,0.227145845723,0.989868959422,0,0.1,0,0,43938.3387269,1,1,0,101075.108092,23.5477475412
40,0.00299317626054,75415,75415,0.680002524706,-0.00879815495829,0.0483362901927,6.17126388921e-10,1.86644417402e-11,3179,1,0,23094.247333,11.7504582405,36274,0,0,0.219923445226,0.988924044562,0,0.1,0,0,43353.0029713,1,1,0,96008.1497266,39.5808276669
41,0.00314972451993,75415,75415,0.680002524706,-0.00972994491407,0.0483362901927,1.95220285077e-09,2.74030419245e-11,3199,1,0,23434.6747499,11.8205413818,29855,0,0,0.220926321867,0.991835230133,0,0.1,0,0,38806.6548956,1,1,0,119345.876001,23.6407798752
42,0.00313988205395,75414,75414,0.679993507899,-0.00543537513327,0.0483362901927,1.74235469952e-09,2.65684212901e-11,3237,1,0,23579.1740422,12.0306658745,30270,0,0,0.223090289094,0.993211520254,0,0.1,0,0,38565.4731957,1,1,0,113233.1932,23.7458717092
43,0.00312356522752,75415,75415,0.680002524706,-0.0055815889465,0.0483362901927,1.77011575155e-09,2.57571355218e-11,3275,1,0,24415.174541,11.747959137,30755,0,0,0.225221552544,0.993099196446,0,0.1,0,0,38355.1333869,1,1,0,107512.44279,24.5905730831
44,0.00311016794182,75415,75415,0.680002524706,-0.00562292773258,0.0483362901927,1.6366700169e-09,2.51981232648e-11,3285,1,0,24160.2497077,12.513250351,31215,0,0,0.227614313168,0.985201943526,0,0.1,0,0,38233.3373188,1,1,0,102170.001671,24.3408853342
45,0.00309094685518,75414,75414,0.679993507899,-0.00795239133457,0.0483362901927,1.36994433794e-09,2.45567447091e-11,3268,1,0,24088.5005841,12.1193327904,31710,0,0,0.214729600159,0.990629472906,0,0.1,0,0,38116.0008888,1,1,0,97130.5280058,40.647565458
46,0.00325646747401,75415,75415,0.680002524706,-0.0104041035015,0.0483362901927,2.26447341716e-09,3.18558890791e-11,3274,1,0,24040.951458,12.130959034,26638,0,0,0.216210991116,0.987417667644,0,0.1,0,0,35043.6562265,1,1,0,120211.383879,24.2090490418
47,0.00322564797785,75415,75415,0.680002524706,-0.00487440532778,0.0483362901927,2.15041019024e-09,3.0323738297e-11,3267,1,0,24130.5912499,12.1529579163,27165,0,0,0.218570890627,0.98860160456,0,0.1,0,0,34958.0420053,1,1,0,114236.366536,24.3131605829
48,0.00319893554661,75414,75414,0.679993507899,-0.00381034960399,0.0483362901927,2.08652519742e-09,2.91300645276e-11,3259,1,0,23897.6261253,12.0629577637,27704,0,0,0.221470990543,0.985438473711,0,0.1,0,0,34962.5404403,1,1,0,108625.501598,24.0825159168
49,0.00317047921142,75414,75414,0.679993507899,-0.00464327780476,0.0483362901927,1.82739286652e-09,2.77978786273e-11,3240,1,0,23742.1140828,11.7224578857,28208,0,0,0.225193319925,0.986691068923,0,0.1,0,0,34971.9883579,1,1,0,103367.288386,23.9027879168
50,0.00314472005363,75414,75414,0.679993507899,-0.00552496641919,0.0483362901927,1.52127998894e-09,2.67176501531e-11,3217,1,0,23759.075666,12.7141671181,28759,0,0,0.218639030467,0.980875467607,0,0.1,0,0,34986.5907987,1,1,0,98398.5781869,40.4448254998
51,0.00330458054634,75414,75414,0.679993507899,-0.0076551254783,0.0483362901927,2.42100599345e-09,3.65963273456e-11,3298,1,0,24053.528667,11.8226251602,24528,0,0,0.225229893971,0.984258600056,0,0.1,0,0,32654.993545,1,1,0,120067.74936,24.2513880408
52,0.0032545371055,75415,75415,0.680002524706,-0.00503387981897,0.0483362901927,1.98914178985e-09,3.3465458287e-11,3268,1,0,24295.0695829,12.5277919769,25089,0,0,0.233262700318,0.988360130029,0,0.1,0,0,32607.4433819,1,1,0,114163.602251,24.4779037498
53,0.00321696473942,75414,75414,0.679993507899,-0.00291156545021,0.0483362901927,1.49882781214e-09,3.12807411204e-11,3242,1,0,23549.0777922,11.7359161377,25669,0,0,0.23988928977,0.988137192906,0,0.1,0,0,32616.9563265,1,1,0,108576.496217,23.6982999169
54,0.0031813649718,75415,75415,0.680002524706,-0.00401576106203,0.0483362901927,1.0365475796e-09,2.94045852158e-11,3220,1,0,23991.681458,11.8391671181,26276,0,0,0.245771759024,0.987706403833,0,0.1,0,0,32645.3540658,1,1,0,103289.053896,24.1524425419
55,0.00315628080333,75414,75414,0.679993507899,-0.00364691343856,0.0483362901927,8.86564600482e-10,2.81579573102e-11,3207,1,0,23337.4251251,11.7404580116,26859,0,0,0.230495350249,0.99087642574,0,0.1,0,0,32673.4673432,1,1,0,98274.984742,39.8866043752
56,0.00333947810209,75414,75414,0.679993507899,-0.00371407634873,0.0483362901927,1.97550342094e-09,4.20446288069e-11,3299,1,0,24613.6450419,12.8416662216,22985,0,0,0.234176946938,0.99526511811,0,0.1,0,0,30634.4152097,1,1,0,119351.415856,24.8144631251
57,0.00328851361909,75414,75414,0.679993507899,-0.00409233039496,0.0483362901927,1.6238167266e-09,3.82555863579e-11,3264,1,0,23826.2198753,11.7551670074,23595,0,0,0.238817859163,0.99526511811,0,0.1,0,0,30582.8741065,1,1,0,113478.230031,23.9745137501
58,0.00323472550309,75415,75415,0.680002524706,-0.00493673829182,0.0483362901927,1.17393502249e-09,3.43121552204e-11,3243,1,0,24054.1438751,11.9913749695,24080,0,0,0.246722359714,0.996510444088,0,0.1,0,0,30541.6641071,1,1,0,107903.930852,24.2150215828
59,0.00320309424184,75414,75414,0.679993507899,-0.00223889533118,0.0483362901927,9.07620831258e-10,3.20204894874e-11,3273,1,0,24215.177917,11.8057923317,24656,0,0,0.252212132172,0.996510444088,0,0.1,0,0,30578.7054743,1,1,0,102640.032724,24.3919549999
60,0.00317123321201,75415,75415,0.680002524706,-0.00395795825786,0.0483362901927,8.09734471252e-10,2.98562304096e-11,3258,1,0,23712.8080831,11.7120838165,25242,0,0,0.242932168013,0.99859686824,0,0.1,0,0,30611.1863543,1,1,0,97611.6397745,40.4472009582
