iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
17,0.00387018282062,58590,58590,0.528294741398,-0.0037748449067,0.0483362901927,1.60393255492e-10,3.7484912563e-11,3169,1,0,22767.6107078,12.1614589691,19873,0,0,0.316298374815,0.99917236586,0,0.1,0,0,26894.5169536,0,1.0483993245,0,0,0,130,45,26,111,5,0,0,1,-8,0,0,0,0,0,0,74.0477642501
18,0.00382479305155,58590,58590,0.528294741398,-0.0039472986546,0.0483362901927,1.47034677947e-10,3.62913045523e-11,3173,1,0,22918.6040421,12.0773749352,18702,0,0,0.320018933783,0.99917236586,0,0.1,0,0,25898.0270682,0,1.04499696629,0,0,0,133,67,25,91,5,0,0,0,3,0,0,0,0,0,0,73.4471892919
19,0.00379469808564,58591,58591,0.528303758205,-7.8422246476e-05,0.0483362901927,1.28389009854e-10,3.5770074697e-11,3183,1,0,22963.2446251,11.8699998856,17657,0,0,0.321463887097,0.99917236586,0,0.1,0,0,24885.382402,0,1.04240488337,0,0,0,113,51,26,88,5,0,0,0,-20,0,0,0,0,0,0,73.7743956251
20,0.00376911637917,58591,58591,0.528303758205,0.000727365594727,0.0483362901927,1.37114331744e-10,3.52305842245e-11,3189,1,0,23043.4367919,13.1825408936,16751,0,0,0.292811502995,0.999845959627,0,0.1,0,0,23945.607631,0,1.03995989387,0,0,0,90,40,30,80,6,0,0,1,-24,0,0,0,0,0,0,86.6722156247
21,0.00374335136707,58590,58590,0.528294741398,-0.00011331238402,0.0483362901927,1.22915651365e-10,3.5087246796e-11,3098,1,0,22234.5097079,12.7479171753,16012,0,0,0.29394990395,0.999845959627,0,0.1,0,0,21884.0569307,0,1.03784416044,0,0,0,86,40,31,77,7,0,0,1,-5,0,0,0,0,0,0,72.4581845417
22,0.00372090997177,58590,58590,0.528294741398,0.000346049442875,0.0483362901927,1.14843480048e-10,3.43990444057e-11,3106,1,0,22309.2929578,12.7632498741,15332,0,0,0.2934620051,0.999845959627,0,0.1,0,0,21333.507769,0,1.03575309777,0,0,0,76,37,28,67,7,0,0,0,-10,0,0,0,0,0,0,69.3528247918
23,0.00369877362695,58590,58590,0.528294741398,-0.00089494260591,0.0483362901927,1.66632447623e-10,3.38943728435e-11,3116,1,0,24540.91675,13.0652918816,14662,0,0,0.298461335078,0.999845959627,0,0.1,0,0,20789.1350483,0,1.0339086559,0,0,0,71,20,24,75,7,0,0,0,-5,0,0,0,0,0,0,69.2892497908
24,0.00368143175531,58590,58590,0.528294741398,0.000605196123976,0.0483362901927,1.99821147128e-10,3.35871617929e-11,3130,1,0,27416.9836249,13.5263342857,14055,0,0,0.297843087464,0.999845959627,0,0.1,0,0,20290.8953551,0,1.03229617786,0,0,0,67,19,24,72,7,0,0,0,-4,0,0,0,0,0,0,72.0405132081
25,0.00366316264937,58590,58590,0.528294741398,-0.000530807773547,0.0483362901927,2.10023272306e-10,3.32413873462e-11,3113,1,0,27431.4885831,12.7037920952,13505,0,0,0.271673289223,0.999733649108,0,0.1,0,0,19847.2212981,0,1.03074338586,0,0,0,64,13,18,69,7,0,0,0,-3,0,0,0,0,0,0,84.2326323749
26,0.00365196848053,58591,58591,0.528303758205,0.00305038510535,0.0483362901927,2.31570998858e-10,3.29591185424e-11,2763,1,0,24777.9550409,12.1458749771,13578,0,0,0.267710889909,0.999733649108,0,0.1,0,0,18877.0370796,0,1.03066842655,0,0,0,29,-5,7,41,8,0,0,1,-36,0,0,0,0,0,0,65.2622951251
27,0.00363709924323,58591,58591,0.528303758205,0.000516251801735,0.0483362901927,2.70323239029e-10,3.2565930557e-11,2757,1,0,19951.8782496,14.0922923088,13066,0,0,0.268073625789,0.999733649108,0,0.1,0,0,18658.4653074,0,1.02926705311,0,0,0,26,-6,5,37,8,0,0,0,-3,0,0,0,0,0,0,65.0284631667
28,0.00361911481426,58590,58590,0.528294741398,-0.00235365084466,0.0483362901927,2.83042767754e-10,3.20646983894e-11,2747,1,0,20281.440125,12.4448332787,12559,0,0,0.273295113396,0.999733649108,0,0.1,0,0,18446.6794817,0,1.02784599798,0,0,0,22,-11,4,37,9,0,0,1,-5,0,0,0,0,0,0,65.12344475
29,0.00360815999256,58590,58590,0.528294741398,0.00094680191164,0.0483362901927,2.74818816211e-10,3.1900020556e-11,2766,1,0,20155.0883331,12.2248339653,12075,0,0,0.274112293488,0.999733649108,0,0.1,0,0,18247.5085337,0,1.02677916714,0,0,0,21,-11,3,35,9,0,0,0,-1,0,0,0,0,0,0,65.0910307923
