iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,iteration_wall_s
1,0.00413279173835,75415,75415,0.680002524706,0.489760562778,0.0483362901927,2.14529034771e-10,5.67283480414e-11,1104,1,0,99750.9932079,12.6083340645,56557,0,0,0.399273976448,0.99985652937,0,0.1,0,0,79575.2362195,1,1,0,103.472006375
2,0.00352574608746,75415,75415,0.680002524706,0.000684335827827,0.0483362901927,1.36001946879e-10,3.52152786234e-11,2078,1,0,21931.5978336,11.9535002708,57206,0,0,0.401108462389,0.999850904065,0,0.1,0,0,79318.8881565,1,1,0,25.4843465411
3,0.00321191383856,75414,75414,0.679993507899,0.00128485262394,0.0483362901927,1.37261012438e-10,2.54570763471e-11,2051,1,0,21810.8764577,12.6785001755,56268,0,0,0.400193170716,0.999867301625,0,0.1,0,0,77588.0765676,1,1,0,25.392843958
4,0.00298515543459,75414,75414,0.679993507899,-0.0060897320509,0.0483362901927,1.39798439997e-10,1.83970061995e-11,2045,1,0,15009.455791,12.6972923279,57682,0,0,0.397863555857,0.999609612414,0,0.1,0,0,75428.1539029,1,1,0,18.6872779168
5,0.00282694700681,75414,75414,0.679993507899,-0.0113014131784,0.0483362901927,1.36196527217e-10,1.39183810571e-11,1998,1,0,14868.241416,12.0193753242,55511,0,0,0.356993005698,0.999845174426,0,0.1,0,0,72611.8644967,1,1,0,34.8148320001
6,0.00274987925024,75414,75414,0.679993507899,0.0102508813143,0.0483362901927,1.27120376687e-10,1.23611562025e-11,2134,1,0,15548.9316664,11.8589167595,49467,0,0,0.356761077424,0.999845174426,0,0.1,0,0,63974.3378339,1,1,0,19.132418375
7,0.00270698317323,75415,75415,0.680002524706,0.00340081751347,0.0483362901927,1.07151616118e-10,1.12290167018e-11,2195,1,0,15938.9081249,11.7533750534,47250,0,0,0.354841577847,0.999845174426,0,0.1,0,0,61945.0817885,1,1,0,19.5458873748
8,0.00265834852144,75414,75414,0.679993507899,-0.00528134405613,0.0483362901927,7.84745323707e-11,9.80680191965e-12,2272,1,0,16366.3721251,12.3820409775,41847,0,0,0.353220265835,0.999845174426,0,0.1,0,0,59769.724568,1,1,0,19.9498504591
9,0.0026460628779,75414,75414,0.679993507899,0.0120107084513,0.0483362901927,6.26604570803e-11,9.48062283171e-12,2478,1,0,17808.388917,12.478541851,40016,0,0,0.352912680242,0.999845174426,0,0.1,0,0,57971.5571329,1,1,0,21.4906852082
10,0.00262564222107,75415,75415,0.680002524706,0.0035721808672,0.0483362901927,5.85354975239e-11,8.96906543748e-12,2574,1,0,18586.533834,13.5713329315,39187,0,0,0.346271901627,0.999464861643,0,0.1,0,0,55555.3066748,1,1,0,38.6685366249
11,0.00261724010783,75414,75414,0.679993507899,0.0229444354773,0.0483362901927,6.62283836278e-11,8.96645158042e-12,2627,1,0,18995.9555421,12.0017499924,37127,0,0,0.348043771048,0.999464861643,0,0.1,0,0,50784.8835604,1,1,0,22.6040881253
12,0.00260615103347,75414,75414,0.679993507899,0.00340901315212,0.0483362901927,6.66297244296e-11,8.75954952274e-12,2684,1,0,19369.0366669,11.951292038,35307,0,0,0.349333978384,0.999464861643,0,0.1,0,0,49218.2648108,1,1,0,23.0298703327
13,0.00261386902107,75414,75414,0.679993507899,0.0168789178133,0.0483362901927,6.18521385475e-11,9.28502895982e-12,2657,1,0,19356.231833,12.2358341217,35435,0,0,0.350262819308,0.999464861643,0,0.1,0,0,48574.75144,1,1,0,22.914504291
14,0.00260009113012,75415,75415,0.680002524706,-0.00419653952122,0.0483362901927,4.86989458469e-11,8.88885582759e-12,2652,1,0,19175.5953751,11.6554579735,34186,0,0,0.351040074935,0.999464861643,0,0.1,0,0,46797.3989576,1,1,0,22.7766943751
15,0.00260612356963,75414,75414,0.679993507899,0.012805685401,0.0483362901927,4.15180200133e-11,9.30074198296e-12,2619,1,0,18993.1149588,11.9276251793,34059,0,0,0.339555110371,0.999827768847,0,0.1,0,0,46461.4166179,1,1,0,39.1086139577
16,0.00259037913019,75414,75414,0.679993507899,0.000699236989021,0.0483362901927,2.51403878753e-11,8.9286469654e-12,2646,1,0,19230.648417,11.8854999542,30337,0,0,0.340124157295,0.999827768847,0,0.1,0,0,42186.0302177,1,1,0,22.8283263333
17,0.00259846914709,75414,75414,0.679993507899,0.0123377889395,0.0483362901927,2.13723164029e-11,9.30063981495e-12,2633,1,0,20642.9247088,20.5985407829,31571,0,0,0.3408201715,0.999827768847,0,0.1,0,0,43300.3730533,1,1,0,24.319037375
18,0.00259320188399,75414,75414,0.679993507899,-0.00324957072735,0.0483362901927,1.52400315214e-11,8.98444915599e-12,2627,1,0,18947.4940419,13.141166687,30979,0,0,0.341309202304,0.999827768847,0,0.1,0,0,42843.5426735,1,1,0,22.6317922501
19,0.00260257001996,75415,75415,0.680002524706,0.00931434333324,0.0483362901927,1.08821275899e-11,9.45056666073e-12,2624,1,0,18841.7544999,12.5495419502,31973,0,0,0.341879470641,0.999827768847,0,0.1,0,0,43636.1267806,1,1,0,22.4447560003
20,0.00259066024293,75414,75414,0.679993507899,-0.0100802630186,0.0483362901927,9.67788332101e-12,8.85317492217e-12,2626,1,0,18765.6595831,11.8234586716,30965,0,0,0.328370815776,0.999808373505,0,0.1,0,0,42597.9088927,1,1,0,38.6808441659
21,0.00259869334552,75415,75415,0.680002524706,0.0208254903555,0.0483362901927,9.93029634829e-12,9.2055660353e-12,2625,1,0,18797.9205422,11.8902497292,30966,0,0,0.330020102832,0.999808373505,0,0.1,0,0,42706.3872193,1,1,0,22.5364349172
22,0.00258916276955,75415,75415,0.680002524706,-0.0086884945631,0.0483362901927,7.38552499217e-12,8.69591682888e-12,2624,1,0,18984.6973748,13.6508331299,29874,0,0,0.329397094096,0.999808373505,0,0.1,0,0,41955.2727967,1,1,0,22.58451975
23,0.00259991002507,75415,75415,0.680002524706,0.0116009265184,0.0483362901927,8.17347691587e-12,9.2564398717e-12,2622,1,0,18965.9156251,12.765791893,31318,0,0,0.330576087466,0.999808373505,0,0.1,0,0,43040.900174,1,1,0,22.631461083
