route,E_confined_MPa,worst_transition_scf,min_strut_diam_mm,total_H_mm,dof,ms
dyadic,613.8295,3.7168,0.9497,44.00,249375,24716
conformal,446.6683,7.5718,0.6471,44.00,249375,29923
