rung,vf,off_iters,on_iters,off_compliance,on_compliance,compliance_rel_delta,off_margin,on_margin,margin_rel_delta,off_accepted,on_accepted,off_printed,on_printed,mean_abs_drho,max_abs_drho,on_f_bar,on_latched
0,0.6800,38,39,4.63900267994,4.63896055541,9.080513e-06,1.759473594,1.759376166,5.537371e-05,1,1,0.515152,0.515152,3.940575e-06,1.188483e-03,0.416965,0
1,0.5200,59,59,8.71832621264,8.71819341967,1.523147e-05,0.8423431519,0.8414190406,1.097072e-03,0,0,0.371212,0.367424,6.815833e-06,1.397624e-03,0.991411,1
