fixture,band_k,cadence,iter,active_frac,C_full,C_restricted,dC_rel,dSens_rel,mean_drho,max_drho,outside_band_rel,band_escapes,max_escaping_rho
dilute40_vf026,2,1,40,0.107969,45.1351983,45.13525639,1.790069e-06,5.398987e-04,4.677819e-07,8.436120e-04,6.586758e-05,0,0.001000
dilute40_vf026,4,1,1,1.000000,1032925.457,1032925.457,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000
dilute40_vf026,4,1,2,0.987708,19081.70436,19081.8686,8.607519e-06,1.743331e-03,3.040953e-07,1.033256e-05,6.567769e-04,0,0.001000
dilute40_vf026,4,1,3,0.813464,7270.054348,7270.068641,2.294320e-06,2.520228e-05,1.848221e-07,2.167402e-05,2.152753e-05,0,0.001000
dilute40_vf026,4,1,4,0.519818,1515.08286,1515.171292,5.072906e-05,1.002196e-03,6.826190e-07,4.671735e-05,2.880532e-04,0,0.001000
dilute40_vf026,4,1,5,0.410547,641.7999621,641.8464075,3.281239e-06,6.874609e-04,4.046152e-07,5.574171e-05,5.983086e-05,0,0.001000
dilute40_vf026,4,1,6,0.333177,324.9564801,324.9685343,1.230859e-05,1.141790e-03,4.468667e-07,5.080895e-05,1.201687e-04,0,0.001000
dilute40_vf026,4,1,7,0.295156,190.4289924,190.4348925,2.494580e-06,4.583605e-04,3.693269e-07,6.297035e-05,3.151247e-05,0,0.001000
dilute40_vf026,4,1,8,0.267031,133.0187085,133.0229543,4.765446e-06,1.154736e-03,3.901668e-07,6.131014e-05,9.170397e-05,0,0.001000
dilute40_vf026,4,1,9,0.250104,98.7741649,98.77645042,2.072697e-06,4.036363e-04,3.625606e-07,7.261906e-05,2.918068e-05,0,0.001000
dilute40_vf026,4,1,10,0.240469,79.89994238,79.90167663,2.753516e-06,5.636758e-04,3.585435e-07,6.828969e-05,4.303898e-05,0,0.001000
dilute40_vf026,4,1,11,0.227734,68.95959108,68.96067501,1.755123e-06,4.339712e-04,3.400996e-07,8.981807e-05,3.282018e-05,0,0.001000
dilute40_vf026,4,1,12,0.221589,62.11641956,62.11713729,1.965280e-06,2.948767e-04,3.294501e-07,9.537176e-05,2.229783e-05,0,0.001000
dilute40_vf026,4,1,13,0.213802,58.0110399,58.01156241,1.623915e-06,4.196629e-04,3.111833e-07,8.723155e-05,2.583017e-05,0,0.001000
dilute40_vf026,4,1,14,0.209714,54.96338305,54.96379382,1.705094e-06,2.776140e-04,3.056352e-07,8.593220e-05,2.124657e-05,0,0.001000
dilute40_vf026,4,1,15,0.204557,52.92367048,52.92399799,1.532704e-06,4.080385e-04,2.963861e-07,1.021333e-04,2.151988e-05,0,0.001000
dilute40_vf026,4,1,16,0.202760,51.37509895,51.37536276,1.550443e-06,2.982410e-04,2.861982e-07,1.209176e-04,1.827291e-05,0,0.001000
dilute40_vf026,4,1,17,0.199687,50.22912229,50.22933287,1.466826e-06,3.805952e-04,2.821820e-07,1.371225e-04,1.857686e-05,0,0.001000
dilute40_vf026,4,1,18,0.198620,49.36984567,49.37003774,1.484235e-06,3.218314e-04,2.803510e-07,1.569033e-04,1.708535e-05,0,0.001000
dilute40_vf026,4,1,19,0.196901,48.67708626,48.67720673,1.457999e-06,3.845140e-04,2.797745e-07,1.802151e-04,1.788320e-05,0,0.001000
dilute40_vf026,4,1,20,0.195937,48.11663542,48.11673919,1.452812e-06,3.602764e-04,2.871136e-07,2.056321e-04,1.725366e-05,0,0.001000
dilute40_vf026,4,1,21,0.194818,47.64879306,47.64888463,1.439095e-06,3.952757e-04,2.815194e-07,2.252617e-04,1.773454e-05,0,0.001000
dilute40_vf026,4,1,22,0.193854,47.25761878,47.25769532,1.425992e-06,3.960842e-04,2.807891e-07,2.441730e-04,1.767162e-05,0,0.001000
dilute40_vf026,4,1,23,0.193568,46.93793415,46.93800461,1.412187e-06,4.092355e-04,2.720667e-07,2.684090e-04,1.787120e-05,0,0.001000
dilute40_vf026,4,1,24,0.192917,46.66997244,46.6700211,1.409238e-06,4.195784e-04,2.765046e-07,2.909825e-04,1.810733e-05,0,0.001000
