rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted
0,1,1784776241029,5113.517242,0.007642,0,82,1,0,1,82
0,2,1784776246257,530096.1614,0.007749,0,67,1,0,1,67
0,3,1784776260411,405033.6497,0.006405,0,245,1,0,1,245
0,4,1784776432670,3588871.414,0.006493,0,15516,0,0,1,300
