rung,iter,boundary,threshold,band_k,domain_elems,elem_frac,node_frac
0,6,0,0.01,2,39672,0.400459,0.425918
0,6,0,0.01,4,39672,0.613632,0.627905
0,6,0,0.01,8,39672,0.859145,0.863802
0,6,0,0.05,0,39672,0.029719,0.057681
0,6,0,0.05,2,39672,0.185093,0.217556
0,6,0,0.05,4,39672,0.348256,0.367591
0,6,0,0.05,8,39672,0.616379,0.628228
0,6,0,0.1,0,39672,0.004613,0.014345
0,6,0,0.1,2,39672,0.068966,0.089905
0,6,0,0.1,4,39672,0.192604,0.215223
0,6,0,0.1,8,39672,0.502899,0.518180
0,6,0,0.3,0,39672,0.000302,0.001386
0,6,0,0.3,2,39672,0.008066,0.011781
0,6,0,0.3,4,39672,0.026921,0.033472
0,6,0,0.3,8,39672,0.117463,0.129845
0,6,0,0.5,0,39672,0.000302,0.001386
0,6,0,0.5,2,39672,0.008066,0.011781
0,6,0,0.5,4,39672,0.026921,0.033472
0,6,0,0.5,8,39672,0.117463,0.129845
0,7,0,0.0015,0,39672,0.061706,0.073250
0,7,0,0.0015,2,39672,0.129008,0.143082
0,7,0,0.0015,4,39672,0.225978,0.241950
0,7,0,0.0015,8,39672,0.502319,0.516817
0,7,0,0.01,0,39672,0.045347,0.055509
0,7,0,0.01,2,39672,0.102591,0.115454
0,7,0,0.01,4,39672,0.186983,0.202171
0,7,0,0.01,8,39672,0.448604,0.463664
0,7,0,0.05,0,39672,0.021955,0.028852
0,7,0,0.05,2,39672,0.060723,0.070940
0,7,0,0.05,4,39672,0.122857,0.135921
0,7,0,0.05,8,39672,0.335299,0.351028
0,7,0,0.1,0,39672,0.015326,0.020975
0,7,0,0.1,2,39672,0.047691,0.056480
0,7,0,0.1,4,39672,0.100575,0.112243
0,7,0,0.1,8,39672,0.287306,0.302310
0,7,0,0.3,0,39672,0.000302,0.001386
0,7,0,0.3,2,39672,0.008066,0.011781
0,7,0,0.3,4,39672,0.026921,0.033472
0,7,0,0.3,8,39672,0.117463,0.129845
0,7,0,0.5,0,39672,0.000302,0.001386
0,7,0,0.5,2,39672,0.008066,0.011781
0,7,0,0.5,4,39672,0.026921,0.033472
0,7,0,0.5,8,39672,0.117463,0.129845
0,8,0,0.0015,0,39672,0.298397,0.332201
0,8,0,0.0015,2,39672,0.508974,0.525410
0,8,0,0.0015,4,39672,0.700746,0.712081
0,8,0,0.0015,8,39672,0.912482,0.915685
0,8,0,0.01,0,39672,0.223130,0.257173
0,8,0,0.01,2,39672,0.429472,0.446708
0,8,0,0.01,4,39672,0.630772,0.644006
0,8,0,0.01,8,39672,0.879058,0.883299
0,8,0,0.05,0,39672,0.027803,0.056202
0,8,0,0.05,2,39672,0.163995,0.188334
0,8,0,0.05,4,39672,0.298775,0.315847
0,8,0,0.05,8,39672,0.587165,0.599630
0,8,0,0.1,0,39672,0.002369,0.010095
0,8,0,0.1,2,39672,0.060874,0.078494
0,8,0,0.1,4,39672,0.171506,0.189235
0,8,0,0.1,8,39672,0.482381,0.497805
0,8,0,0.3,0,39672,0.000302,0.001386
0,8,0,0.3,2,39672,0.008066,0.011781
0,8,0,0.3,4,39672,0.026921,0.033472
0,8,0,0.3,8,39672,0.117463,0.129845
0,8,0,0.5,0,39672,0.000302,0.001386
0,8,0,0.5,2,39672,0.008066,0.011781
0,8,0,0.5,4,39672,0.026921,0.033472
0,8,0,0.5,8,39672,0.117463,0.129845
0,9,0,0.0015,0,39672,0.181211,0.235181
0,9,0,0.0015,2,39672,0.509679,0.560014
0,9,0,0.0015,4,39672,0.790028,0.805244
0,9,0,0.0015,8,39672,0.998815,0.998914
0,9,0,0.01,0,39672,0.109120,0.154100
0,9,0,0.01,2,39672,0.373866,0.427004
0,9,0,0.01,4,39672,0.699511,0.725526
0,9,0,0.01,8,39672,0.966349,0.967498
0,9,0,0.05,0,39672,0.025434,0.052576
0,9,0,0.05,2,39672,0.168381,0.203950
0,9,0,0.05,4,39672,0.406055,0.450566
0,9,0,0.05,8,39672,0.872832,0.877685
0,9,0,0.1,0,39672,0.001462,0.005290
0,9,0,0.1,2,39672,0.033424,0.045068
0,9,0,0.1,4,39672,0.085854,0.098429
0,9,0,0.1,8,39672,0.263838,0.280042
0,9,0,0.3,0,39672,0.000302,0.001386
0,9,0,0.3,2,39672,0.008066,0.011781
0,9,0,0.3,4,39672,0.026921,0.033472
0,9,0,0.3,8,39672,0.117463,0.129845
0,9,0,0.5,0,39672,0.000302,0.001386
0,9,0,0.5,2,39672,0.008066,0.011781
0,9,0,0.5,4,39672,0.026921,0.033472
0,9,0,0.5,8,39672,0.117463,0.129845
0,10,0,0.0015,0,39672,0.352566,0.379995
0,10,0,0.0015,2,39672,0.561479,0.578355
0,10,0,0.0015,4,39672,0.716652,0.728321
0,10,0,0.0015,8,39672,0.908096,0.912128
0,10,0,0.01,0,39672,0.239842,0.291592
0,10,0,0.01,2,39672,0.492816,0.513144
0,10,0,0.01,4,39672,0.670422,0.683599
0,10,0,0.01,8,39672,0.870387,0.875676
0,10,0,0.05,0,39672,0.019359,0.052460
0,10,0,0.05,2,39672,0.240144,0.288473
0,10,0,0.05,4,39672,0.494480,0.519081
0,10,0,0.05,8,39672,0.770014,0.780919
0,10,0,0.1,0,39672,0.000529,0.002426
0,10,0,0.1,2,39672,0.020392,0.030469
0,10,0,0.1,4,39672,0.090795,0.112151
0,10,0,0.1,8,39672,0.385814,0.411411
0,10,0,0.3,0,39672,0.000302,0.001386
0,10,0,0.3,2,39672,0.008066,0.011781
0,10,0,0.3,4,39672,0.026921,0.033472
0,10,0,0.3,8,39672,0.117463,0.129845
0,10,0,0.5,0,39672,0.000302,0.001386
0,10,0,0.5,2,39672,0.008066,0.011781
0,10,0,0.5,4,39672,0.026921,0.033472
0,10,0,0.5,8,39672,0.117463,0.129845
0,11,0,0.0015,0,39672,0.258217,0.321391
0,11,0,0.0015,2,39672,0.600449,0.648972
0,11,0,0.0015,4,39672,0.857582,0.880180
0,11,0,0.0015,8,39672,1.000000,1.000000
0,11,0,0.01,0,39672,0.165028,0.222245
0,11,0,0.01,2,39672,0.485557,0.541072
0,11,0,0.01,4,39672,0.772888,0.803026
0,11,0,0.01,8,39672,0.998941,0.999307
0,11,0,0.05,0,39672,0.039373,0.077223
0,11,0,0.05,2,39672,0.267468,0.320859
0,11,0,0.05,4,39672,0.555707,0.602449
0,11,0,0.05,8,39672,0.932849,0.938369
0,11,0,0.1,0,39672,0.002269,0.005128
0,11,0,0.1,2,39672,0.022913,0.031162
0,11,0,0.1,4,39672,0.072923,0.087295
0,11,0,0.1,8,39672,0.289322,0.314183
0,11,0,0.3,0,39672,0.000302,0.001386
0,11,0,0.3,2,39672,0.008066,0.011781
0,11,0,0.3,4,39672,0.026921,0.033472
0,11,0,0.3,8,39672,0.117463,0.129845
0,11,0,0.5,0,39672,0.000302,0.001386
0,11,0,0.5,2,39672,0.008066,0.011781
0,11,0,0.5,4,39672,0.026921,0.033472
0,11,0,0.5,8,39672,0.117463,0.129845
0,12,0,0.0015,0,39672,0.319117,0.349365
0,12,0,0.0015,2,39672,0.514721,0.532363
0,12,0,0.0015,4,39672,0.651316,0.663294
0,12,0,0.0015,8,39672,0.820301,0.826126
0,12,0,0.01,0,39672,0.156155,0.214183
0,12,0,0.01,2,39672,0.407441,0.432802
0,12,0,0.01,4,39672,0.566722,0.582837
0,12,0,0.01,8,39672,0.739338,0.747471
0,12,0,0.05,0,39672,0.019031,0.044537
0,12,0,0.05,2,39672,0.184034,0.224809
0,12,0,0.05,4,39672,0.387200,0.418388
0,12,0,0.05,8,39672,0.624899,0.638947
0,12,0,0.1,0,39672,0.003932,0.011180
0,12,0,0.1,2,39672,0.050993,0.065789
0,12,0,0.1,4,39672,0.119933,0.135759
0,12,0,0.1,8,39672,0.312361,0.328967
0,12,0,0.3,0,39672,0.000302,0.001386
0,12,0,0.3,2,39672,0.008066,0.011781
0,12,0,0.3,4,39672,0.026921,0.033472
0,12,0,0.3,8,39672,0.117463,0.129845
0,12,0,0.5,0,39672,0.000302,0.001386
0,12,0,0.5,2,39672,0.008066,0.011781
0,12,0,0.5,4,39672,0.026921,0.033472
0,12,0,0.5,8,39672,0.117463,0.129845
0,13,0,0.0015,0,39672,0.324284,0.384846
0,13,0,0.0015,2,39672,0.648367,0.693232
0,13,0,0.0015,4,39672,0.868976,0.882767
0,13,0,0.0015,8,39672,1.000000,1.000000
0,13,0,0.01,0,39672,0.212417,0.269277
0,13,0,0.01,2,39672,0.507058,0.556988
0,13,0,0.01,4,39672,0.772258,0.800323
0,13,0,0.01,8,39672,0.997656,0.998198
0,13,0,0.05,0,39672,0.026442,0.059298
0,13,0,0.05,2,39672,0.210728,0.257542
0,13,0,0.05,4,39672,0.439302,0.479002
0,13,0,0.05,8,39672,0.839761,0.848302
0,13,0,0.1,0,39672,0.000832,0.003442
0,13,0,0.1,2,39672,0.022812,0.034927
0,13,0,0.1,4,39672,0.084568,0.104967
0,13,0,0.1,8,39672,0.368497,0.406376
0,13,0,0.3,0,39672,0.000302,0.001386
0,13,0,0.3,2,39672,0.008066,0.011781
0,13,0,0.3,4,39672,0.026921,0.033472
0,13,0,0.3,8,39672,0.117463,0.129845
0,13,0,0.5,0,39672,0.000302,0.001386
0,13,0,0.5,2,39672,0.008066,0.011781
0,13,0,0.5,4,39672,0.026921,0.033472
0,13,0,0.5,8,39672,0.117463,0.129845
0,14,0,0.0015,0,39672,0.352364,0.380134
0,14,0,0.0015,2,39672,0.531206,0.547494
0,14,0,0.0015,4,39672,0.647207,0.658882
0,14,0,0.0015,8,39672,0.806211,0.812151
0,14,0,0.01,0,39672,0.167625,0.237884
0,14,0,0.01,2,39672,0.436177,0.458720
0,14,0,0.01,4,39672,0.564529,0.580226
0,14,0,0.01,8,39672,0.724088,0.733033
0,14,0,0.05,0,39672,0.020997,0.047840
0,14,0,0.05,2,39672,0.196411,0.244006
0,14,0,0.05,4,39672,0.397484,0.431739
0,14,0,0.05,8,39672,0.638107,0.655648
0,14,0,0.1,0,39672,0.002067,0.007184
0,14,0,0.1,2,39672,0.044187,0.061238
0,14,0,0.1,4,39672,0.127621,0.149180
0,14,0,0.1,8,39672,0.358893,0.377362
0,14,0,0.3,0,39672,0.000302,0.001386
0,14,0,0.3,2,39672,0.008066,0.011781
0,14,0,0.3,4,39672,0.026921,0.033472
0,14,0,0.3,8,39672,0.117463,0.129845
0,14,0,0.5,0,39672,0.000302,0.001386
0,14,0,0.5,2,39672,0.008066,0.011781
0,14,0,0.5,4,39672,0.026921,0.033472
0,14,0,0.5,8,39672,0.117463,0.129845
0,15,0,0.0015,0,39672,0.375025,0.436290
0,15,0,0.0015,2,39672,0.706367,0.747817
0,15,0,0.0015,4,39672,0.907239,0.916609
0,15,0,0.0015,8,39672,1.000000,1.000000
0,15,0,0.01,0,39672,0.257285,0.307692
0,15,0,0.01,2,39672,0.526139,0.573065
0,15,0,0.01,4,39672,0.783474,0.812543
0,15,0,0.01,8,39672,0.996925,0.997690
0,15,0,0.05,0,39672,0.017771,0.038600
0,15,0,0.05,2,39672,0.134503,0.175745
0,15,0,0.05,4,39672,0.342937,0.393209
0,15,0,0.05,8,39672,0.806967,0.823192
0,15,0,0.1,0,39672,0.000454,0.002102
0,15,0,0.1,2,39672,0.013435,0.020605
0,15,0,0.1,4,39672,0.052001,0.066644
0,15,0,0.1,8,39672,0.264242,0.295981
0,15,0,0.3,0,39672,0.000302,0.001386
0,15,0,0.3,2,39672,0.008066,0.011781
0,15,0,0.3,4,39672,0.026921,0.033472
0,15,0,0.3,8,39672,0.117463,0.129845
0,15,0,0.5,0,39672,0.000302,0.001386
0,15,0,0.5,2,39672,0.008066,0.011781
0,15,0,0.5,4,39672,0.026921,0.033472
0,15,0,0.5,8,39672,0.117463,0.129845
0,16,0,0.0015,0,39672,0.374546,0.398799
0,16,0,0.0015,2,39672,0.542625,0.558420
0,16,0,0.0015,4,39672,0.650736,0.662208
0,16,0,0.0015,8,39672,0.806539,0.812474
0,16,0,0.01,0,39672,0.153660,0.229776
0,16,0,0.01,2,39672,0.430984,0.458073
0,16,0,0.01,4,39672,0.560673,0.577408
0,16,0,0.01,8,39672,0.715190,0.725526
0,16,0,0.05,0,39672,0.021325,0.049619
0,16,0,0.05,2,39672,0.197242,0.245161
0,16,0,0.05,4,39672,0.401215,0.439455
0,16,0,0.05,8,39672,0.648215,0.664772
0,16,0,0.1,0,39672,0.000353,0.001663
0,16,0,0.1,2,39672,0.011847,0.017602
0,16,0,0.1,4,39672,0.045070,0.056341
0,16,0,0.1,8,39672,0.174582,0.190252
0,16,0,0.3,0,39672,0.000302,0.001386
0,16,0,0.3,2,39672,0.008066,0.011781
0,16,0,0.3,4,39672,0.026921,0.033472
0,16,0,0.3,8,39672,0.117463,0.129845
0,16,0,0.5,0,39672,0.000302,0.001386
0,16,0,0.5,2,39672,0.008066,0.011781
0,16,0,0.5,4,39672,0.026921,0.033472
0,16,0,0.5,8,39672,0.117463,0.129845
0,17,0,0.0015,0,39672,0.404441,0.463710
0,17,0,0.0015,2,39672,0.716324,0.765696
0,17,0,0.0015,4,39672,0.932320,0.942227
0,17,0,0.0015,8,39672,1.000000,1.000000
0,17,0,0.01,0,39672,0.287255,0.342804
