fixture,rung,iter,boundary,domain_elems,domain_nodes,elem_frac_k0,elem_frac_k2,elem_frac_k4,elem_frac_k8,node_frac_k0,node_frac_k2,node_frac_k4,node_frac_k8
F1_lbracket_snug,0,43,0,4480,5643,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
F1_lbracket_snug,0,44,0,4480,5643,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
F1_lbracket_snug,0,45,0,4480,5643,0.998214,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
F1_lbracket_snug,0,46,0,4480,5643,0.989286,1.000000,1.000000,1.000000,0.997519,1.000000,1.000000,1.000000
F1_lbracket_snug,0,47,0,4480,5643,0.988393,1.000000,1.000000,1.000000,0.997342,1.000000,1.000000,1.000000
F1_lbracket_snug,0,48,0,4480,5643,0.987500,1.000000,1.000000,1.000000,0.997165,1.000000,1.000000,1.000000
F1_lbracket_snug,0,49,0,4480,5643,0.987500,1.000000,1.000000,1.000000,0.997165,1.000000,1.000000,1.000000
F1_lbracket_snug,0,50,0,4480,5643,0.984375,1.000000,1.000000,1.000000,0.995570,1.000000,1.000000,1.000000
F1_lbracket_snug,0,51,0,4480,5643,0.983036,1.000000,1.000000,1.000000,0.995038,1.000000,1.000000,1.000000
F1_lbracket_snug,0,52,0,4480,5643,0.982589,1.000000,1.000000,1.000000,0.995038,1.000000,1.000000,1.000000
F1_lbracket_snug,0,53,0,4480,5643,0.981250,1.000000,1.000000,1.000000,0.994506,1.000000,1.000000,1.000000
F1_lbracket_snug,0,54,0,4480,5643,0.979018,1.000000,1.000000,1.000000,0.993443,1.000000,1.000000,1.000000
F1_lbracket_snug,0,55,0,4480,5643,0.979018,1.000000,1.000000,1.000000,0.993443,1.000000,1.000000,1.000000
F1_lbracket_snug,0,56,0,4480,5643,0.978125,1.000000,1.000000,1.000000,0.993266,1.000000,1.000000,1.000000
F1_lbracket_snug,0,57,0,4480,5643,0.978125,1.000000,1.000000,1.000000,0.993266,1.000000,1.000000,1.000000
F1_lbracket_snug,0,58,0,4480,5643,0.977679,1.000000,1.000000,1.000000,0.992912,1.000000,1.000000,1.000000
F1_lbracket_snug,0,59,0,4480,5643,0.976786,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,60,0,4480,5643,0.976786,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,61,0,4480,5643,0.976339,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,62,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,63,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,64,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,65,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,66,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,67,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,68,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,69,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,70,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,71,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,72,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,73,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,74,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,75,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,76,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,77,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,78,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,79,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,80,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,81,0,4480,5643,0.975893,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,82,0,4480,5643,0.976786,1.000000,1.000000,1.000000,0.992734,1.000000,1.000000,1.000000
F1_lbracket_snug,0,83,0,4480,5643,0.977679,1.000000,1.000000,1.000000,0.992912,1.000000,1.000000,1.000000
F1_lbracket_snug,0,84,0,4480,5643,0.977679,1.000000,1.000000,1.000000,0.992912,1.000000,1.000000,1.000000
F1_lbracket_snug,0,85,0,4480,5643,0.977679,1.000000,1.000000,1.000000,0.992912,1.000000,1.000000,1.000000
F1_lbracket_snug,0,86,0,4480,5643,0.979018,1.000000,1.000000,1.000000,0.993443,1.000000,1.000000,1.000000
F1_lbracket_snug,0,87,0,4480,5643,0.979911,1.000000,1.000000,1.000000,0.993975,1.000000,1.000000,1.000000
F1_lbracket_snug,0,88,0,4480,5643,0.980357,1.000000,1.000000,1.000000,0.994329,1.000000,1.000000,1.000000
F1_lbracket_snug,0,89,0,4480,5643,0.980804,1.000000,1.000000,1.000000,0.994506,1.000000,1.000000,1.000000
F1_lbracket_snug,0,90,0,4480,5643,0.980804,1.000000,1.000000,1.000000,0.994506,1.000000,1.000000,1.000000
F1_lbracket_snug,0,91,0,4480,5643,0.980804,1.000000,1.000000,1.000000,0.994506,1.000000,1.000000,1.000000
F1_lbracket_snug,0,92,0,4480,5643,0.985714,1.000000,1.000000,1.000000,0.995924,1.000000,1.000000,1.000000
F1_lbracket_snug,0,93,0,4480,5643,0.990179,1.000000,1.000000,1.000000,0.997696,1.000000,1.000000,1.000000
F1_lbracket_snug,0,94,0,4480,5643,0.992411,1.000000,1.000000,1.000000,0.998582,1.000000,1.000000,1.000000
F1_lbracket_snug,0,95,0,4480,5643,0.993750,1.000000,1.000000,1.000000,0.999291,1.000000,1.000000,1.000000
F1_lbracket_snug,0,96,0,4480,5643,0.995089,1.000000,1.000000,1.000000,0.999646,1.000000,1.000000,1.000000
F1_lbracket_snug,0,97,0,4480,5643,0.995536,1.000000,1.000000,1.000000,0.999823,1.000000,1.000000,1.000000
F1_lbracket_snug,0,98,0,4480,5643,0.995089,1.000000,1.000000,1.000000,0.999823,1.000000,1.000000,1.000000
F1_lbracket_snug,0,99,0,4480,5643,0.993304,1.000000,1.000000,1.000000,0.999646,1.000000,1.000000,1.000000
F1_lbracket_snug,0,100,0,4480,5643,0.992411,1.000000,1.000000,1.000000,0.999291,1.000000,1.000000,1.000000
F1_lbracket_snug,0,101,0,4480,5643,0.991964,1.000000,1.000000,1.000000,0.999114,1.000000,1.000000,1.000000
F1_lbracket_snug,0,102,0,4480,5643,0.991071,1.000000,1.000000,1.000000,0.998937,1.000000,1.000000,1.000000
F1_lbracket_snug,0,103,0,4480,5643,0.989732,1.000000,1.000000,1.000000,0.998582,1.000000,1.000000,1.000000
F1_lbracket_snug,0,104,0,4480,5643,0.987946,1.000000,1.000000,1.000000,0.998228,1.000000,1.000000,1.000000
F1_lbracket_snug,0,105,0,4480,5643,0.987946,1.000000,1.000000,1.000000,0.998228,1.000000,1.000000,1.000000
F1_lbracket_snug,0,106,0,4480,5643,0.986161,1.000000,1.000000,1.000000,0.996810,1.000000,1.000000,1.000000
F1_lbracket_snug,0,107,0,4480,5643,0.984821,1.000000,1.000000,1.000000,0.996101,1.000000,1.000000,1.000000
F1_lbracket_snug,0,108,0,4480,5643,0.984821,1.000000,1.000000,1.000000,0.996101,1.000000,1.000000,1.000000
F1_lbracket_snug,0,109,0,4480,5643,0.984821,1.000000,1.000000,1.000000,0.996101,1.000000,1.000000,1.000000
F1_lbracket_snug,0,110,0,4480,5643,0.985268,1.000000,1.000000,1.000000,0.996101,1.000000,1.000000,1.000000
F1_lbracket_snug,0,111,0,4480,5643,0.985268,1.000000,1.000000,1.000000,0.996101,1.000000,1.000000,1.000000
F1_lbracket_snug,0,112,0,4480,5643,0.985268,1.000000,1.000000,1.000000,0.996101,1.000000,1.000000,1.000000
F1_lbracket_snug,0,113,0,4480,5643,0.985268,1.000000,1.000000,1.000000,0.996101,1.000000,1.000000,1.000000
F1_lbracket_snug,0,114,0,4480,5643,0.985714,1.000000,1.000000,1.000000,0.996456,1.000000,1.000000,1.000000
F1_lbracket_snug,0,115,0,4480,5643,0.985714,1.000000,1.000000,1.000000,0.996456,1.000000,1.000000,1.000000
F1_lbracket_snug,0,116,0,4480,5643,0.985714,1.000000,1.000000,1.000000,0.996456,1.000000,1.000000,1.000000
F1_lbracket_snug,0,117,0,4480,5643,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
F1_lbracket_snug,0,118,0,4480,5643,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
