# sdf_geometry_probe port, evaluated at the reference's own grid points
x y z port_sdf reference_sdf diff
8 2 -3 -5.96515594 -1e+10 9.99999999e+09
9 2 -3 -6.20917976 -1e+10 9.99999999e+09
10 2 -3 -6.55491397 -1e+10 9.99999999e+09
11 2 -3 -6.95014993 -1e+10 9.99999999e+09
12 2 -3 -7.43225234 -1e+10 9.99999999e+09
13 2 -3 -7.9897796 -1e+10 9.99999999e+09
14 2 -3 -8.60282287 -1e+10 9.99999999e+09
15 2 -3 -9.26333687 -1e+10 9.99999999e+09
-3 3 -3 -8.99402891 -1e+10 9.99999999e+09
-2 3 -3 -8.31451695 -1e+10 9.99999999e+09
-1 3 -3 -7.68089471 -1e+10 9.99999999e+09
0 3 -3 -7.10761213 -1e+10 9.99999999e+09
1 3 -3 -6.60940777 -1e+10 9.99999999e+09
2 3 -3 -6.20917976 -1e+10 9.99999999e+09
3 3 -3 -5.87517136 -1e+10 9.99999999e+09
4 3 -3 -5.62114643 -1e+10 9.99999999e+09
5 3 -3 -5.48438672 -1e+10 9.99999999e+09
6 3 -3 -5.40874813 -1e+10 9.99999999e+09
7 3 -3 -5.48441512 -1e+10 9.99999999e+09
8 3 -3 -5.62114643 -1e+10 9.99999999e+09
9 3 -3 -5.87514423 -1e+10 9.99999999e+09
10 3 -3 -6.20917976 -1e+10 9.99999999e+09
11 3 -3 -6.60940777 -1e+10 9.99999999e+09
12 3 -3 -7.10761213 -1e+10 9.99999999e+09
13 3 -3 -7.68089471 -1e+10 9.99999999e+09
14 3 -3 -8.31451695 -1e+10 9.99999999e+09
15 3 -3 -8.99402891 -1e+10 9.99999999e+09
-3 4 -3 -8.81847237 -1e+10 9.99999999e+09
-2 4 -3 -8.12485667 -1e+10 9.99999999e+09
-1 4 -3 -7.47876303 -1e+10 9.99999999e+09
0 4 -3 -6.89139322 -1e+10 9.99999999e+09
1 4 -3 -6.3781993 -1e+10 9.99999999e+09
2 4 -3 -5.96515594 -1e+10 9.99999999e+09
3 4 -3 -5.62114643 -1e+10 9.99999999e+09
4 4 -3 -5.35631049 -1e+10 9.99999999e+09
5 4 -3 -5.20877086 -1e+10 9.99999999e+09
6 4 -3 -5.12580997 -1e+10 9.99999999e+09
7 4 -3 -5.20877086 -1e+10 9.99999999e+09
8 4 -3 -5.35631049 -1e+10 9.99999999e+09
9 4 -3 -5.62114643 -1e+10 9.99999999e+09
10 4 -3 -5.96515594 -1e+10 9.99999999e+09
11 4 -3 -6.3781993 -1e+10 9.99999999e+09
12 4 -3 -6.89139322 -1e+10 9.99999999e+09
13 4 -3 -7.47876303 -1e+10 9.99999999e+09
14 4 -3 -8.12485667 -1e+10 9.99999999e+09
15 4 -3 -8.81844614 -1e+10 9.99999999e+09
-3 5 -3 -8.69782565 -1e+10 9.99999999e+09
-2 5 -3 -8.00414046 -1e+10 9.99999999e+09
-1 5 -3 -7.35723556 -1e+10 9.99999999e+09
0 5 -3 -6.76907149 -1e+10 9.99999999e+09
1 5 -3 -6.25033827 -1e+10 9.99999999e+09
2 5 -3 -5.83306756 -1e+10 9.99999999e+09
3 5 -3 -5.48438672 -1e+10 9.99999999e+09
4 5 -3 -5.20877086 -1e+10 9.99999999e+09
5 5 -3 -5.0466436 -1e+10 9.99999999e+09
6 5 -3 -4.96053704 -1e+10 1e+10
7 5 -3 -5.0466436 -1e+10 9.99999999e+09
8 5 -3 -5.20877086 -1e+10 9.99999999e+09
9 5 -3 -5.48441512 -1e+10 9.99999999e+09
10 5 -3 -5.83305147 -1e+10 9.99999999e+09
11 5 -3 -6.25033827 -1e+10 9.99999999e+09
12 5 -3 -6.76907149 -1e+10 9.99999999e+09
13 5 -3 -7.35723556 -1e+10 9.99999999e+09
14 5 -3 -8.00413903 -1e+10 9.99999999e+09
15 5 -3 -8.69782565 -1e+10 9.99999999e+09
-3 6 -3 -8.64715357 -1e+10 9.99999999e+09
-2 6 -3 -7.94904763 -1e+10 9.99999999e+09
-1 6 -3 -7.29807264 -1e+10 9.99999999e+09
0 6 -3 -6.70609475 -1e+10 9.99999999e+09
1 6 -3 -6.183505 -1e+10 9.99999999e+09
2 6 -3 -5.76236236 -1e+10 9.99999999e+09
3 6 -3 -5.40874813 -1e+10 9.99999999e+09
4 6 -3 -5.12580997 -1e+10 9.99999999e+09
5 6 -3 -4.96053704 -1e+10 1e+10
6 6 -3 -4.87342077 -1e+10 1e+10
7 6 -3 -4.96053704 -1e+10 1e+10
8 6 -3 -5.12580997 -1e+10 9.99999999e+09
9 6 -3 -5.40874813 -1e+10 9.99999999e+09
10 6 -3 -5.76236236 -1e+10 9.99999999e+09
11 6 -3 -6.183505 -1e+10 9.99999999e+09
12 6 -3 -6.70609475 -1e+10 9.99999999e+09
13 6 -3 -7.29807264 -1e+10 9.99999999e+09
14 6 -3 -7.94904763 -1e+10 9.99999999e+09
15 6 -3 -8.64715357 -1e+10 9.99999999e+09
-3 7 -3 -8.69782565 -1e+10 9.99999999e+09
-2 7 -3 -8.00413903 -1e+10 9.99999999e+09
-1 7 -3 -7.35723556 -1e+10 9.99999999e+09
0 7 -3 -6.76907149 -1e+10 9.99999999e+09
1 7 -3 -6.25033827 -1e+10 9.99999999e+09
2 7 -3 -5.83305147 -1e+10 9.99999999e+09
3 7 -3 -5.48441512 -1e+10 9.99999999e+09
4 7 -3 -5.20877086 -1e+10 9.99999999e+09
5 7 -3 -5.0466436 -1e+10 9.99999999e+09
6 7 -3 -4.96053704 -1e+10 1e+10
7 7 -3 -5.0466436 -1e+10 9.99999999e+09
8 7 -3 -5.20877086 -1e+10 9.99999999e+09
9 7 -3 -5.48438672 -1e+10 9.99999999e+09
10 7 -3 -5.83306756 -1e+10 9.99999999e+09
11 7 -3 -6.25033827 -1e+10 9.99999999e+09
12 7 -3 -6.76907149 -1e+10 9.99999999e+09
13 7 -3 -7.35723556 -1e+10 9.99999999e+09
14 7 -3 -8.00414046 -1e+10 9.99999999e+09
15 7 -3 -8.69782565 -1e+10 9.99999999e+09
-3 8 -3 -8.81844614 -1e+10 9.99999999e+09
-2 8 -3 -8.12485667 -1e+10 9.99999999e+09
-1 8 -3 -7.47876303 -1e+10 9.99999999e+09
0 8 -3 -6.89139322 -1e+10 9.99999999e+09
1 8 -3 -6.3781993 -1e+10 9.99999999e+09
2 8 -3 -5.96515594 -1e+10 9.99999999e+09
3 8 -3 -5.62114643 -1e+10 9.99999999e+09
4 8 -3 -5.35631049 -1e+10 9.99999999e+09
5 8 -3 -5.20877086 -1e+10 9.99999999e+09
6 8 -3 -5.12580997 -1e+10 9.99999999e+09
7 8 -3 -5.20877086 -1e+10 9.99999999e+09
8 8 -3 -5.35631049 -1e+10 9.99999999e+09
9 8 -3 -5.62114643 -1e+10 9.99999999e+09
10 8 -3 -5.96515594 -1e+10 9.99999999e+09
11 8 -3 -6.3781993 -1e+10 9.99999999e+09
12 8 -3 -6.89139322 -1e+10 9.99999999e+09
13 8 -3 -7.47876303 -1e+10 9.99999999e+09
14 8 -3 -8.12485667 -1e+10 9.99999999e+09
15 8 -3 -8.81844614 -1e+10 9.99999999e+09
-3 9 -3 -8.99402891 -1e+10 9.99999999e+09
-2 9 -3 -8.31451695 -1e+10 9.99999999e+09
-1 9 -3 -7.68089471 -1e+10 9.99999999e+09
0 9 -3 -7.10761213 -1e+10 9.99999999e+09
1 9 -3 -6.60940777 -1e+10 9.99999999e+09
2 9 -3 -6.20917976 -1e+10 9.99999999e+09
3 9 -3 -5.87514423 -1e+10 9.99999999e+09
4 9 -3 -5.62114643 -1e+10 9.99999999e+09
5 9 -3 -5.48441512 -1e+10 9.99999999e+09
6 9 -3 -5.40874813 -1e+10 9.99999999e+09
7 9 -3 -5.48438672 -1e+10 9.99999999e+09
8 9 -3 -5.62114643 -1e+10 9.99999999e+09
9 9 -3 -5.87517136 -1e+10 9.99999999e+09
10 9 -3 -6.20917976 -1e+10 9.99999999e+09
11 9 -3 -6.60940777 -1e+10 9.99999999e+09
12 9 -3 -7.10761213 -1e+10 9.99999999e+09
13 9 -3 -7.68089471 -1e+10 9.99999999e+09
14 9 -3 -8.31451695 -1e+10 9.99999999e+09
15 9 -3 -8.99402891 -1e+10 9.99999999e+09
-3 10 -3 -9.26333687 -1e+10 9.99999999e+09
-2 10 -3 -8.60282287 -1e+10 9.99999999e+09
-1 10 -3 -7.9897796 -1e+10 9.99999999e+09
0 10 -3 -7.43225234 -1e+10 9.99999999e+09
1 10 -3 -6.95014993 -1e+10 9.99999999e+09
2 10 -3 -6.55491397 -1e+10 9.99999999e+09
3 10 -3 -6.20917976 -1e+10 9.99999999e+09
4 10 -3 -5.96515594 -1e+10 9.99999999e+09
5 10 -3 -5.83305147 -1e+10 9.99999999e+09
6 10 -3 -5.76236236 -1e+10 9.99999999e+09
7 10 -3 -5.83306756 -1e+10 9.99999999e+09
8 10 -3 -5.96515594 -1e+10 9.99999999e+09
9 10 -3 -6.20917976 -1e+10 9.99999999e+09
10 10 -3 -6.55491397 -1e+10 9.99999999e+09
11 10 -3 -6.95014993 -1e+10 9.99999999e+09
12 10 -3 -7.43225234 -1e+10 9.99999999e+09
13 10 -3 -7.9897796 -1e+10 9.99999999e+09
14 10 -3 -8.60282287 -1e+10 9.99999999e+09
15 10 -3 -9.26333687 -1e+10 9.99999999e+09
-3 11 -3 -9.61532053 -1e+10 9.99999999e+09
-2 11 -3 -8.97238005 -1e+10 9.99999999e+09
-1 11 -3 -8.36726609 -1e+10 9.99999999e+09
0 11 -3 -7.82133502 -1e+10 9.99999999e+09
1 11 -3 -7.35417535 -1e+10 9.99999999e+09
2 11 -3 -6.95014993 -1e+10 9.99999999e+09
3 11 -3 -6.60940777 -1e+10 9.99999999e+09
4 11 -3 -6.3781993 -1e+10 9.99999999e+09
5 11 -3 -6.25033827 -1e+10 9.99999999e+09
6 11 -3 -6.183505 -1e+10 9.99999999e+09
7 11 -3 -6.25033827 -1e+10 9.99999999e+09
8 11 -3 -6.3781993 -1e+10 9.99999999e+09
9 11 -3 -6.60940777 -1e+10 9.99999999e+09
10 11 -3 -6.95014993 -1e+10 9.99999999e+09
11 11 -3 -7.35418628 -1e+10 9.99999999e+09
12 11 -3 -7.82133502 -1e+10 9.99999999e+09
13 11 -3 -8.36726609 -1e+10 9.99999999e+09
14 11 -3 -8.97237976 -1e+10 9.99999999e+09
15 11 -3 -9.61532053 -1e+10 9.99999999e+09
-3 12 -3 -10.0058125 -1e+10 9.99999999e+09
-2 12 -3 -9.37910763 -1e+10 9.99999999e+09
-1 12 -3 -8.79462822 -1e+10 9.99999999e+09
0 12 -3 -8.27133897 -1e+10 9.99999999e+09
1 12 -3 -7.82133502 -1e+10 9.99999999e+09
2 12 -3 -7.43225234 -1e+10 9.99999999e+09
3 12 -3 -7.10761213 -1e+10 9.99999999e+09
4 12 -3 -6.89139322 -1e+10 9.99999999e+09
5 12 -3 -6.76907149 -1e+10 9.99999999e+09
6 12 -3 -6.70609475 -1e+10 9.99999999e+09
7 12 -3 -6.76907149 -1e+10 9.99999999e+09
8 12 -3 -6.89139322 -1e+10 9.99999999e+09
9 12 -3 -7.10761213 -1e+10 9.99999999e+09
10 12 -3 -7.43225234 -1e+10 9.99999999e+09
11 12 -3 -7.82133502 -1e+10 9.99999999e+09
12 12 -3 -8.27133897 -1e+10 9.99999999e+09
13 12 -3 -8.79462822 -1e+10 9.99999999e+09
14 12 -3 -9.37910763 -1e+10 9.99999999e+09
15 12 -3 -10.0058125 -1e+10 9.99999999e+09
-3 13 -3 -10.4494503 -1e+10 9.99999999e+09
-2 13 -3 -9.84688301 -1e+10 9.99999999e+09
-1 13 -3 -9.28984058 -1e+10 9.99999999e+09
0 13 -3 -8.79462822 -1e+10 9.99999999e+09
1 13 -3 -8.36726609 -1e+10 9.99999999e+09
2 13 -3 -7.9897796 -1e+10 9.99999999e+09
3 13 -3 -7.68089471 -1e+10 9.99999999e+09
4 13 -3 -7.47876303 -1e+10 9.99999999e+09
5 13 -3 -7.35723556 -1e+10 9.99999999e+09
6 13 -3 -7.29807264 -1e+10 9.99999999e+09
7 13 -3 -7.35723556 -1e+10 9.99999999e+09
8 13 -3 -7.47876303 -1e+10 9.99999999e+09
9 13 -3 -7.68089471 -1e+10 9.99999999e+09
10 13 -3 -7.9897796 -1e+10 9.99999999e+09
11 13 -3 -8.36726609 -1e+10 9.99999999e+09
12 13 -3 -8.79462822 -1e+10 9.99999999e+09
13 13 -3 -9.28984058 -1e+10 9.99999999e+09
14 13 -3 -9.84688301 -1e+10 9.99999999e+09
15 13 -3 -10.4494503 -1e+10 9.99999999e+09
-3 14 -3 -10.9562983 -1e+10 9.99999999e+09
-2 14 -3 -10.3794432 -1e+10 9.99999999e+09
-1 14 -3 -9.84688301 -1e+10 9.99999999e+09
0 14 -3 -9.37910763 -1e+10 9.99999999e+09
1 14 -3 -8.97237976 -1e+10 9.99999999e+09
2 14 -3 -8.60282287 -1e+10 9.99999999e+09
3 14 -3 -8.31451695 -1e+10 9.99999999e+09
4 14 -3 -8.12485667 -1e+10 9.99999999e+09
5 14 -3 -8.00414046 -1e+10 9.99999999e+09
6 14 -3 -7.94904763 -1e+10 9.99999999e+09
7 14 -3 -8.00413903 -1e+10 9.99999999e+09
8 14 -3 -8.12485667 -1e+10 9.99999999e+09
9 14 -3 -8.31451695 -1e+10 9.99999999e+09
10 14 -3 -8.60282287 -1e+10 9.99999999e+09
11 14 -3 -8.97238005 -1e+10 9.99999999e+09
12 14 -3 -9.37910763 -1e+10 9.99999999e+09
13 14 -3 -9.84688301 -1e+10 9.99999999e+09
14 14 -3 -10.3794432 -1e+10 9.99999999e+09
15 14 -3 -10.9562983 -1e+10 9.99999999e+09
-3 15 -3 -11.5135676 -1e+10 9.99999999e+09
-2 15 -3 -10.9562983 -1e+10 9.99999999e+09
-1 15 -3 -10.4494503 -1e+10 9.99999999e+09
0 15 -3 -10.0058125 -1e+10 9.99999999e+09
1 15 -3 -9.61532053 -1e+10 9.99999999e+09
2 15 -3 -9.26333687 -1e+10 9.99999999e+09
3 15 -3 -8.99402891 -1e+10 9.99999999e+09
4 15 -3 -8.81847237 -1e+10 9.99999999e+09
