
=== 96^3 design-box run, rung 0 (146 iterations) ===
 iter       compliance    c[i]/c[0]  c[i]/c[i-1]        cg  cg/cg[0]     ms/ms[0]
  106       0.00169147     0.000159       0.9992      4641     0.387           -1
  107       0.00169005    0.0001589       0.9992      4643     0.388           -1
  108       0.00168895    0.0001588       0.9993      4644     0.388           -1
  109       0.00168797    0.0001587       0.9994      4646     0.388           -1
  110       0.00168701    0.0001586       0.9994      4645     0.388           -1
  111       0.00168612    0.0001585       0.9995      4646     0.388           -1
  112       0.00168529    0.0001585       0.9995      4647     0.388           -1
  113        0.0016844    0.0001584       0.9995      4648     0.388           -1
  114       0.00168343    0.0001583       0.9994      4649     0.388           -1
  115       0.00168265    0.0001582       0.9995      4649     0.388           -1
  116       0.00168194    0.0001581       0.9996      4650     0.388           -1
  117       0.00168121    0.0001581       0.9996      4650     0.388           -1
  118       0.00168051     0.000158       0.9996      4651     0.388           -1
  119       0.00167997    0.0001579       0.9997      4652     0.388           -1
  120       0.00167946    0.0001579       0.9997      4652     0.388           -1
  121       0.00167895    0.0001579       0.9997      4651     0.388           -1
  122       0.00167837    0.0001578       0.9997      4651     0.388           -1
  123       0.00167786    0.0001578       0.9997      4650     0.388           -1
  124       0.00167745    0.0001577       0.9998      4648     0.388           -1
  125       0.00167702    0.0001577       0.9997      4582     0.383           -1
  126       0.00167657    0.0001576       0.9997      4584     0.383           -1
  127       0.00167609    0.0001576       0.9997      4648     0.388           -1
  128       0.00167568    0.0001575       0.9998      4646     0.388           -1
  129       0.00167537    0.0001575       0.9998      4645     0.388           -1
  130       0.00167508    0.0001575       0.9998      4643     0.388           -1
  131       0.00167479    0.0001575       0.9998      4642     0.388           -1
  132       0.00167448    0.0001574       0.9998      4645     0.388           -1
  133       0.00167414    0.0001574       0.9998      4645     0.388           -1
  134       0.00167383    0.0001574       0.9998      4634     0.387           -1
  135       0.00167361    0.0001574       0.9999      4571     0.382           -1
  136       0.00167341    0.0001573       0.9999      4573     0.382           -1
  137       0.00167323    0.0001573       0.9999      4644     0.388           -1
  138       0.00167306    0.0001573       0.9999      4650     0.388           -1
  139       0.00167285    0.0001573       0.9999      4651     0.388           -1
  140       0.00167263    0.0001573       0.9999      4651     0.388           -1
  141       0.00167243    0.0001572       0.9999      4650     0.388           -1
  142       0.00167226    0.0001572       0.9999      4649     0.388           -1
  143       0.00167212    0.0001572       0.9999      4649     0.388           -1
  144         0.001672    0.0001572       0.9999      4650     0.388           -1
  145       0.00167191    0.0001572       0.9999      4649     0.388           -1
  146       0.00167184    0.0001572            1      4650     0.388           -1
-> peak LEVEL ratio 1, peak STEP ratio 1

=== 96^3 design-box run, rung 1 (45 iterations) ===
 iter       compliance    c[i]/c[0]  c[i]/c[i-1]        cg  cg/cg[0]     ms/ms[0]
    1         0.013704            1            1      5821         1           -1
    2       0.00808802       0.5902       0.5902      5629     0.967           -1
    3       0.00558181       0.4073       0.6901      5487     0.943           -1
    4       0.00476086       0.3474       0.8529      5408     0.929           -1
    5       0.00442201       0.3227       0.9288      5393     0.926           -1
    6       0.00421734       0.3077       0.9537      5361     0.921           -1
    7       0.00406522       0.2966       0.9639      5324     0.915           -1
    8       0.00395159       0.2884        0.972      5315     0.913           -1
    9       0.00387742       0.2829       0.9812      5302     0.911           -1
   10       0.00383371       0.2798       0.9887      5294     0.909           -1
   11       0.00381001        0.278       0.9938      5292     0.909           -1
   12       0.00379244       0.2767       0.9954      5321     0.914           -1
   13       0.00377798       0.2757       0.9962      5264     0.904           -1
   14       0.00376558       0.2748       0.9967      5279     0.907           -1
   15       0.00375586       0.2741       0.9974      5282     0.907           -1
   16       0.00374848       0.2735        0.998      5284     0.908           -1
   17       0.00374318       0.2731       0.9986      5285     0.908           -1
   18        0.0037392       0.2729       0.9989      5284     0.908           -1
   19       0.00373555       0.2726        0.999      5285     0.908           -1
   20       0.00373238       0.2724       0.9992      5282     0.907           -1
   21       0.00372997       0.2722       0.9994      5282     0.907           -1
   22       0.00372801        0.272       0.9995      5280     0.907           -1
   23       0.00372649       0.2719       0.9996      5281     0.907           -1
   24       0.00372485       0.2718       0.9996      5282     0.907           -1
   25       0.00372291       0.2717       0.9995      5281     0.907           -1
   26       0.00372079       0.2715       0.9994      5282     0.907           -1
   27        0.0037187       0.2714       0.9994      5283     0.908           -1
   28       0.00371668       0.2712       0.9995      5285     0.908           -1
   29        0.0037149       0.2711       0.9995      5285     0.908           -1
   30       0.00371322        0.271       0.9995      5284     0.908           -1
   31        0.0037116       0.2708       0.9996      5285     0.908           -1
   32       0.00371008       0.2707       0.9996      5286     0.908           -1
   33       0.00370888       0.2706       0.9997      5286     0.908           -1
   34       0.00370773       0.2706       0.9997      5286     0.908           -1
   35       0.00370658       0.2705       0.9997      5285     0.908           -1
   36       0.00370543       0.2704       0.9997      5285     0.908           -1
   37       0.00370467       0.2703       0.9998      5285     0.908           -1
   38       0.00370434       0.2703       0.9999      5285     0.908           -1
   39       0.00370409       0.2703       0.9999      5286     0.908           -1
   40       0.00370383       0.2703       0.9999      5285     0.908           -1
   41        0.0037036       0.2703       0.9999      5284     0.908           -1
   42        0.0037034       0.2702       0.9999      5284     0.908           -1
   43       0.00370329       0.2702            1      5285     0.908           -1
   44       0.00370319       0.2702            1      5285     0.908           -1
   45       0.00370307       0.2702            1      5285     0.908           -1
-> peak LEVEL ratio 1, peak STEP ratio 1

=== 96^3 design-box run, rung 2 (31 iterations) ===
 iter       compliance    c[i]/c[0]  c[i]/c[i-1]        cg  cg/cg[0]     ms/ms[0]
    1         0.656802            1            1      8371         1           -1
    2           167427    2.549e+05    2.549e+05     43532       5.2           -1
    3           167427    2.549e+05            1     42745      5.11           -1
    4           167427    2.549e+05            1     43293      5.17           -1
    5           167427    2.549e+05            1     43250      5.17           -1
    6           167427    2.549e+05            1     43365      5.18           -1
    7           167427    2.549e+05            1     42856      5.12           -1
    8           167427    2.549e+05            1     43530       5.2           -1
    9           167427    2.549e+05            1     43107      5.15           -1
   10           167427    2.549e+05            1     44296      5.29           -1
   11           167427    2.549e+05            1     42802      5.11           -1
   12           167427    2.549e+05            1     43568       5.2           -1
   13           167427    2.549e+05            1     43159      5.16           -1
   14           167427    2.549e+05            1     43517       5.2           -1
   15           167427    2.549e+05            1     44103      5.27           -1
   16           167427    2.549e+05            1     43210      5.16           -1
   17           167427    2.549e+05            1     43286      5.17           -1
   18           167427    2.549e+05            1     43511       5.2           -1
   19           167427    2.549e+05            1     43263      5.17           -1
   20           167427    2.549e+05            1     43297      5.17           -1
   21           167427    2.549e+05            1     43098      5.15           -1
   22           167427    2.549e+05            1     44204      5.28           -1
   23           167427    2.549e+05            1     43177      5.16           -1
   24           167427    2.549e+05            1     44201      5.28           -1
   25           167427    2.549e+05            1     43351      5.18           -1
   26           167427    2.549e+05            1     42994      5.14           -1
   27           167427    2.549e+05            1     42984      5.13           -1
   28           167427    2.549e+05            1     43908      5.25           -1
   29           167427    2.549e+05            1     43615      5.21           -1
   30           167427    2.549e+05            1     43483      5.19           -1
   31           167427    2.549e+05            1     43742      5.23           -1
-> peak LEVEL ratio 254913, peak STEP ratio 254913

=== 96^3 design-box run, rung 3 (27 iterations) ===
