iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
19,0.00253269393072,75415,75415,0.680002524706,-0.00578825703914,0.0483362901927,1.70887088001e-11,5.86310757949e-12,2783,1,0,31144.6686668,13.5585412979,36050,0,0,0.393993455662,0.999944079374,0,0.1,0,0,23881.3605342,1,1,0,0,0,0,0,31.3283866248
20,0.00252477156077,75414,75414,0.679993507899,-0.00461535799839,0.0483362901927,1.39862939214e-11,5.60083888049e-12,2793,1,0,30869.1164579,17.3553333282,35261,0,0,0.391704056831,0.999903006167,0,0.1,0,0,23120.0789398,1,1,0,0,0,0,0,48.8785446249
21,0.00252180798146,75415,75415,0.680002524706,-0.0154275998758,0.0483362901927,6.64612054175e-12,5.95951321247e-12,2709,1,0,26317.3015833,16.6368746758,28179,0,0,0.388347978701,0.999903006167,0,0.1,0,0,19857.9896246,1,1,0,0,0,0,0,26.5411537089
22,0.00251852628002,75415,75415,0.680002524706,0.00273371118604,0.0483362901927,5.47181366173e-12,5.67703108e-12,2712,1,0,26570.9814157,14.5329589844,28195,0,0,0.388705678609,0.999903006167,0,0.1,0,0,20142.7244057,1,1,0,0,0,0,0,26.7704852084
23,0.00251583279304,75415,75415,0.680002524706,0.00054067020656,0.0483362901927,4.67292297567e-12,5.53851433641e-12,2710,1,0,26639.0907917,12.2607083321,28069,0,0,0.388947118726,0.999903006167,0,0.1,0,0,20206.211231,1,1,0,0,0,0,0,26.751034
24,0.00251322025406,75415,75415,0.680002524706,-0.00109513938892,0.0483362901927,4.01221364327e-12,5.43273428727e-12,2712,1,0,30651.1650424,13.1243748665,27970,0,0,0.389313418477,0.999903006167,0,0.1,0,0,20171.8456447,1,1,0,0,0,0,0,30.86933525
25,0.00251102155458,75414,75414,0.679993507899,-0.001191457793,0.0483362901927,3.33823242955e-12,5.35386229184e-12,2714,1,0,27197.565083,13.3067498207,27771,0,0,0.386956585359,0.999870733813,0,0.1,0,0,20097.0944933,1,1,0,0,0,0,0,45.4311520001
26,0.00251676465489,75414,75414,0.679993507899,-0.0144286737997,0.0483362901927,4.80395457172e-12,5.81696921969e-12,2633,1,0,26377.8365831,14.5059170723,27336,0,0,0.38665679015,0.999870733813,0,0.1,0,0,19535.6341143,1,1,0,0,0,0,0,26.5953216669
27,0.0025156614092,75414,75414,0.679993507899,0.00676708190147,0.0483362901927,3.70881519822e-12,5.61581325285e-12,2606,1,0,26170.1812911,17.5092916489,27441,0,0,0.387183620458,0.999870733813,0,0.1,0,0,19825.4118627,1,1,0,0,0,0,0,26.3859356246
28,0.00251445528107,75414,75414,0.679993507899,0.00303844934681,0.0483362901927,3.19519123753e-12,5.52891997033e-12,2580,1,0,28345.1105833,13.537209034,27423,0,0,0.387668926478,0.999870733813,0,0.1,0,0,19907.0781971,1,1,0,0,0,0,0,28.5363254589
29,0.00251223944985,75414,75414,0.679993507899,-0.00103843473537,0.0483362901927,2.94100978563e-12,5.40756311651e-12,2581,1,0,28747.8912921,14.1154999733,27374,0,0,0.388045982383,0.999870733813,0,0.1,0,0,19962.6956269,1,1,0,0,0,0,0,28.8741855421
30,0.00250984577826,75414,75414,0.679993507899,-0.00319694252477,0.0483362901927,2.63572941713e-12,5.32885553176e-12,2571,1,0,25657.176125,14.2234158516,27276,0,0,0.402496785294,0.999629478414,0,0.1,0,0,19884.1142119,1,1,0,0,0,0,0,44.024744208
31,0.00251492554172,75415,75415,0.680002524706,-0.0140427255891,0.0483362901927,4.78989653242e-12,5.700373516e-12,2581,1,0,25942.661458,13.4949579239,27139,0,0,0.402494122686,0.999629478414,0,0.1,0,0,19653.1202502,1,1,0,0,0,0,0,26.1334772501
32,0.00251463102085,75414,75414,0.679993507899,0.0074733805471,0.0483362901927,4.22498775412e-12,5.55116390028e-12,2559,1,0,25734.0446248,14.1417078972,27292,0,0,0.403120674194,0.999629478414,0,0.1,0,0,19906.528994,1,1,0,0,0,0,0,25.9519717079
33,0.00251284903443,75414,75414,0.679993507899,-8.84801824433e-05,0.0483362901927,3.59979558094e-12,5.43052141049e-12,2558,1,0,25556.8626251,21.0206246376,27259,0,0,0.403510113297,0.999629478414,0,0.1,0,0,19986.4277104,1,1,0,0,0,0,0,25.7831616253
34,0.00251114798649,75414,75414,0.679993507899,-0.00130112171598,0.0483362901927,2.9909206901e-12,5.34768464049e-12,2556,1,0,31864.073833,14.1432089806,27232,0,0,0.404020266049,0.999629478414,0,0.1,0,0,19985.8473282,1,1,0,0,0,0,0,32.0779093751
