iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,iteration_wall_s
21,0.00266342434914,75414,75414,0.679993507899,0.0300351530313,0.0483362901927,1.13917051838e-11,1.02989083779e-11,2433,1,0,17628.328083,12.25745821,29330,0,0,0.330325835868,0.99963475447,0,0.1,0,0,38537.7734398,1,1,0,28.0887420001
22,0.00264349558837,75415,75415,0.680002524706,-0.0178512185812,0.0483362901927,1.06677134733e-11,8.60069881669e-12,2432,1,0,17513.7530837,11.7239999771,28379,0,0,0.329501809858,0.99963475447,0,0.1,0,0,37787.7859784,1,1,0,27.897334625
23,0.00266653957043,75415,75415,0.680002524706,0.0210586935282,0.0483362901927,8.9800277195e-12,1.05043707941e-11,2432,1,0,17503.3467922,12.4754166603,29171,0,0,0.330928960182,0.99963475447,0,0.1,0,0,38637.1336984,1,1,0,27.888643709
24,0.0026436187651,75414,75414,0.679993507899,-0.0212114304304,0.0483362901927,6.64766879979e-12,8.56505339499e-12,2432,1,0,17515.355917,11.8765830994,28109,0,0,0.329771532185,0.99963475447,0,0.1,0,0,37745.6561733,1,1,0,27.9275051672
25,0.00266673767926,75414,75414,0.679993507899,0.0210020691156,0.0483362901927,5.7007410593e-12,1.05092888452e-11,2432,1,0,17723.0154157,12.0210843086,28963,0,0,0.324834787378,0.999847802534,0,0.1,0,0,38573.1546581,1,1,0,44.4361102502
26,0.00263798555019,75415,75415,0.680002524706,-0.0190194696188,0.0483362901927,3.51601078605e-12,8.04658826447e-12,2434,1,0,17747.5466251,12.1956248283,27040,0,0,0.323582920981,0.999847802534,0,0.1,0,0,36413.1089545,1,1,0,28.3646850828
27,0.00266326217937,75414,75414,0.679993507899,0.0274423509836,0.0483362901927,5.3372390797e-12,1.0122917024e-11,2433,1,0,17725.7775421,13.2186250687,28159,0,0,0.325941622217,0.999847802534,0,0.1,0,0,37589.9151402,1,1,0,28.2180226673
28,0.00264622342768,75415,75415,0.680002524706,-0.0163208693266,0.0483362901927,3.35380802306e-12,8.65051726503e-12,2432,1,0,17559.6468329,11.851375103,27524,0,0,0.324525865986,0.999847802534,0,0.1,0,0,37065.0561521,1,1,0,27.9398794998
29,0.00267447564396,75415,75415,0.680002524706,0.0245194882154,0.0483362901927,5.88930035474e-12,1.09733824501e-11,2433,1,0,17369.1104999,12.9539170265,28245,0,0,0.327113384633,0.999847802534,0,0.1,0,0,38061.0045514,1,1,0,27.8220655001
30,0.00264587228836,75414,75414,0.679993507899,-0.0259798020124,0.0483362901927,3.28365688831e-12,8.570415476e-12,2433,1,0,17435.5272503,13.1044998169,27382,0,0,0.316668654978,0.999702075119,0,0.1,0,0,37011.7784843,1,1,0,44.2480004588
31,0.00266860899823,75414,75414,0.679993507899,0.0343713909388,0.0483362901927,5.79530050025e-12,1.03335225526e-11,2433,1,0,17357.0490422,11.8422908783,27814,0,0,0.3242694199,0.999702075119,0,0.1,0,0,37199.8260074,1,1,0,27.903661333
32,0.00264396571086,75415,75415,0.680002524706,-0.0254143029451,0.0483362901927,3.00153112903e-12,8.31448662057e-12,2435,1,0,17631.1945419,13.1382079124,26592,0,0,0.318254080073,0.999702075119,0,0.1,0,0,36218.8960255,1,1,0,28.1968120839
33,0.00266916038864,75414,75414,0.679993507899,0.0249769538641,0.0483362901927,5.28005580406e-12,1.03562186558e-11,2434,1,0,17566.5695829,11.6359591484,27748,0,0,0.324204452267,0.999702075119,0,0.1,0,0,37242.2870091,1,1,0,27.9580453336
34,0.00264367994324,75415,75415,0.680002524706,-0.0264812260866,0.0483362901927,3.03143761657e-12,8.27525462748e-12,2434,1,0,17503.0741253,15.4293336868,26491,0,0,0.318145259163,0.999702075119,0,0.1,0,0,36232.1294708,1,1,0,27.9501129594
35,0.00266896302813,75414,75414,0.679993507899,0.0251170247793,0.0483362901927,5.25881946926e-12,1.0314367577e-11,2431,1,0,17521.0577912,11.8497920036,27674,0,0,0.32078100624,0.999477111722,0,0.1,0,0,37246.8268215,1,1,0,44.5687285
