gap,sub,n,ref_below_a,ref_below_b,subspace_change,rho_L2_change
iter20->30,4,3300,7,7,0.00013,0.02031
iter20->30,6,2970,0,0,0.00011,0.02031
iter20->30,8,3630,7,7,0.00019,0.02031
iter20->30,10,3630,6,6,0.00000,0.02031
iter20->30,12,2700,0,0,0.00005,0.02031
iter20->30,14,3300,7,7,0.00030,0.02031
iter20->30,16,3300,7,7,0.00012,0.02031
iter20->30,18,2970,6,5,0.99998,0.02031
iter20->30,20,3630,6,6,0.00000,0.02031
iter20->30,22,3630,6,6,0.00001,0.02031
iter20->30,24,3267,6,6,0.00001,0.02031
iter20->30,26,3993,6,6,0.00000,0.02031
iter20->30,28,3993,6,6,0.00001,0.02031
iter20->30,30,2970,5,6,0.99992,0.02031
iter20->30,32,3630,6,6,0.00000,0.02031
iter20->30,34,3630,6,6,0.00000,0.02031
iter20->30,36,2970,0,0,0.00000,0.02031
iter20->30,38,3630,11,12,0.00024,0.02031
iter20->30,40,3630,6,6,0.00000,0.02031
iter20->30,42,3267,0,0,0.00000,0.02031
iter20->30,44,3993,6,6,0.00001,0.02031
iter20->30,46,3993,6,6,0.00000,0.02031
iter20->30,48,2970,0,0,0.00000,0.02031
iter20->30,50,3630,11,12,0.00031,0.02031
iter20->30,52,3630,6,6,0.00000,0.02031
iter20->30,54,2970,0,0,0.00000,0.02031
iter20->30,56,3630,6,6,0.00000,0.02031
iter20->30,58,3630,6,6,0.00000,0.02031
iter20->30,60,3267,0,0,0.00000,0.02031
iter20->30,62,3993,6,6,0.00000,0.02031
iter20->30,64,3993,6,6,0.00000,0.02031
iter20->30,66,2970,0,0,0.00000,0.02031
iter20->30,68,3630,6,6,0.00000,0.02031
iter20->30,70,3630,6,6,0.00000,0.02031
iter20->30,72,2970,1,2,0.00070,0.02031
iter20->30,74,3630,6,6,0.00000,0.02031
iter20->30,76,3630,6,6,0.00000,0.02031
iter20->30,78,3267,1,1,0.00004,0.02031
iter20->30,80,3993,6,6,0.00000,0.02031
iter20->30,82,3993,7,7,0.00006,0.02031
iter20->30,84,2970,1,2,0.00069,0.02031
iter20->30,86,3630,6,6,0.00000,0.02031
