field,printed_voxels,achieved_vf,fractional_samples,max_von_mises_mpa,margin_worst_case,margin_effective,accepted,min_feature_violations,load_path_connected,frozen_solid_below_iso,frozen_solid_total,frozen_void_above_iso,frozen_restored,mass_grams
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/N1_c4_norefit/snap/it0060,75414,0.679993507899,13318,0.0504776374791,1089.59140615,225.613839142,1,516,1,0,40216,0,0,463.749291647
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/P1_c1/snap/it0001,75415,0.680002524706,70109,0.0875223941606,628.410597396,130.120453076,1,4814,1,0,40216,0,0,465.040592812
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/P1_c1/snap/it0010,75414,0.679993507899,64032,0.04348543405,1264.79133074,261.891224758,1,4365,1,0,40216,0,0,464.2412159
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/P1_c1/snap/it0020,75414,0.679993507899,26986,0.0662484473132,830.208136652,171.905215056,1,1374,1,0,40216,0,0,463.780036913
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/P1_c1/snap/it0030,75415,0.680002524706,17324,0.029953279777,1836.19291141,380.207231637,1,1022,1,0,40216,0,0,463.761589753
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/P1_c1/snap/it0040,75415,0.680002524706,17968,0.0223392615584,2462.03303794,509.795435838,1,882,1,0,40216,0,0,463.749291647
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/P1_c1/snap/it0050,75415,0.680002524706,18704,0.0200606461122,2741.68636904,567.701235482,1,891,1,0,40216,0,0,463.767738806
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/P1_c1/snap/it0060,75414,0.679993507899,19047,0.0181634945036,3028.05167745,626.996835891,1,926,1,0,40216,0,0,463.736993541
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/P2_c2/snap/it0001,75415,0.680002524706,70109,0.0875223941606,628.410597396,130.120453076,1,4814,1,0,40216,0,0,465.040592812
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/P2_c2/snap/it0010,75415,0.680002524706,64342,0.0579196827093,949.590837298,196.624930417,1,4530,1,0,40216,0,0,464.001402827
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/P2_c2/snap/it0020,75415,0.680002524706,23447,0.109798198029,500.918967589,103.721680199,1,1217,1,0,40216,0,0,463.7554407
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/P2_c2/snap/it0030,75415,0.680002524706,12755,0.0528306281004,1041.06276941,215.565364107,1,928,1,0,40216,0,0,463.749291647
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/P2_c2/snap/it0040,75415,0.680002524706,13097,0.0354297700299,1552.36683596,321.437411895,1,744,1,0,40216,0,0,463.749291647
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/P2_c2/snap/it0050,75414,0.679993507899,13348,0.0303805148782,1810.37089794,374.860453423,1,630,1,0,40216,0,0,463.7554407
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/P2_c2/snap/it0060,75414,0.679993507899,13186,0.0260040188635,2115.05768738,437.949750853,1,609,1,0,40216,0,0,463.743142594
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/P3_c4/snap/it0001,75415,0.680002524706,70109,0.0875223941606,628.410597396,130.120453076,1,4814,1,0,40216,0,0,465.040592812
/Users/nadim/dev/TopOpt/TopOpt/.claude/worktrees/lattice-page-core-hookup-bf5ecc/evidence/2026-08-11-plsm-minimise-extra-surface/arms/P3_c4/snap/it0010,75415,0.680002524706,64929,0.060971387957,902.062456554,186.783571181,1,4571,1,0,40216,0,0,463.946061348
