rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction
1,27,1785147455467,9.153679301,0.009230,0,27,1,0,1,27,0,0,1.000000
1,28,1785147455801,9.076757672,0.009231,0,27,1,0,1,27,0,0,1.000000
1,29,1785147456109,9.019509199,0.009232,0,22,1,0,1,22,0,0,1.000000
1,30,1785147456425,8.978658957,0.009233,0,24,1,0,1,24,0,0,1.000000
1,31,1785147456849,8.94296289,0.009233,0,27,1,0,1,27,0,0,1.000000
1,32,1785147457184,8.909854635,0.009234,0,26,1,0,1,26,0,0,1.000000
1,33,1785147457538,8.879927172,0.009234,0,27,1,0,1,27,0,0,1.000000
1,34,1785147457880,8.858700283,0.009235,0,27,1,0,1,27,0,0,1.000000
1,35,1785147458213,8.839643723,0.009235,0,27,1,0,1,27,0,0,1.000000
1,36,1785147458531,8.820735686,0.009235,0,24,1,0,1,24,0,0,1.000000
1,37,1785147458851,8.802757426,0.009235,0,24,1,0,1,24,0,0,1.000000
1,38,1785147459257,8.787416556,0.009236,0,22,1,0,1,22,0,0,1.000000
1,39,1785147459563,8.775967939,0.009236,0,22,1,0,1,22,0,0,1.000000
1,40,1785147459895,8.768964308,0.009236,0,24,1,0,1,24,0,0,1.000000
1,41,1785147460225,8.763115977,0.009236,0,26,1,0,1,26,0,0,1.000000
1,42,1785147460542,8.756424722,0.009236,0,22,1,0,1,22,0,0,1.000000
1,43,1785147460867,8.749438695,0.009236,0,25,1,0,1,25,0,0,1.000000
1,44,1785147461181,8.743849935,0.009236,0,24,1,0,1,24,0,0,1.000000
1,45,1785147461506,8.738576035,0.009236,0,25,1,0,1,25,0,0,1.000000
1,46,1785147461860,8.734339188,0.009236,0,27,1,0,1,27,0,0,1.000000
1,47,1785147462217,8.731021045,0.009236,0,22,1,0,1,22,0,0,1.000000
1,48,1785147462523,8.728149327,0.009236,0,22,1,0,1,22,0,0,1.000000
1,49,1785147462839,8.725386134,0.009237,0,24,1,0,1,24,0,0,1.000000
1,50,1785147463167,8.723422164,0.009237,0,27,1,0,1,27,0,0,1.000000
1,51,1785147463519,8.722232859,0.009237,0,30,1,0,1,30,0,0,1.000000
1,52,1785147463873,8.72128196,0.009237,0,31,1,0,1,31,0,0,1.000000
1,53,1785147464250,8.720488725,0.009237,0,31,1,0,1,31,0,0,1.000000
1,54,1785147464600,8.719891665,0.009237,0,31,1,0,1,31,0,0,1.000000
1,55,1785147464966,8.71941785,0.009237,0,32,1,0,1,32,0,0,1.000000
1,56,1785147465325,8.719033048,0.009237,0,32,1,0,1,32,0,0,1.000000
1,57,1785147465733,8.718748934,0.009237,0,32,1,0,1,32,0,0,1.000000
1,58,1785147466097,8.718582805,0.009237,0,32,1,0,1,32,0,0,1.000000
1,59,1785147466459,8.718450765,0.009237,1,33,1,0,1,33,0,0,1.000000
