label,basis,knot_dx_vox,knot_dy_vox,knot_dz_vox,support_mult,support_rx_mm,support_ry_mm,support_rz_mm,lambda,knots_x,knots_y,knots_z,n_coeff,n_voxels,compression,nnz_A,cg_iters,cg_rel_resid,resid_band_rms_vox,resid_band_rms_mm,resid_all_rms_vox,resid_all_max_vox,inside_asfit,inside_src,offset_vox,offset_mm,fit_wall_s
W4,wendland,4,4,4,2,13.6422344211,13.6422344211,13.6422344211,1e-06,36,12,34,14688,468224,31.8779956427,15367904,824,9.63858628432e-11,0.324976834093,0.554176269014,0.190024040108,1.62521978665,75652,75417,0.00860844316034,0.0146797999492,9.360441125
G2,gaussian,2,2,2,2,6.82111721054,6.82111721054,6.82111721054,1e-06,68,20,63,85680,468224,5.46479925303,14665984,2000,2.15962173714e-07,0.125990336656,0.214848713432,0.0668066821828,0.729598839992,75675,75417,0.0430892791867,0.0734792559625,16.7475157091
