iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,iteration_wall_s
17,0.00239689292254,88423,88423,0.79729315444,0.00303761922608,0.0483362901927,2.06894865424e-11,2.29987814016e-12,2426,1,0,18970.2373748,25.9702920914,6044,0,0,0.101480142215,0.937235369158,0,0.1,0,0,9223.67089725,1,1,0,0,0,9,9,0,0,11,0,0,0,-2,0,0,19.3763033752
18,0.00239590611286,88423,88423,0.79729315444,0.000363420627614,0.0483362901927,1.9644790207e-11,2.22356290852e-12,2421,1,0,18746.7197919,13.115375042,6142,0,0,0.10668693356,0.912334120511,0,0.1,0,0,9304.93286652,1,1,0,0,0,9,9,0,0,11,0,0,0,0,0,0,19.0181857077
19,0.00239514644948,88423,88423,0.79729315444,0.00254380748464,0.0483362901927,1.67290486221e-11,2.18663754321e-12,2427,1,0,18180.0281672,13.2916250229,6308,0,0,0.113917698378,0.89821229806,0,0.1,0,0,9410.35079241,1,1,0,0,0,10,8,0,2,11,0,0,0,1,0,0,18.38733275
20,0.00239451498202,88423,88423,0.79729315444,0.0031649178376,0.0483362901927,1.30604376769e-11,2.12429465071e-12,2430,1,0,18004.748167,12.5337910652,6412,0,0,0.0998492885626,0.851184497016,0,0.1,0,0,9520.14480062,1,1,0,0,0,10,8,0,2,11,0,0,0,0,0,0,29.46931725
21,0.00239392931627,88424,88424,0.797302171247,0.00212836582627,0.0483362901927,1.46149255917e-11,2.10388921803e-12,2441,1,0,17767.7189174,12.2782077789,6240,0,0,0.10067606726,0.857531252405,0,0.1,0,0,9527.13769992,1,1,0,0,0,10,8,0,2,11,0,0,0,0,0,0,17.9145367923
22,0.00239344134109,88423,88423,0.79729315444,0.00231522000326,0.0483362901927,1.61376098009e-11,2.05123266009e-12,2441,1,0,18843.6719999,11.5345420837,6336,0,0,0.103052886396,0.858007890696,0,0.1,0,0,9608.75098525,1,1,0,0,0,10,7,0,3,11,0,0,0,0,0,0,18.9789590421
23,0.00239279814379,88424,88424,0.797302171247,-0.00149108263101,0.0483362901927,1.54638110514e-11,2.02050510061e-12,2445,1,0,18511.8761253,12.9640407562,6495,0,0,0.109355747974,0.937097773131,0,0.1,0,0,9706.29342245,1,1,0,0,0,11,6,0,5,11,0,0,0,1,0,0,18.7222490842
24,0.00239243991769,88423,88423,0.79729315444,0.00251676668976,0.0483362901927,1.32970759681e-11,1.98756961513e-12,2448,1,0,17488.7550411,11.7792496681,6565,0,0,0.118138394383,0.916952518622,0,0.1,0,0,9813.45721064,1,1,0,0,0,11,5,0,6,11,0,0,0,0,0,0,17.6275303341
25,0.00239184986368,88423,88423,0.79729315444,-0.00190652888171,0.0483362901927,1.00857714261e-11,1.96350087603e-12,2447,1,0,17591.0644999,11.6775417328,6759,0,0,0.103724981438,0.878173083239,0,0.1,0,0,9929.74452748,1,1,0,0,0,11,6,0,5,11,0,0,0,0,0,0,28.6564259999
26,0.00239168612238,88423,88423,0.79729315444,0.00217367206813,0.0483362901927,8.12631807231e-12,1.95574727019e-12,2460,1,0,17666.598958,12.1407089233,6462,0,0,0.104709043055,0.881672248062,0,0.1,0,0,9926.22478614,1,1,0,0,0,10,3,0,7,11,0,0,0,-1,0,0,17.9464699998
27,0.00239111689571,88423,88423,0.79729315444,-0.00350122348146,0.0483362901927,8.48594540327e-12,1.91112767202e-12,2452,1,0,17906.5892091,12.3857502937,6592,0,0,0.108194120064,0.879613916857,0,0.1,0,0,10014.2830338,1,1,0,0,0,12,5,0,7,11,0,0,0,2,0,0,18.1452872078
28,0.00239077445755,88423,88423,0.79729315444,-0.000119516722871,0.0483362901927,9.79629566846e-12,1.89164639861e-12,2453,1,0,17610.4848328,11.6844172478,6710,0,0,0.11589550503,0.876436994846,0,0.1,0,0,10106.7626363,1,1,0,0,0,12,6,0,6,12,0,0,1,-1,0,0,17.7576738331
29,0.00239051665569,88423,88423,0.79729315444,0.00108367183187,0.0483362901927,9.69518673904e-12,1.87011579673e-12,2441,1,0,17625.6257081,12.5700001717,6883,0,0,0.125929091514,0.916326991972,0,0.1,0,0,10213.1898668,1,1,0,0,0,13,7,0,6,12,0,0,0,1,0,0,17.8136958331
30,0.00239014975213,88423,88423,0.79729315444,-0.00147165225746,0.0483362901927,8.55622574527e-12,1.85407372362e-12,2441,1,0,17563.319458,12.0622501373,7057,0,0,0.106908159163,0.934855909828,0,0.1,0,0,10326.7265274,1,1,0,0,0,12,6,0,6,12,0,0,0,-1,0,0,28.342023917
31,0.00239011867314,88424,88424,0.797302171247,0.000962408440965,0.0483362901927,5.63181136941e-12,1.86004402108e-12,2441,1,0,17554.0869169,12.0580000877,6725,0,0,0.107661097541,0.930541265038,0,0.1,0,0,10302.1444325,1,1,0,0,0,13,6,0,7,12,0,0,0,1,0,0,17.6917611249
