vf,status,printed,solid,ng,nc6,nc26,largest_pct,small_comps,raw_k,k,setup_mv,mem_mb,iters_base,iters_mf,iters_defl,cut_pct,lmin_base,lmax_base,kappa_base,lmin_defl,lmax_defl,kappa_defl
0.68,accepted,318,7680,27045,1,1,100.00,0,6,6,6,1.24,721,720,626,13.18,2.536199e-05,4.005473e+00,157932.08,1.883176e-04,4.005473e+00,21269.77
0.52,accepted,237,7680,27045,1,1,100.00,0,6,6,6,1.24,789,788,670,15.08,1.534608e-05,4.007078e+00,261114.19,1.656383e-04,4.007079e+00,24191.75
0.38,rejected,157,7680,27045,1,1,100.00,0,6,6,6,1.24,986,985,872,11.56,5.151491e-06,4.238388e+00,822749.83,8.550765e-05,4.238391e+00,49567.39
