tag,rung,iter,compliance,change,beta,move,osc_fraction,plateau
fixed,0,1,15.809103,0.1998,0,0.2,-1,0
fixed,0,2,11.191759,0.1998,0,0.2,-1,0
fixed,0,3,8.1137755,0.1998,0,0.2,-1,0
fixed,0,4,7.0506213,0.1998,0,0.2,-1,0
fixed,0,5,6.5865161,0.1998,0,0.2,-1,0
fixed,0,6,6.4111727,0.1998,0,0.2,-1,0
fixed,0,7,6.3228348,0.193849,0,0.2,-1,0
fixed,0,8,6.2782233,0.1998,0,0.2,-1,0
fixed,0,9,6.2539254,0.179435,0,0.2,-1,0
fixed,0,10,6.2291084,0.18263,0,0.2,-1,0
fixed,0,11,6.2019609,0.1998,0,0.2,-1,0
fixed,0,12,6.1699197,0.1998,0,0.2,-1,0
fixed,0,13,6.134444,0.1998,0,0.2,-1,0
fixed,0,14,6.0997213,0.1998,0,0.2,-1,0
fixed,0,15,6.065938,0.1998,0,0.2,-1,0
fixed,0,16,6.033445,0.1998,0,0.2,-1,0
fixed,0,17,6.0035387,0.1998,0,0.2,-1,0
fixed,0,18,5.9790785,0.1998,0,0.2,-1,0
fixed,0,19,5.9605027,0.1998,0,0.2,-1,0
fixed,0,20,5.9473663,0.1998,0,0.2,-1,0
fixed,0,21,5.9393126,0.1998,0,0.2,-1,0
fixed,0,22,5.9331553,0.1998,0,0.2,-1,0
fixed,0,23,5.9280714,0.1998,0,0.2,-1,0
fixed,0,24,5.9231698,0.1998,0,0.2,-1,0
fixed,0,25,5.9187917,0.1998,0,0.2,-1,0
fixed,0,26,5.915163,0.1998,0,0.2,-1,0
fixed,0,27,5.9123671,0.1998,0,0.2,-1,0
fixed,0,28,5.9102109,0.1998,0,0.2,-1,0
fixed,0,29,5.9087816,0.1998,0,0.2,-1,0
fixed,0,30,5.90737,0.1998,0,0.2,-1,0
fixed,0,31,5.9058707,0.1998,0,0.2,-1,0
fixed,0,32,5.9044519,0.1998,0,0.2,-1,0
fixed,0,33,5.9028507,0.1998,0,0.2,-1,0
fixed,0,34,5.9015161,0.1998,0,0.2,-1,0
fixed,0,35,5.9004141,0.1998,0,0.2,-1,0
fixed,0,36,5.8996375,0.1998,0,0.2,-1,0
fixed,0,37,5.8989183,0.1998,0,0.2,-1,0
fixed,0,38,5.898178,0.1998,0,0.2,-1,0
fixed,0,39,5.8973764,0.1998,0,0.2,-1,0
fixed,0,40,5.8964571,0.1998,0,0.2,-1,0
fixed,0,41,5.8953981,0.1998,0,0.2,-1,0
fixed,0,42,5.8941981,0.1998,0,0.2,-1,0
fixed,0,43,5.8929969,0.1998,0,0.2,-1,0
fixed,0,44,5.8917706,0.1998,0,0.2,-1,0
fixed,0,45,5.8906842,0.1998,0,0.2,-1,0
fixed,0,46,5.8900025,0.1998,0,0.2,-1,0
fixed,0,47,5.8893691,0.1998,0,0.2,-1,0
fixed,0,48,5.8887666,0.1998,0,0.2,-1,0
fixed,0,49,5.8881197,0.1998,0,0.2,-1,0
fixed,0,50,5.887486,0.1998,0,0.2,-1,0
fixed,0,51,5.8868364,0.1998,0,0.2,-1,0
fixed,0,52,5.8861976,0.1998,0,0.2,-1,0
fixed,0,53,5.8855628,0.1998,0,0.2,-1,0
fixed,0,54,5.8849284,0.1998,0,0.2,-1,0
fixed,0,55,5.8843378,0.1998,0,0.2,-1,0
fixed,0,56,5.8837745,0.1998,0,0.2,-1,0
fixed,0,57,5.8832395,0.1998,0,0.2,-1,0
fixed,0,58,5.8826388,0.1998,0,0.2,-1,0
fixed,0,59,5.8820509,0.1998,0,0.2,-1,0
fixed,0,60,5.8814968,0.1998,0,0.2,-1,0
fixed,0,61,5.8809523,0.1998,0,0.2,-1,1
fixed,0,62,6.366446,0.1998,1,0.2,-1,0
fixed,0,63,6.1199534,0.14183,1,0.2,-1,0
fixed,0,64,5.9664285,0.139116,1,0.2,-1,0
fixed,0,65,5.902515,0.136381,1,0.2,-1,0
