label,basis,knot_dx_vox,knot_dy_vox,knot_dz_vox,support_mult,support_rx_mm,support_ry_mm,support_rz_mm,lambda,knots_x,knots_y,knots_z,n_coeff,n_voxels,compression,nnz_A,cg_iters,cg_rel_resid,resid_band_rms_vox,resid_band_rms_mm,resid_all_rms_vox,resid_all_max_vox,inside_asfit,inside_src,offset_vox,offset_mm,fit_wall_s
W2,wendland,2,2,2,2,6.82111721054,6.82111721054,6.82111721054,1e-06,68,20,63,85680,468224,5.46479925303,14665984,1099,9.94054454651e-11,0.170578482903,0.29088395637,0.11401896485,1.06362913648,75810,74856,0.0829956930625,0.141530837587,10.8238345422
W4,wendland,4,4,4,2,13.6422344211,13.6422344211,13.6422344211,1e-06,36,12,34,14688,468224,31.8779956427,15367904,840,9.80557967166e-11,0.37143136243,0.633394214701,0.212924546026,2.23479587316,75818,74856,0.0299275498659,0.0510348313648,9.7757414584
G2,gaussian,2,2,2,2,6.82111721054,6.82111721054,6.82111721054,1e-06,68,20,63,85680,468224,5.46479925303,14665984,2000,2.64904136651e-07,0.154545842389,0.263543826334,0.0810479075642,1.07167616689,75633,74856,0.0784484542831,0.133776525413,17.880842125
A424,wendland,4,2,4,2,13.6422344211,6.82111721054,13.6422344211,1e-06,36,20,34,24480,468224,19.1267973856,15049536,870,9.55951108767e-11,0.30047645299,0.512396276212,0.177643231812,1.83930597439,76446,74856,0.0644505917272,0.109906260115,9.54180529201
