run,iteration,compliance,cg_iterations,used_multigrid,geneo_action,geneo_dim,solve_ms,sensitivity_ms,total_ms,matvecs
multiscale,1,72253.11132,11,1,0,0,448.3340,9.5102,480.8386,44
multiscale,2,44247.19487,11,1,0,0,451.7176,9.7655,475.7601,44
multiscale,3,34776.16031,12,1,0,0,540.3405,11.3568,565.1407,48
multiscale,4,29598.47832,12,1,0,0,465.5099,9.5246,487.3386,48
multiscale,5,27901.08565,13,1,0,0,461.2696,9.5252,483.1490,52
multiscale,6,27217.4281,13,1,0,0,492.5561,10.9429,516.1008,52
multiscale,7,26639.2233,14,1,0,0,477.6028,9.5973,499.5644,56
multiscale,8,26058.84743,14,1,0,0,475.4216,9.3710,497.3591,56
multiscale,9,25525.476,14,1,0,0,502.9794,9.8472,525.8312,56
multiscale,10,25132.92084,14,1,0,0,501.1849,9.5306,523.7300,56
multiscale,11,24837.54249,15,1,0,0,522.5418,9.4470,544.9788,60
multiscale,12,24603.81022,15,1,0,0,528.7275,9.6816,551.2940,60
multiscale,13,24412.82588,15,1,0,0,496.5387,10.6221,520.3164,60
multiscale,14,24245.14376,15,1,0,0,491.2745,9.4015,512.8797,60
multiscale,15,24080.42696,16,1,0,0,514.3982,9.5297,536.6650,64
multiscale,16,23882.91538,16,1,0,0,494.6694,10.4334,518.2275,64
multiscale,17,23622.14398,16,1,0,0,503.9337,9.4539,525.7873,64
multiscale,18,23297.44892,16,1,0,0,515.4865,9.3829,538.1648,64
multiscale,19,22927.55623,16,1,0,0,507.0912,9.7971,530.7081,64
multiscale,20,22531.16564,16,1,0,0,654.4967,10.9870,679.8630,64
multiscale,21,22132.10478,16,1,0,0,593.0103,9.7643,615.9068,64
multiscale,22,21774.76157,16,1,0,0,607.0547,9.5832,628.7763,64
multiscale,23,21458.42976,17,1,0,0,513.3003,9.5765,535.1436,68
multiscale,24,21180.75745,17,1,0,0,507.0336,9.3858,528.7543,68
multiscale,25,20948.47644,17,1,0,0,529.6407,9.5902,554.0398,68
multiscale,26,20761.02001,17,1,0,0,512.2356,9.3982,533.9990,68
multiscale,27,20599.42855,17,1,0,0,511.5143,9.7679,534.9460,68
multiscale,28,20453.38644,17,1,0,0,517.9882,9.3605,539.5877,68
multiscale,29,20325.4703,17,1,0,0,569.2204,9.6354,591.5785,68
multiscale,30,20208.58247,17,1,0,0,518.2133,9.2188,540.0393,68
multiscale,31,20094.63791,17,1,0,0,507.7760,9.3087,529.5553,68
multiscale,32,19980.30787,17,1,0,0,514.9587,9.5395,537.6440,68
multiscale,33,19868.39001,17,1,0,0,614.9037,16.9680,644.3725,68
multiscale,34,19762.37284,17,1,0,0,632.4962,10.4463,656.7396,68
multiscale,35,19665.1548,17,1,0,0,654.3290,9.5699,678.3338,68
multiscale,36,19579.44449,17,1,0,0,575.7712,9.6595,597.2403,68
multiscale,37,19504.27101,17,1,0,0,573.9914,10.9796,596.6193,68
multiscale,38,19438.50624,17,1,0,0,582.0275,9.4975,603.5595,68
multiscale,39,19380.88271,17,1,0,0,566.7389,9.4975,588.6442,68
multiscale,40,19330.93099,17,1,0,0,798.7165,9.3068,820.1599,68
