angle_deg,radius_mm
35.9219,19.9478
142.31,20.1623
37.6922,20.1591
140.61,20.2687
138.974,20.2525
137.381,20.1861
41.0195,20.2286
42.621,20.1804
39.388,20.2542
135.777,20.1407
44.2003,20.1192
134.18,20.1263
132.613,20.1796
131.013,20.2528
47.3536,20.2076
48.984,20.2575
45.7752,20.132
129.399,20.2602
50.5985,20.2711
127.717,20.1629
125.93,19.9469
124.1,19.7102
122.313,19.5708
120.57,19.5646
57.6605,19.5704
59.3859,19.5702
55.8967,19.693
54.0736,19.9252
52.2886,20.1538
61.035,19.6362
117.193,19.6575
115.367,19.6016
113.461,19.52
111.62,19.5166
109.96,19.6448
68.3199,19.5229
70.0236,19.6448
66.4888,19.5274
64.5788,19.6107
62.743,19.6658
108.464,19.8699
71.525,19.8614
106.908,20.0562
105.16,20.1213
103.13,20.0425
100.849,19.8721
98.4307,19.6878
95.988,19.544
93.5767,19.4571
91.1976,19.4191
88.8265,19.4199
86.4378,19.46
84.0139,19.5499
81.5608,19.6962
79.1332,19.8812
76.8394,20.0498
74.7973,20.1247
73.0533,20.0543
-62.7676,19.6718
-45.7882,20.137
-28.968,19.6491
160.006,19.6449
149.388,19.5711
139.011,20.257
132.574,20.1852
122.281,19.5803
111.632,19.5198
