angle_deg,radius_mm
-108.554,19.9263
-107.155,20.1861
-105.242,20.1724
-102.964,19.9919
-100.621,19.7929
-98.2902,19.644
-95.9445,19.5436
-93.576,19.4783
-91.1935,19.445
-88.8064,19.445
-86.4235,19.4783
-84.0545,19.5438
-81.7088,19.6446
-79.3785,19.7938
-77.0355,19.9928
-74.7576,20.1728
-72.8467,20.1857
-71.4445,19.9273
-109.808,19.5203
-70.1915,19.521
-119.022,19.7522
-117.501,19.9024
-115.56,19.7308
-113.309,19.4248
-111.291,19.3029
-68.7101,19.3037
-66.6917,19.4255
-64.4412,19.7311
-62.5009,19.9021
-60.9778,19.7525
-120.484,19.4348
-59.5226,19.4321
-129.352,20.2648
-127.784,20.2914
-126.003,20.0078
-123.986,19.5688
-122.075,19.318
-57.9397,19.3105
-56.0326,19.557
-54.0128,19.9995
-52.2048,20.2986
-50.6504,20.2536
-130.919,20.0659
-49.084,20.0636
-135.815,20.0977
-134.188,20.092
-132.524,20.0114
-47.4576,20.0138
-45.7993,20.0979
-44.1921,20.0938
-137.48,20.0192
-42.5228,20.0126
-142.227,20.2988
-140.673,20.2532
-139.092,20.069
-40.9166,20.0669
-39.3265,20.2648
-37.76,20.2919
-144.015,20
-35.9846,19.9996
-146.032,19.5566
-33.9719,19.5578
-147.94,19.3098
-32.0623,19.3101
-152.499,19.902
-150.977,19.7524
-149.523,19.4318
-30.4771,19.431
-29.025,19.7515
-27.5026,19.9025
-154.44,19.7308
-25.5605,19.7312
-156.692,19.4252
-23.3095,19.4255
-158.71,19.3032
-21.2908,19.3036
-162.845,20.1857
-161.444,19.9271
-160.192,19.5207
-19.8091,19.521
-18.5562,19.9263
-17.1557,20.1858
-164.757,20.1727
-15.2427,20.1727
-167.035,19.9928
-12.9639,19.9927
-169.378,19.7938
-10.6211,19.7937
-171.709,19.6446
-8.29098,19.6446
-174.054,19.5438
-5.94536,19.5439
-176.423,19.4783
-3.57642,19.4783
-178.806,19.445
-1.19346,19.445
178.806,19.445
1.19371,19.445
176.424,19.4783
3.57616,19.4782
174.056,19.5436
5.94431,19.5435
171.71,19.644
8.28946,19.6439
169.379,19.7929
10.6192,19.7928
167.036,19.9919
12.9612,19.9918
164.758,20.1723
15.2391,20.1722
162.845,20.1861
17.1526,20.186
161.444,19.9267
160.193,19.5194
158.709,19.3027
19.8089,19.521
21.2879,19.3028
18.5553,19.9272
156.69,19.425
23.3069,19.4247
154.44,19.731
25.557,19.7306
152.499,19.9028
27.4981,19.9022
150.977,19.752
149.516,19.4338
147.925,19.3177
30.476,19.4316
32.0776,19.3191
29.0204,19.7522
146.014,19.569
33.9978,19.572
143.999,20.0083
36.0267,20.0133
142.215,20.291
37.816,20.2968
140.673,20.2615
139.093,20.0785
137.477,20.0127
40.9134,20.0632
42.5413,20.0127
39.35,20.2535
135.809,20.091
44.1887,20.0924
134.184,20.0911
132.519,20.0177
130.909,20.0689
47.479,20.0129
49.1053,20.0792
45.8128,20.0942
129.325,20.2532
50.699,20.2609
127.791,20.2969
126.015,20.0136
123.997,19.572
122.079,19.3188
120.476,19.4315
57.9378,19.3101
59.5216,19.43
56.0276,19.5574
54.012,19.9991
52.2394,20.2919
119.024,19.7525
60.9751,19.7518
117.501,19.9026
115.559,19.7308
113.308,19.4246
111.288,19.3022
109.808,19.5208
68.709,19.3034
70.1901,19.5199
66.6905,19.4253
64.4397,19.7311
62.4977,19.9024
108.557,19.9272
71.4423,19.9265
107.154,20.1859
105.241,20.1721
102.962,19.9917
100.62,19.7928
98.2895,19.6439
95.9443,19.5436
93.5761,19.4782
91.1937,19.445
88.8065,19.445
86.4236,19.4783
84.0546,19.5438
81.709,19.6446
79.379,19.7938
77.0363,19.9927
74.7577,20.1728
72.8442,20.1859
-108.556,19.9271
-107.155,20.1856
-105.243,20.1727
-102.964,19.9928
-100.621,19.7938
-98.2912,19.6446
-95.9455,19.5438
-93.5765,19.4783
-91.1936,19.445
-88.8065,19.445
-86.4239,19.4782
-84.0555,19.5436
-81.7098,19.644
-79.3792,19.7929
-77.0362,19.9919
-74.7578,20.1723
-72.8451,20.1861
-71.4441,19.9267
-109.808,19.5207
-70.1929,19.5194
-119.023,19.7524
-117.501,19.9019
-115.56,19.7308
-113.308,19.4252
-111.29,19.3032
-68.7093,19.3027
-66.6904,19.425
-64.4399,19.731
-62.4988,19.9028
-60.9772,19.7521
-120.478,19.4317
-59.5168,19.4341
-129.328,20.2533
-127.772,20.3002
-125.986,19.9998
-123.969,19.5565
-122.061,19.3099
-57.9257,19.3179
-56.0155,19.5691
-54.0007,20.0084
-52.2167,20.2912
-50.6724,20.262
-130.909,20.069
-49.0905,20.0796
-135.814,20.0921
-134.187,20.0975
-132.522,20.0191
-47.4788,20.0123
-45.8091,20.0909
-44.1843,20.0913
-137.477,20.0113
-42.5208,20.0179
-142.217,20.2914
-140.647,20.2661
-139.081,20.0657
-40.911,20.0692
-39.3276,20.2534
-37.7918,20.2979
-143.998,20.0077
-36.0141,20.0154
-146.016,19.5684
-33.9968,19.573
-147.927,19.3179
-32.0797,19.3186
-152.499,19.9024
-150.978,19.7522
-149.517,19.4349
-30.4759,19.4313
-29.0234,19.7525
-27.5007,19.9026
-154.44,19.7308
-25.5589,19.7307
-156.691,19.4248
-23.3082,19.4244
-158.709,19.3029
-21.2879,19.3021
-162.845,20.1861
-161.446,19.9262
-160.192,19.5203
