variant,face_id,vertices,before_max_abs,before_rms,after_max_abs,after_rms
variant_052.stl,50,422,0.783391,0.614735,3.2324e-15,3.12298e-15
variant_052.stl,51,444,1.60032,0.577608,1.0101e-14,5.79012e-15
variant_052.stl,52,11,1.40858,0.623727,2.53374e-15,2.50795e-15
variant_052.stl,55,73,1.24147,1.14772,6.66232e-15,5.61693e-15
variant_052.stl,73,416,0.854472,0.708771,6.65774e-16,6.21891e-16
variant_052.stl,74,191,1.195,0.816353,9.1547e-15,3.70394e-15
variant_068.stl,0,40,0.602885,0.580109,0,0
variant_068.stl,2,16282,1.68911,0.423828,0,0
variant_068.stl,3,2389,1.64642,0.538478,0,0
variant_068.stl,5,13,1.55293,1.30445,1.08216e-14,4.22563e-15
variant_068.stl,6,11,1.15845,0.83868,5.05488e-15,4.77867e-15
variant_068.stl,8,27,1.15839,0.798181,1.01713e-16,5.31413e-17
variant_068.stl,10,32,1.59896,1.21958,0,0
variant_068.stl,11,17,1.63477,1.19079,4.33579e-17,1.79652e-17
variant_068.stl,12,4,1.31391,1.07889,9.53074e-15,6.21899e-15
variant_068.stl,14,10,1.47943,0.978733,0,0
variant_068.stl,15,8336,1.70463,0.673598,0,0
variant_068.stl,16,15600,1.23948,0.935323,0,0
variant_068.stl,18,13392,0.400645,0.399349,0,0
variant_068.stl,20,5269,1.38424,1.37373,0,0
variant_068.stl,24,5324,1.3364,1.32409,0,0
variant_068.stl,29,418,1.22855,0.869007,0,0
variant_068.stl,30,669,1.62273,0.538114,0,0
variant_068.stl,31,811,0.991841,0.973499,0,0
variant_068.stl,33,151,1.53668,0.856919,1.02648e-14,5.75813e-15
variant_068.stl,35,80,1.18748,0.968386,1.02344e-14,7.05299e-15
variant_068.stl,38,253,1.23596,0.763205,1.09321e-14,7.58156e-15
variant_068.stl,39,234,1.58803,1.15643,8.9739e-15,5.49559e-15
variant_068.stl,40,92,1.40102,1.01185,3.84984e-15,3.09224e-15
variant_068.stl,48,447,0.799332,0.63363,1.07725e-16,4.08748e-17
variant_068.stl,50,422,0.783391,0.614735,3.2324e-15,3.12298e-15
variant_068.stl,51,457,1.6971,0.569988,1.00856e-14,5.42069e-15
variant_068.stl,52,11,1.40858,0.623727,2.53374e-15,2.50795e-15
variant_068.stl,55,73,1.24147,1.14772,6.66232e-15,5.61693e-15
variant_068.stl,73,416,0.854472,0.708771,6.65774e-16,6.21891e-16
variant_068.stl,74,191,1.195,0.816353,9.1547e-15,3.70394e-15
