nx,ny,nz,min_phi_deg,mean_phi_deg,bin_0_10,bin_10_20,bin_20_30,bin_30_40,bin_40_50,bin_50_60,bin_60_70,bin_70_80,bin_80_90
-0.577350269,-0.577350269,-0.577350269,0.000000,27.367805,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000
0.000000000,-0.707106781,-0.707106781,0.000000,35.000000,0.166666667,0.000000000,0.666666667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.166666667
0.577350269,-0.577350269,-0.577350269,0.000000,27.367805,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000
-0.707106781,0.000000000,-0.707106781,0.000000,35.000000,0.166666667,0.000000000,0.666666667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.166666667
0.000000000,0.000000000,-1.000000000,0.000000,30.000000,0.333333333,0.000000000,0.000000000,0.000000000,0.666666667,0.000000000,0.000000000,0.000000000,0.000000000
0.707106781,0.000000000,-0.707106781,0.000000,35.000000,0.166666667,0.000000000,0.666666667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.166666667
-0.577350269,0.577350269,-0.577350269,0.000000,27.367805,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000
0.000000000,0.707106781,-0.707106781,0.000000,35.000000,0.166666667,0.000000000,0.666666667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.166666667
0.577350269,0.577350269,-0.577350269,0.000000,27.367805,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000
-0.707106781,-0.707106781,0.000000000,0.000000,35.000000,0.166666667,0.000000000,0.666666667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.166666667
0.000000000,-1.000000000,0.000000000,0.000000,30.000000,0.333333333,0.000000000,0.000000000,0.000000000,0.666666667,0.000000000,0.000000000,0.000000000,0.000000000
0.707106781,-0.707106781,0.000000000,0.000000,35.000000,0.166666667,0.000000000,0.666666667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.166666667
-1.000000000,0.000000000,0.000000000,0.000000,30.000000,0.333333333,0.000000000,0.000000000,0.000000000,0.666666667,0.000000000,0.000000000,0.000000000,0.000000000
1.000000000,0.000000000,0.000000000,0.000000,30.000000,0.333333333,0.000000000,0.000000000,0.000000000,0.666666667,0.000000000,0.000000000,0.000000000,0.000000000
-0.707106781,0.707106781,0.000000000,0.000000,35.000000,0.166666667,0.000000000,0.666666667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.166666667
0.000000000,1.000000000,0.000000000,0.000000,30.000000,0.333333333,0.000000000,0.000000000,0.000000000,0.666666667,0.000000000,0.000000000,0.000000000,0.000000000
0.707106781,0.707106781,0.000000000,0.000000,35.000000,0.166666667,0.000000000,0.666666667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.166666667
-0.577350269,-0.577350269,0.577350269,0.000000,27.367805,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000
0.000000000,-0.707106781,0.707106781,0.000000,35.000000,0.166666667,0.000000000,0.666666667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.166666667
0.577350269,-0.577350269,0.577350269,0.000000,27.367805,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000
-0.707106781,0.000000000,0.707106781,0.000000,35.000000,0.166666667,0.000000000,0.666666667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.166666667
0.000000000,0.000000000,1.000000000,0.000000,30.000000,0.333333333,0.000000000,0.000000000,0.000000000,0.666666667,0.000000000,0.000000000,0.000000000,0.000000000
0.707106781,0.000000000,0.707106781,0.000000,35.000000,0.166666667,0.000000000,0.666666667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.166666667
-0.577350269,0.577350269,0.577350269,0.000000,27.367805,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000
0.000000000,0.707106781,0.707106781,0.000000,35.000000,0.166666667,0.000000000,0.666666667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.166666667
0.577350269,0.577350269,0.577350269,0.000000,27.367805,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000
