case,nx,ny,nz,on_cube_axis,support_voxels,macro_il_tension_mpa,macro_il_margin,macro_worst_margin,strut_in_plane,strut_interlayer,strut_il_bound_mpa,il_cross_factor,horiz_len_frac,horiz_count_frac,min_phi_deg,mean_phi_deg,build_height_voxels,footprint_voxels,min_feature_violations
B,0.000000000,-0.707106781,-0.707106781,0,15,17.677892492,1.711176828,1.603818656,0.754249948,0.284613610,106.284446454,0.577350269,0.166666667,0.166666667,0.000000,35.000000,27,12,0
B,0.577350269,-0.577350269,-0.577350269,0,79,21.127994191,1.431749731,1.431749731,0.754249948,0.203861714,148.384899901,1.154700538,0.500000000,0.500000000,0.000000,27.367805,30,4,0
B,-0.707106781,0.000000000,-0.707106781,0,34,12.765585227,2.369652426,1.603818656,0.754249948,0.284613610,106.284446454,0.577350269,0.166666667,0.166666667,0.000000,35.000000,18,38,0
B,0.000000000,0.000000000,-1.000000000,1,0,4.940598477,6.122740016,1.603818656,0.754249948,0.471301310,64.183993007,0.000000000,0.333333333,0.333333333,0.000000,30.000000,6,440,0
B,0.707106781,0.000000000,-0.707106781,0,21,18.417953607,1.642419166,1.603818656,0.754249948,0.284613610,106.284446454,0.577350269,0.166666667,0.166666667,0.000000,35.000000,18,77,0
B,-0.577350269,0.577350269,-0.577350269,0,81,17.738074534,1.705371118,1.603818656,0.754249948,0.203861714,148.384899901,1.154700538,0.500000000,0.500000000,0.000000,27.367805,30,15,0
B,0.000000000,0.707106781,-0.707106781,0,13,11.900154297,2.541983847,1.603818656,0.754249948,0.284613610,106.284446454,0.577350269,0.166666667,0.166666667,0.000000,35.000000,27,22,0
B,0.577350269,0.577350269,-0.577350269,0,83,17.298528747,1.748703629,1.603818656,0.754249948,0.203861714,148.384899901,1.154700538,0.500000000,0.500000000,0.000000,27.367805,22,9,0
B,-0.707106781,-0.707106781,0.000000000,0,24,18.814136154,1.607833586,1.603818656,0.754249948,0.284613610,106.284446454,0.577350269,0.166666667,0.166666667,0.000000,35.000000,23,24,0
B,0.000000000,-1.000000000,0.000000000,1,42,11.912851916,2.539274408,1.603818656,0.754249948,0.471301310,64.183993007,0.000000000,0.333333333,0.333333333,0.000000,30.000000,32,48,0
B,0.707106781,-0.707106781,0.000000000,0,24,20.907144544,1.446873816,1.446873816,0.754249948,0.284613610,106.284446454,0.577350269,0.166666667,0.166666667,0.000000,35.000000,33,18,0
B,-1.000000000,0.000000000,0.000000000,1,150,18.411702660,1.642976783,1.603818656,0.754249948,0.471301310,64.183993007,0.000000000,0.333333333,0.333333333,0.000000,30.000000,19,156,0
B,1.000000000,0.000000000,0.000000000,1,72,18.411702660,1.642976783,1.603818656,0.754249948,0.471301310,64.183993007,0.000000000,0.333333333,0.333333333,0.000000,30.000000,19,312,0
B,-0.707106781,0.707106781,0.000000000,0,12,20.907144544,1.446873816,1.446873816,0.754249948,0.284613610,106.284446454,0.577350269,0.166666667,0.166666667,0.000000,35.000000,33,66,0
B,0.000000000,1.000000000,0.000000000,1,18,11.912851916,2.539274408,1.603818656,0.754249948,0.471301310,64.183993007,0.000000000,0.333333333,0.333333333,0.000000,30.000000,32,96,0
B,0.707106781,0.707106781,0.000000000,0,24,18.814136154,1.607833586,1.603818656,0.754249948,0.284613610,106.284446454,0.577350269,0.166666667,0.166666667,0.000000,35.000000,23,42,0
B,-0.577350269,-0.577350269,0.577350269,0,79,17.298528747,1.748703629,1.603818656,0.754249948,0.203861714,148.384899901,1.154700538,0.500000000,0.500000000,0.000000,27.367805,22,5,0
B,0.000000000,-0.707106781,0.707106781,0,15,11.900154297,2.541983847,1.603818656,0.754249948,0.284613610,106.284446454,0.577350269,0.166666667,0.166666667,0.000000,35.000000,27,12,0
B,0.577350269,-0.577350269,0.577350269,0,79,17.738074534,1.705371118,1.603818656,0.754249948,0.203861714,148.384899901,1.154700538,0.500000000,0.500000000,0.000000,27.367805,30,4,0
B,-0.707106781,0.000000000,0.707106781,0,34,18.417953607,1.642419166,1.603818656,0.754249948,0.284613610,106.284446454,0.577350269,0.166666667,0.166666667,0.000000,35.000000,18,38,0
B,0.000000000,0.000000000,1.000000000,1,0,4.940598477,6.122740016,1.603818656,0.754249948,0.471301310,64.183993007,0.000000000,0.333333333,0.333333333,0.000000,30.000000,6,440,0
B,0.707106781,0.000000000,0.707106781,0,21,12.765585227,2.369652426,1.603818656,0.754249948,0.284613610,106.284446454,0.577350269,0.166666667,0.166666667,0.000000,35.000000,18,77,0
B,-0.577350269,0.577350269,0.577350269,0,81,21.127994191,1.431749731,1.431749731,0.754249948,0.203861714,148.384899901,1.154700538,0.500000000,0.500000000,0.000000,27.367805,30,15,0
B,0.000000000,0.707106781,0.707106781,0,13,17.677892492,1.711176828,1.603818656,0.754249948,0.284613610,106.284446454,0.577350269,0.166666667,0.166666667,0.000000,35.000000,27,22,0
