source,C11,C12,C44,h,rel_err,integrator_bitmatch
octet,0.01058997142857143,0.0052431428571428577,0.0048157714285714292,0.5,1.930e-16,1
octet,37.064900000000002,18.350999999999999,16.8552,0.5,3.388e-16,1
octet,0.032336325008185098,0.015239395014369385,0.013570810385972572,0.5,2.625e-16,1
octet,113.17713752864783,53.337882550292846,47.497836350904002,0.5,3.072e-16,1
octet,0.061444939568766281,0.027142868802178779,0.023933575761653874,0.5,2.857e-16,1
octet,215.05728849068197,95.000040807625723,83.767515165788552,0.5,1.671e-16,1
octet,0.09917653131820818,0.040685625685816219,0.03605629887352161,0.5,3.646e-16,1
octet,347.11785961372863,142.39968990035675,126.19704605732564,0.5,2.133e-16,1
octet,0.14874314458659194,0.056525656438936499,0.050743602837639734,0.5,2.496e-16,1
octet,520.60100605307173,197.83979753627773,177.60260993173907,0.5,4.381e-16,1
octet,0.21172045629124972,0.075103533324881053,0.067793770939136383,0.5,3.596e-16,1
octet,741.02159701937398,262.86236663708365,237.27819828697733,0.5,2.104e-16,1
octet,0.28771876471541241,0.096807089690472858,0.08730537435061092,0.5,4.052e-16,1
octet,1007.0156765039434,338.82481391665499,305.56881022713821,0.5,2.371e-16,1
octet,0.38430490511524917,0.12680499934527398,0.11208127752752219,0.5,2.566e-16,1
octet,1345.0671679033719,443.81749770845886,392.28447134632762,0.5,2.402e-16,1
octet,0.50505358426993008,0.1705424673463867,0.14334678051026564,0.5,3.155e-16,1
octet,1767.687544944755,596.89863571235344,501.71373178592967,0.5,1.846e-16,1
octet,0.65841398459461509,0.2347500428388993,0.18236476611262872,0.5,3.662e-16,1
octet,2304.4489460811528,821.62514993614752,638.27668139420052,0.5,2.857e-16,1
octet,0.85172403704988897,0.33043129489690487,0.23057047260967098,0.5,3.805e-16,1
octet,2981.034129674611,1156.509532139167,806.99665413384832,0.5,3.340e-16,1
octet,1.094860542857143,0.46880571428571433,0.28903760000000006,0.5,2.986e-16,1
octet,3832.0119,1640.8199999999999,1011.6316,0.5,1.747e-16,1
sc,0.035473314285714284,0.0021331428571428573,0.00075817142857142865,0.5,4.221e-16,1
sc,124.1566,7.4660000000000002,2.6536,0.5,3.705e-16,1
sc,0.053346719588866609,0.00405401702396814,0.0018197414123193604,0.5,2.740e-16,1
sc,186.71351856103311,14.18905958388849,6.3690949431177613,0.5,3.206e-16,1
sc,0.072184992265970652,0.0064120049419934587,0.0032926781114222779,0.5,3.964e-16,1
sc,252.64747293089727,22.442017296977102,11.524373389977972,0.5,3.479e-16,1
sc,0.092506879619830382,0.0094017021856579609,0.0053916995041610816,0.5,4.535e-16,1
sc,323.77407866940632,32.905957649802858,18.870948264563783,0.5,3.538e-16,1
sc,0.11579573680622215,0.013781192958060719,0.0090431353492691907,0.5,3.498e-16,1
sc,405.28507882177752,48.234175353212514,31.650973722442163,0.5,2.729e-16,1
sc,0.13930711673005383,0.01826491824511885,0.012811002278304997,0.5,2.840e-16,1
sc,487.57490855518836,63.927213857915966,44.83850797406749,0.5,2.216e-16,1
sc,0.1639976327281927,0.023358461791298035,0.017248051957762814,0.5,4.719e-16,1
sc,573.99171454867439,81.754616269543121,60.368181852169847,0.5,3.682e-16,1
sc,0.19236722873779111,0.030354729049050122,0.023773051395298915,0.5,3.905e-16,1
sc,673.28530058226886,106.24155167167542,83.205679883546196,0.5,4.569e-16,1
sc,0.22073682474738957,0.037350996306802206,0.030298050832835013,0.5,4.440e-16,1
sc,772.57888661586344,130.72848707380771,106.04317791492254,0.5,5.196e-16,1
sc,0.25212535503723355,0.046088722718468679,0.038390994304126541,0.5,3.797e-16,1
sc,882.43874263031728,161.31052951464036,134.36848006444288,0.5,3.333e-16,1
sc,0.28636396323290247,0.056470504216377213,0.047964182866348994,0.5,4.901e-16,1
sc,1002.2738713151587,197.64676475732023,167.87464003222146,0.5,3.823e-16,1
sc,0.3206025714285714,0.066852285714285725,0.057537371428571432,0.5,2.867e-16,1
sc,1122.1089999999999,233.983,201.38079999999999,0.5,3.355e-16,1
bcc,0.044691371428571436,0.0363746,0.032336971428571434,0.5,2.855e-16,1
bcc,156.41980000000001,127.3111,113.1794,0.5,3.341e-16,1
bcc,0.05822155990194329,0.044424085262376838,0.039476347931188559,0.5,3.414e-16,1
bcc,203.7754596568015,155.48429841831893,138.16721775915994,0.5,2.664e-16,1
bcc,0.071751748375315158,0.052473570524753682,0.04661572443380569,0.5,1.893e-16,1
bcc,251.13111931360302,183.65749683663788,163.15503551831989,0.5,2.215e-16,1
bcc,0.08650941018854362,0.060770478417620413,0.054038323471140584,0.5,1.605e-16,1
